TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
208028761390;1188062;"MAF";"INTERVAL";"PROBE";1;63;0x00000b82;0;92603693;32325586;13501889;9001772;632421;17464;0;STSB
208028762331;257;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000b82;0;2482;638;578;414;36;8;0;STSB
208028762602;351;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000b82;0;8059;2372;1317;1012;92;0;0;STSB
208028762960;106;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000b82;0;3017;701;480;524;64;0;0;STSB
208028763073;396;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000b82;0;21132;7610;2054;1631;142;12;0;STSB
208028763480;70;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000b82;0;1091;254;226;190;13;0;0;STSB
208028763558;60880;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;0;4393782;1527537;640456;433509;33022;1147;0;STSB
208028824480;54913;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;0;4310812;1508864;629498;417218;30432;909;0;STSB
208028879432;55392;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;0;4324401;1512115;630979;420479;30137;843;0;STSB
208028934873;55453;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;0;4322290;1511627;631068;419327;30051;819;0;STSB
208028990371;55755;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;0;4326801;1512610;631520;420537;30105;832;0;STSB
208029046170;53971;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;0;4296000;1505670;627473;414504;29489;845;0;STSB
208029100177;55823;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;0;4324871;1512262;631347;419754;30351;898;0;STSB
208029156033;56464;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;0;4357357;1519565;635279;426413;30683;963;0;STSB
208029212533;54867;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;0;4308216;1508480;628968;416922;28558;805;0;STSB
208029267438;60243;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;0;4496416;1554539;657593;452566;34493;1332;0;STSB
208029327716;54603;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;0;4306571;1508074;628959;416125;28660;865;0;STSB
208029382356;54492;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;0;4307231;1508243;628963;416461;28466;851;0;STSB
208029436887;54556;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;0;4307744;1508375;628964;416734;28412;712;0;STSB
208029491478;53910;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;0;4295090;1505402;627469;413984;28321;763;0;STSB
208029545428;55283;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;0;4318169;1511084;630558;418320;28774;803;0;STSB
208029600762;54871;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;0;4314029;1509787;629805;417791;28627;790;0;STSB
208029655672;53874;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;0;4295197;1505417;627476;414005;28347;839;0;STSB
208029709586;54392;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;0;4307310;1508269;628962;416536;28389;779;0;STSB
208029764014;54451;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;0;4306937;1508176;628962;416342;28350;818;0;STSB
208029818505;53891;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;0;4296256;1505688;627470;414559;28265;789;0;STSB
208029872436;76982;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000b82;0;6011328;2053233;858634;588571;39598;39;0;STSB
208030341212;1173164;"MAF";"INTERVAL";"PROBE";1;63;0x00000b82;1;92456504;32314008;13480310;8953469;611140;15870;0;STSB
208030341278;259;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000b82;1;2484;638;578;414;35;11;0;STSB
208030341545;361;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000b82;1;8053;2373;1319;1012;87;10;0;STSB
208030341912;53;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000b82;1;1166;269;246;180;11;0;0;STSB
208030341971;380;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000b82;1;21133;7610;2055;1631;132;15;0;STSB
208030342364;61;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000b82;1;1093;254;226;191;14;0;0;STSB
208030342432;55575;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;1;4342044;1516073;632910;423709;29613;971;0;STSB
208030398052;54723;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;1;4307782;1508381;628956;416749;28498;756;0;STSB
208030452806;54378;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;1;4298912;1506267;628056;414577;28422;688;0;STSB
208030507224;54614;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;1;4307171;1508231;628960;416449;28427;775;0;STSB
208030561870;54502;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;1;4309341;1508768;628961;417521;28438;757;0;STSB
208030616400;53855;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;1;4295066;1505403;627479;413980;28240;749;0;STSB
208030670288;54520;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;1;4307382;1508294;628973;416563;28415;761;0;STSB
208030724843;54508;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;1;4308128;1508455;628967;416878;28470;829;0;STSB
208030779387;53906;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;1;4294649;1505296;627476;413776;28247;788;0;STSB
208030833330;55065;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;1;4294553;1505280;627470;413732;28276;683;0;STSB
208030888430;55279;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;1;4319781;1511441;630627;418937;28795;867;0;STSB
208030943760;54549;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;1;4308932;1508683;628972;417331;28344;779;0;STSB
208030998342;54089;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;1;4295766;1505568;627470;414315;28286;720;0;STSB
208031052465;54754;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;1;4307155;1508183;629034;416237;28381;738;0;STSB
208031107256;54571;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;1;4307391;1508296;628961;416581;28371;794;0;STSB
208031161862;53891;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;1;4295396;1505479;627470;414161;28189;774;0;STSB
208031215785;54512;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;1;4308548;1508566;628968;417126;28435;772;0;STSB
208031270330;54874;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;1;4310106;1508886;629550;416604;28446;832;0;STSB
208031325237;55600;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;1;4342796;1516470;633019;424015;28706;936;0;STSB
208031380870;53942;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;1;4294541;1505273;627473;413723;28266;853;0;STSB
208031434852;79506;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000b82;1;6223381;2125839;888728;609631;41075;12;0;STSB
208031941180;1179656;"MAF";"INTERVAL";"PROBE";1;63;0x00000b82;2;92726932;32399413;13519941;8984549;661616;16320;0;STSB
208031941248;258;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000b82;2;2485;638;578;414;36;8;0;STSB
208031941517;450;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000b82;2;9842;3096;1592;1191;126;9;0;STSB
208031941982;55;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000b82;2;1164;269;246;180;8;0;0;STSB
208031942048;379;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000b82;2;21139;7620;2055;1631;118;9;0;STSB
208031942436;59;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000b82;2;1092;254;226;190;13;0;0;STSB
208031942502;54936;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;2;4308243;1508307;629176;416392;31423;883;0;STSB
208031997484;54670;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;2;4307821;1508320;628969;416897;31057;810;0;STSB
208032052200;54114;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;2;4295030;1505313;627479;414082;30838;820;0;STSB
208032106351;57724;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;2;4403535;1529845;641877;435441;33102;1105;0;STSB
208032164112;54670;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;2;4306966;1508095;628965;416433;31193;921;0;STSB
208032218814;54035;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;2;4294361;1505130;627475;413735;30878;787;0;STSB
208032272888;54556;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;2;4307365;1508195;628975;416645;31072;765;0;STSB
208032327477;55343;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;2;4309620;1508733;629242;417143;31172;796;0;STSB
208032382852;55381;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;2;4338261;1515287;632673;422906;31171;890;0;STSB
208032438271;54210;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;2;4294375;1505143;627482;413744;30843;758;0;STSB
208032492526;55086;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;2;4308182;1508409;628972;417074;31007;709;0;STSB
208032547655;54731;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;2;4308580;1508517;628967;417281;30980;764;0;STSB
208032602422;53976;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;2;4295272;1505352;627481;414182;30882;831;0;STSB
208032656432;54793;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;2;4307171;1508160;628967;416565;30994;738;0;STSB
208032711260;54629;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;2;4308024;1508369;628979;416978;30982;764;0;STSB
208032765928;54591;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;2;4306732;1508053;628968;416369;30959;771;0;STSB
208032820553;54025;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;2;4294325;1505134;627479;413727;30873;803;0;STSB
208032874614;54534;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;2;4307103;1508135;628967;416528;30996;767;0;STSB
208032929188;55149;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;2;4315455;1510081;629926;418350;29431;793;0;STSB
208032984376;54048;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b82;2;4295015;1505265;627475;414056;28374;806;0;STSB
