TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
13769651025;1168447;"MAF";"INTERVAL";"PROBE";1;63;0x000006bd;0;92315396;32255080;13463016;8939477;625661;16588;0;STSB
13769651711;193;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000006bd;0;2479;638;578;414;31;8;0;STSB
13769651913;300;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000006bd;0;8055;2374;1317;1012;94;1;0;STSB
13769652221;76;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000006bd;0;3019;700;481;524;73;0;0;STSB
13769652304;352;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000006bd;0;21133;7610;2054;1630;141;19;0;STSB
13769652665;56;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000006bd;0;1091;254;226;190;10;0;0;STSB
13769652730;55003;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;0;4325774;1512333;631568;419844;29734;965;0;STSB
13769707767;54343;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;0;4310625;1508822;629524;416988;30030;909;0;STSB
13769762145;54970;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;0;4322762;1511587;631102;419169;30253;863;0;STSB
13769817147;54726;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;0;4315659;1510083;630298;417743;29691;865;0;STSB
13769871908;54583;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;0;4310556;1508793;629531;416987;30101;802;0;STSB
13769926531;54792;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;0;4322079;1511481;631021;419108;29988;872;0;STSB
13769981360;54844;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;0;4316014;1510142;630332;417829;29399;776;0;STSB
13770036238;54360;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;0;4310561;1508786;629523;416980;30276;849;0;STSB
13770090630;54990;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;0;4310683;1508861;629596;417017;29880;834;0;STSB
13770145653;55075;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;0;4326117;1512345;631550;419925;29492;833;0;STSB
13770200759;54985;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;0;4326486;1512476;631662;419925;29251;862;0;STSB
13770255779;53878;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;0;4294866;1505353;627503;413808;29527;801;0;STSB
13770309693;54460;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;0;4308241;1508479;628991;416855;28466;758;0;STSB
13770364186;54237;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;0;4306285;1507998;628992;415903;28392;768;0;STSB
13770418459;53655;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;0;4294987;1505346;627504;413809;28275;785;0;STSB
13770472149;54162;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;0;4306669;1508049;629023;415972;28402;828;0;STSB
13770526342;54547;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;0;4311240;1509134;629574;416753;28705;873;0;STSB
13770580925;54198;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;0;4306554;1508035;629010;415948;28461;787;0;STSB
13770635156;53816;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;0;4294761;1505314;627491;413768;28286;724;0;STSB
13770689007;54301;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;0;4306694;1508044;629021;415968;28450;746;0;STSB
13770743346;76108;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000006bd;0;5999274;2050352;857196;585936;39495;40;0;STSB
13771250343;1163626;"MAF";"INTERVAL";"PROBE";1;63;0x000006bd;1;92337984;32285701;13469024;8921324;627526;15726;0;STSB
13771250388;202;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000006bd;1;2482;638;578;413;29;8;0;STSB
13771250603;294;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000006bd;1;8050;2373;1319;1011;94;2;0;STSB
13771250903;47;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000006bd;1;1164;269;246;180;9;0;0;STSB
13771250957;332;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000006bd;1;21133;7610;2056;1630;131;11;0;STSB
13771251297;50;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000006bd;1;1092;254;226;190;11;0;0;STSB
13771251354;53735;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;1;4296719;1505665;627673;414111;28600;897;0;STSB
13771305128;54164;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;1;4306289;1507998;628993;415898;28600;878;0;STSB
13771359324;54434;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;1;4306367;1508000;628995;415925;28426;794;0;STSB
13771413793;54203;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;1;4306430;1508004;628996;415932;28379;743;0;STSB
13771468030;53778;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;1;4294771;1505309;627485;413780;28263;768;0;STSB
13771521839;54231;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;1;4306460;1508031;629008;415948;28376;830;0;STSB
13771576105;54290;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;1;4307776;1508340;629186;416181;28475;779;0;STSB
13771630429;53743;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;1;4295038;1505352;627512;413820;28327;742;0;STSB
13771684205;54595;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;1;4306151;1507979;628996;415882;28436;702;0;STSB
13771738835;54365;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;1;4306050;1507950;628985;415851;28410;766;0;STSB
13771793234;53709;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;1;4294993;1505344;627504;413811;28304;731;0;STSB
13771846981;54274;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006bd;1;4306692;1508042;629018;415977;29375;807;0;STSB
