TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
33518699121;359738;"MAF";"INTERVAL";"PROBE";4;63;0x0000095a;0;1825;129;51141273;39695699;13728;51141335;0;STSB
33518699536;75;"SENS_C1";"INTERVAL";"PROBE";4;63;0x0000095a;0;3;11;1579;1410;592;1577;0;STSB
33518699615;128;"LOC_C1";"INTERVAL";"PROBE";4;63;0x0000095a;0;3;3;4234;4269;912;4226;0;STSB
33518699748;28;"LOC_C2";"INTERVAL";"PROBE";4;63;0x0000095a;0;0;2;781;698;180;773;0;STSB
33518699780;145;"LOC_C3";"INTERVAL";"PROBE";4;63;0x0000095a;0;5;1;10575;9069;368;10567;0;STSB
33518699930;28;"LOC_C4";"INTERVAL";"PROBE";4;63;0x0000095a;0;0;0;732;727;136;724;0;STSB
33518699962;17395;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000095a;0;195;39;2417739;1892022;6148;2417731;0;STSB
33518717362;16729;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000095a;0;4;4;2396368;1869494;60;2396368;0;STSB
33518734096;16838;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000095a;0;121;6;2398402;1870714;240;2398397;0;STSB
33518750939;16910;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000095a;0;137;7;2402169;1876546;788;2402155;0;STSB
33518767854;16691;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000095a;0;2;0;2393395;1863641;8;2393395;0;STSB
33518784549;17175;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000095a;0;182;7;2424461;1892461;782;2424446;0;STSB
33518801729;16687;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000095a;0;4;0;2392633;1862256;28;2392636;0;STSB
33518818421;16833;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000095a;0;131;5;2399724;1871834;276;2399719;0;STSB
33518835259;16756;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000095a;0;17;1;2393477;1863692;44;2393493;0;STSB
33518852020;16743;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000095a;0;83;7;2396046;1866275;93;2396046;0;STSB
33518868768;16681;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000095a;0;8;0;2392470;1861642;4;2392472;0;STSB
33518885453;16798;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000095a;0;117;0;2399836;1871425;108;2399834;0;STSB
