TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
16291661894;1221560;"MAF";"INTERVAL";"PROBE";1;63;0x000007b7;0;0;0;9268809;0;0;72314;0;STSB
16291662784;225;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000007b7;0;0;0;414;0;0;162;0;STSB
16291663025;339;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000007b7;0;0;0;1012;0;0;208;0;STSB
16291663375;91;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000007b7;0;0;0;525;0;0;215;0;STSB
16291663473;375;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000007b7;0;0;0;1631;0;0;145;0;STSB
16291663857;63;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000007b7;0;0;0;191;0;0;57;0;STSB
16291663928;58750;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;0;0;0;427555;0;0;4630;0;STSB
16291722723;54956;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;0;0;0;416425;0;0;1899;0;STSB
16291777718;56421;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;0;0;0;428872;0;0;2513;0;STSB
16291834174;54841;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;0;0;0;416452;0;0;1830;0;STSB
16291889057;53970;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;0;0;0;413723;0;0;824;0;STSB
16291943065;55016;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;0;0;0;417117;0;0;1952;0;STSB
16291998122;55032;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;0;0;0;417097;0;0;1949;0;STSB
16292053204;54163;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;0;0;0;414379;0;0;1092;0;STSB
16292107411;55152;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;0;0;0;416312;0;0;1671;0;STSB
16292162606;82178;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;0;0;0;626090;0;0;15994;0;STSB
16292244825;60996;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;0;0;0;433419;0;0;7729;0;STSB
16292305858;53992;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;0;0;0;413723;0;0;910;0;STSB
16292359887;55055;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;0;0;0;417247;0;0;2001;0;STSB
16292414984;62275;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;0;0;0;507046;0;0;13452;0;STSB
16292477294;55838;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;0;0;0;420800;0;0;2542;0;STSB
16292533171;53998;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;0;0;0;413727;0;0;827;0;STSB
16292587205;54707;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;0;0;0;415791;0;0;1379;0;STSB
16292641955;54663;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;0;0;0;416155;0;0;1580;0;STSB
16292696660;55043;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;0;0;0;417644;0;0;1940;0;STSB
16292751737;53841;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;0;0;0;413722;0;0;813;0;STSB
16292805632;77802;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000007b7;0;0;0;594427;0;0;2551;0;STSB
16293250427;1174623;"MAF";"INTERVAL";"PROBE";1;63;0x000007b7;1;0;0;8934057;0;0;31291;0;STSB
16293250506;255;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000007b7;1;0;0;414;0;0;145;0;STSB
16293250769;318;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000007b7;1;0;0;1012;0;0;207;0;STSB
16293251094;52;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000007b7;1;0;0;180;0;0;40;0;STSB
16293251153;368;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000007b7;1;0;0;1631;0;0;157;0;STSB
16293251530;56;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000007b7;1;0;0;191;0;0;47;0;STSB
16293251592;54859;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;1;0;0;416141;0;0;1794;0;STSB
16293306490;54646;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;1;0;0;415812;0;0;1427;0;STSB
16293361178;54080;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;1;0;0;413732;0;0;779;0;STSB
16293415308;54673;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;1;0;0;415811;0;0;1418;0;STSB
16293470021;54723;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;1;0;0;415817;0;0;1379;0;STSB
16293524789;54269;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;1;0;0;413732;0;0;816;0;STSB
16293579092;54620;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;1;0;0;415807;0;0;1349;0;STSB
16293633755;54600;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;1;0;0;415811;0;0;1426;0;STSB
16293688396;54774;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;1;0;0;415812;0;0;1392;0;STSB
16293743203;53907;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;1;0;0;413727;0;0;792;0;STSB
16293797153;54587;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;1;0;0;415801;0;0;1382;0;STSB
16293851780;55436;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;1;0;0;422365;0;0;1900;0;STSB
16293907257;53920;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;1;0;0;413798;0;0;825;0;STSB
16293961213;54475;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;1;0;0;415807;0;0;1381;0;STSB
16294015724;54895;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;1;0;0;416599;0;0;1613;0;STSB
16294070662;54786;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;1;0;0;415801;0;0;1386;0;STSB
16294125491;54080;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;1;0;0;413722;0;0;793;0;STSB
16294179613;54539;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;1;0;0;415791;0;0;1412;0;STSB
16294234194;55103;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;1;0;0;416373;0;0;1677;0;STSB
16294289338;55919;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;1;0;0;418622;0;0;2616;0;STSB
16294345299;79730;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000007b7;1;0;0;608428;0;0;2080;0;STSB
16294850196;1177837;"MAF";"INTERVAL";"PROBE";1;63;0x000007b7;2;0;0;8963852;0;0;32418;0;STSB
16294850258;241;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000007b7;2;0;0;414;0;0;144;0;STSB
16294850514;382;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000007b7;2;0;0;1191;0;0;215;0;STSB
16294850911;54;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000007b7;2;0;0;180;0;0;39;0;STSB
16294850971;357;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000007b7;2;0;0;1631;0;0;154;0;STSB
16294851337;64;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000007b7;2;0;0;191;0;0;42;0;STSB
16294851410;55677;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;2;0;0;423569;0;0;2398;0;STSB
16294907127;54733;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;2;0;0;415812;0;0;1537;0;STSB
16294961896;53928;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;2;0;0;413732;0;0;801;0;STSB
16295015863;54491;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;2;0;0;415817;0;0;1409;0;STSB
16295070391;54724;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;2;0;0;415811;0;0;1391;0;STSB
16295125156;53884;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;2;0;0;413733;0;0;788;0;STSB
16295179076;54640;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;2;0;0;415811;0;0;1373;0;STSB
16295233757;55109;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;2;0;0;416206;0;0;1793;0;STSB
16295288913;54658;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;2;0;0;415806;0;0;1393;0;STSB
16295343608;55856;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;2;0;0;418589;0;0;2563;0;STSB
16295399502;54526;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;2;0;0;415798;0;0;1521;0;STSB
16295454083;54613;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;2;0;0;415801;0;0;1389;0;STSB
16295508747;53991;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;2;0;0;413733;0;0;785;0;STSB
16295562781;54534;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;2;0;0;415809;0;0;1380;0;STSB
16295617351;54514;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;2;0;0;415801;0;0;1378;0;STSB
16295671906;54971;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;2;0;0;416599;0;0;1657;0;STSB
16295726925;54175;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;2;0;0;413727;0;0;817;0;STSB
16295781132;54631;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;2;0;0;415804;0;0;1401;0;STSB
16295835800;55008;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;2;0;0;416321;0;0;1689;0;STSB
16295890853;54649;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007b7;2;0;0;420335;0;0;1177;0;STSB
16295945542;82474;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000007b7;2;0;0;630311;0;0;2115;0;STSB
16296451068;1206692;"MAF";"INTERVAL";"PROBE";1;63;0x000007b7;3;0;0;9092150;0;0;70694;0;STSB
16296451132;231;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000007b7;3;0;0;414;0;0;137;0;STSB
16296451371;355;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000007b7;3;0;0;1191;0;0;216;0;STSB
16296451734;58;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000007b7;3;0;0;180;0;0;40;0;STSB
16296451798;606;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000007b7;3;0;0;2969;0;0;682;0;STSB
