TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
48844526370;476791;"MAF";"INTERVAL";"PROBE";4;63;0x00000b4b;0;105486774;0;0;12156731;491269;0;0;STSB
48844526786;84;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00000b4b;0;2479;0;0;444;35;0;0;STSB
48844526874;129;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00000b4b;0;8043;0;0;1138;86;0;0;STSB
48844527007;25;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00000b4b;0;1168;0;0;196;6;0;0;STSB
48844527036;137;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00000b4b;0;21103;0;0;1704;133;0;0;STSB
48844527177;28;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00000b4b;0;1094;0;0;213;11;0;0;STSB
48844527210;19521;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;0;4719541;0;0;470311;23613;0;0;STSB
48844546736;17298;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;0;4307586;0;0;440243;21322;0;0;STSB
48844564041;16713;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;0;4261452;0;0;429914;20636;0;0;STSB
48844580759;16837;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;0;4271712;0;0;432112;20848;0;0;STSB
48844597601;16715;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;0;4261452;0;0;429884;20669;0;0;STSB
48844614320;17358;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;0;4341011;0;0;447153;21028;0;0;STSB
48844631683;16712;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;0;4261452;0;0;429836;20621;0;0;STSB
48844648399;16829;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;0;4271586;0;0;432005;20808;0;0;STSB
48844665233;16808;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;0;4261452;0;0;429913;20685;0;0;STSB
48844682045;16838;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;0;4272875;0;0;432253;20861;0;0;STSB
48844698889;16710;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;0;4261452;0;0;429810;20654;0;0;STSB
48844715603;113139;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;0;15829315;0;0;2891809;64812;0;0;STSB
48844828766;16767;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;0;4261452;0;0;430031;20786;0;0;STSB
48844845537;34413;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;0;6274690;0;0;838055;34374;0;0;STSB
48844879965;16795;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;0;4261452;0;0;429791;20724;0;0;STSB
48844896765;16894;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;0;4271397;0;0;432113;20919;0;0;STSB
48844913663;16713;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;0;4261452;0;0;429929;20666;0;0;STSB
48844930380;16969;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;0;4280604;0;0;434002;21035;0;0;STSB
48844947354;16688;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;0;4261452;0;0;429530;20528;0;0;STSB
48844964046;16823;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;0;4271555;0;0;431745;20775;0;0;STSB
48844980876;22278;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00000b4b;0;5945050;0;0;593857;14372;0;0;STSB
48846126398;358693;"MAF";"INTERVAL";"PROBE";4;63;0x00000b4b;1;91586318;0;0;9246279;426064;0;0;STSB
48846126436;140;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00000b4b;1;2479;0;0;464;37;0;0;STSB
48846126580;135;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00000b4b;1;8043;0;0;1120;77;0;0;STSB
48846126719;29;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00000b4b;1;1168;0;0;196;5;0;0;STSB
48846126753;141;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00000b4b;1;21103;0;0;1703;118;0;0;STSB
48846126898;35;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00000b4b;1;1094;0;0;214;10;0;0;STSB
48846126937;16970;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;1;4272793;0;0;432400;20970;0;0;STSB
48846143912;16809;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;1;4273766;0;0;432300;20707;0;0;STSB
48846160726;16687;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;1;4261452;0;0;429702;20494;0;0;STSB
48846177418;16794;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;1;4272719;0;0;432061;20672;0;0;STSB
48846194217;16699;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;1;4261452;0;0;429748;20558;0;0;STSB
48846210921;16782;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;1;4272740;0;0;431984;20566;0;0;STSB
48846227708;16683;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;1;4261452;0;0;429663;20449;0;0;STSB
48846244396;16790;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;1;4272719;0;0;431974;20628;0;0;STSB
48846261191;16673;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;1;4261452;0;0;429376;20458;0;0;STSB
48846277869;16756;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;1;4272764;0;0;431683;20410;0;0;STSB
48846294630;16681;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;1;4261452;0;0;429688;20442;0;0;STSB
48846311315;16786;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;1;4272719;0;0;432042;20606;0;0;STSB
48846328106;16681;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;1;4261452;0;0;429663;20443;0;0;STSB
48846344791;16772;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;1;4272772;0;0;431909;20505;0;0;STSB
48846361567;16687;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;1;4261452;0;0;429738;20495;0;0;STSB
48846378258;16771;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;1;4272719;0;0;431953;20496;0;0;STSB
48846395033;16692;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;1;4261452;0;0;429778;20524;0;0;STSB
48846411729;16773;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;1;4272740;0;0;431928;20494;0;0;STSB
48846428507;16685;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;1;4261452;0;0;429750;20475;0;0;STSB
48846445197;16787;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000b4b;1;4272719;0;0;432055;20641;0;0;STSB
48846461992;23094;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00000b4b;1;6166097;0;0;617086;14704;0;0;STSB
48847726431;360186;"MAF";"INTERVAL";"PROBE";4;63;0x00000b4b;2;91802550;0;0;9267883;429433;0;0;STSB
48847726477;143;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00000b4b;2;2479;0;0;461;41;0;0;STSB
48847726624;140;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00000b4b;2;9807;0;0;1326;105;0;0;STSB
