TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
53897307731;1143001;"MAF";"INTERVAL";"PROBE";1;63;0x00000b0e;0;46413165;9846;27556;89125;1558;1167;0;NOSTRESS
53897308086;111;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000b0e;0;1450;40;47;250;77;16;0;NOSTRESS
53897308206;218;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000b0e;0;3893;34;44;311;137;40;0;NOSTRESS
53897308431;61;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000b0e;0;1445;32;33;303;27;9;0;NOSTRESS
53897308498;313;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000b0e;0;9804;28;41;227;74;19;0;NOSTRESS
53897308819;39;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000b0e;0;580;12;12;74;25;4;0;NOSTRESS
53897308865;53647;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;0;2174376;803;1847;5883;703;235;0;NOSTRESS
53897362520;53193;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;0;2167688;339;1240;3732;68;50;0;NOSTRESS
53897415720;53575;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;0;2175963;692;1590;5550;116;64;0;NOSTRESS
53897469302;53421;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;0;2173066;605;1471;4927;18;45;0;NOSTRESS
53897522730;53210;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;0;2167669;383;1252;3689;5;19;0;NOSTRESS
53897575946;53308;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;0;2171256;405;1388;4152;38;24;0;NOSTRESS
53897629260;53397;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;0;2173137;560;1411;4716;21;43;0;NOSTRESS
53897682665;53217;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;0;2166423;249;1105;3092;2;12;0;NOSTRESS
53897735888;53369;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;0;2171831;410;1287;4172;1;27;0;NOSTRESS
53897789264;53379;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;0;2171967;476;1362;4348;7;42;0;NOSTRESS
53897842650;53212;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;0;2166383;229;1076;3050;1;14;0;NOSTRESS
53897895868;53366;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;0;2171810;402;1293;4152;2;38;0;NOSTRESS
53897949241;53362;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;0;2171439;461;1289;4070;2;38;0;NOSTRESS
53898002609;53214;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;0;2166347;269;1135;3168;3;25;0;NOSTRESS
53898055829;53267;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;0;2171873;478;1351;4261;2;55;0;NOSTRESS
53898109103;53293;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;0;2172659;551;1425;4524;14;40;0;NOSTRESS
53898162403;53107;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;0;2166432;253;1120;3173;2;29;0;NOSTRESS
53898215516;53264;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;0;2171805;513;1374;4309;2;41;0;NOSTRESS
53898268787;53362;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;0;2173735;592;1464;4782;35;49;0;NOSTRESS
53898322156;53110;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;0;2166406;337;1178;3281;1;27;0;NOSTRESS
53898375289;75437;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000b0e;0;2963929;442;472;3228;127;84;0;NOSTRESS
53898907672;1144148;"MAF";"INTERVAL";"PROBE";1;63;0x00000b0e;1;46491375;9258;25726;81923;2021;1047;0;NOSTRESS
53898907696;127;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000b0e;1;1447;42;51;251;102;35;0;NOSTRESS
53898907830;179;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000b0e;1;3892;30;28;271;76;26;0;NOSTRESS
53898908015;34;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000b0e;1;645;14;14;63;27;7;0;NOSTRESS
53898908055;304;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000b0e;1;9805;27;36;184;62;28;0;NOSTRESS
53898908369;41;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000b0e;1;581;11;9;62;28;5;0;NOSTRESS
53898908416;53430;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;1;2172106;563;1411;4748;364;158;0;NOSTRESS
53898961855;53103;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;1;2166092;237;1100;3053;34;35;0;NOSTRESS
53899014965;53185;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;1;2168208;376;1211;3567;10;50;0;NOSTRESS
53899068157;53363;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;1;2173461;498;1327;4419;53;43;0;NOSTRESS
53899121528;53112;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;1;2166351;315;1119;3096;3;34;0;NOSTRESS
53899174647;53248;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;1;2171125;527;1312;4085;2;47;0;NOSTRESS
53899227902;53247;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;1;2171149;407;1241;3946;6;54;0;NOSTRESS
53899281156;53247;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;1;2167495;487;1290;3779;66;54;0;NOSTRESS
53899334411;53380;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;1;2172709;515;1374;4569;34;83;0;NOSTRESS
53899387798;53283;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;1;2170502;456;1264;4111;26;39;0;NOSTRESS
53899441088;53188;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;1;2167304;455;1259;3579;17;32;0;NOSTRESS
53899494283;53462;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;1;2174857;725;1583;5439;31;36;0;NOSTRESS
53899547752;53347;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b0e;1;2172568;661;1448;4726;1;26;0;NOSTRESS
