TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
34245037663;1143162;"MAF";"INTERVAL";"PROBE";1;63;0x0000095a;0;109;30;46428418;59274813;6434;46430116;0;NOSTRESS
34245038052;111;"SENS_C1";"INTERVAL";"PROBE";1;63;0x0000095a;0;0;2;1452;2044;344;1456;0;NOSTRESS
34245038171;213;"LOC_C1";"INTERVAL";"PROBE";1;63;0x0000095a;0;1;1;3895;5908;564;3899;0;NOSTRESS
34245038391;70;"LOC_C2";"INTERVAL";"PROBE";1;63;0x0000095a;0;3;1;1450;2597;104;1461;0;NOSTRESS
34245038467;319;"LOC_C3";"INTERVAL";"PROBE";1;63;0x0000095a;0;1;0;9805;13320;284;9809;0;NOSTRESS
34245038794;36;"LOC_C4";"INTERVAL";"PROBE";1;63;0x0000095a;0;0;0;584;882;84;588;0;NOSTRESS
34245038836;53509;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000095a;0;14;3;2167780;2762177;2012;2167832;0;NOSTRESS
34245092352;53845;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000095a;0;4;1;2186335;2807894;522;2186674;0;NOSTRESS
34245146205;53404;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000095a;0;3;0;2174263;2771575;70;2174363;0;NOSTRESS
34245199624;53230;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000095a;0;5;1;2168204;2759802;192;2168264;0;NOSTRESS
34245252861;53315;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000095a;0;3;0;2172845;2766178;28;2172939;0;NOSTRESS
34245306183;53331;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000095a;0;1;1;2172620;2768521;28;2172716;0;NOSTRESS
34245359521;53114;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000095a;0;3;0;2166423;2752962;8;2166472;0;NOSTRESS
34245412659;53480;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000095a;0;12;2;2176840;2776730;299;2176957;0;NOSTRESS
34245466147;53285;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000095a;0;4;2;2171945;2764831;45;2172039;0;NOSTRESS
34245519439;53127;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000095a;0;4;1;2166454;2752914;52;2166500;0;NOSTRESS
