TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
140839370294;358906;"MAF";"INTERVAL";"PROBE";4;63;0x000011c6;0;41194769;16361483;9232028;23374259;24129623;8909;0;NOSTRESS
140839370568;59;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000011c6;0;762;641;436;1094;0;132;0;NOSTRESS
140839370631;88;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000011c6;0;2843;1546;1115;3008;1212;174;0;NOSTRESS
140839370724;16;"LOC_C2";"INTERVAL";"PROBE";4;63;0x000011c6;0;339;296;197;595;17;23;0;NOSTRESS
140839370744;113;"LOC_C3";"INTERVAL";"PROBE";4;63;0x000011c6;0;9322;2489;1736;8054;4061;101;0;NOSTRESS
140839370862;23;"LOC_C4";"INTERVAL";"PROBE";4;63;0x000011c6;0;352;271;210;611;0;39;0;NOSTRESS
140839370889;17067;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000011c6;0;1944366;772171;433136;1102020;1131258;1136;0;NOSTRESS
140839387962;16723;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000011c6;0;1941354;769416;429887;1091744;1133239;21;0;NOSTRESS
140839404697;16851;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000011c6;0;1944412;770906;432127;1097495;1133112;595;0;NOSTRESS
140839421554;16707;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000011c6;0;1937854;768250;429645;1089401;1131690;19;0;NOSTRESS
140839438265;16856;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000011c6;0;1942976;770910;432723;1098647;1131830;626;0;NOSTRESS
140839455126;16703;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000011c6;0;1939015;768469;429657;1089317;1132539;18;0;NOSTRESS
140839471834;16828;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000011c6;0;1941831;770389;432590;1097788;1131459;621;0;NOSTRESS
140839488668;16701;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000011c6;0;1938147;768227;429589;1089214;1131989;19;0;NOSTRESS
140839505374;16901;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000011c6;0;1941832;770503;432694;1098171;1131124;779;0;NOSTRESS
140839522280;16697;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000011c6;0;1935909;767429;429671;1088918;1130599;20;0;NOSTRESS
140839538981;16831;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000011c6;0;1940903;770038;432655;1097934;1130803;626;0;NOSTRESS
140839555818;16709;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000011c6;0;1938628;768355;429767;1089550;1132261;15;0;NOSTRESS
140839572532;16856;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000011c6;0;1943432;770893;432719;1098214;1132504;623;0;NOSTRESS
140839589393;16710;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000011c6;0;1938245;768235;429795;1089527;1132050;11;0;NOSTRESS
140839606107;16804;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000011c6;0;1943003;770264;431740;1095214;1133366;525;0;NOSTRESS
140839622924;16692;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000011c6;0;1937244;767813;429471;1088748;1131531;11;0;NOSTRESS
140839639620;16942;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000011c6;0;1945215;771554;433736;1100889;1132527;792;0;NOSTRESS
140839656567;16818;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000011c6;0;1942406;769794;431771;1095132;1132700;588;0;NOSTRESS
140839673390;16697;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000011c6;0;1939675;768433;429660;1089174;1132822;16;0;NOSTRESS
140839690091;16837;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000011c6;0;1943659;770679;432722;1098135;1132452;736;0;NOSTRESS
140839706933;22263;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x000011c6;0;2348481;954363;593889;1450640;1482478;101;0;NOSTRESS
140840970215;358822;"MAF";"INTERVAL";"PROBE";4;63;0x000011c6;1;41250192;16384297;9246952;23400532;24171819;6978;0;NOSTRESS
140840970224;33;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000011c6;1;785;642;443;1103;0;133;0;NOSTRESS
140840970261;59;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000011c6;1;2638;1445;1068;2816;1165;161;0;NOSTRESS
