TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
140417259023;1143940;"MAF";"INTERVAL";"PROBE";1;63;0x0000278a;0;46429999;11681;27721;94320;1670;1436;0;BPRED
140417259369;106;"SENS_C1";"INTERVAL";"PROBE";1;63;0x0000278a;0;1452;43;45;233;80;26;0;BPRED
140417259485;231;"LOC_C1";"INTERVAL";"PROBE";1;63;0x0000278a;0;3897;33;33;289;143;21;0;BPRED
140417259722;67;"LOC_C2";"INTERVAL";"PROBE";1;63;0x0000278a;0;1448;38;41;306;34;12;0;BPRED
140417259798;322;"LOC_C3";"INTERVAL";"PROBE";1;63;0x0000278a;0;9808;30;54;260;85;17;0;BPRED
140417260128;41;"LOC_C4";"INTERVAL";"PROBE";1;63;0x0000278a;0;582;11;11;86;28;13;0;BPRED
140417260176;53903;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000278a;0;2179136;1002;1853;6985;676;174;0;BPRED
140417314087;53128;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000278a;0;2166145;343;1147;3293;30;50;0;BPRED
140417367222;53493;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000278a;0;2175183;747;1539;5479;69;97;0;BPRED
140417420722;53256;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000278a;0;2169532;509;1304;4206;14;46;0;BPRED
140417473987;53335;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000278a;0;2172612;497;1300;4557;7;46;0;BPRED
140417527329;53487;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000278a;0;2175142;599;1405;5258;83;111;0;BPRED
140417580826;53280;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000278a;0;2169522;609;1377;4383;32;60;0;BPRED
140417634113;53351;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000278a;0;2172751;488;1278;4495;16;39;0;BPRED
140417687472;53534;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000278a;0;2178245;816;1630;6112;13;59;0;BPRED
140417741013;53429;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000278a;0;2173809;652;1452;4912;72;57;0;BPRED
140417794449;53124;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000278a;0;2166435;329;1156;3259;6;32;0;BPRED
140417847581;53284;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000278a;0;2171789;512;1297;4250;7;52;0;BPRED
