TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
37057781789;1145159;"MAF";"INTERVAL";"PROBE";1;63;0x00001839;0;92273383;32246846;13458668;8930184;651562;16558;0;NOSTRESS
37057782152;111;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00001839;0;2488;640;578;415;39;6;0;NOSTRESS
37057782271;233;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00001839;0;8060;2376;1318;1013;113;3;0;NOSTRESS
37057782511;70;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00001839;0;3022;703;481;526;69;3;0;NOSTRESS
37057782591;314;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00001839;0;21136;7612;2055;1632;139;19;0;NOSTRESS
37057782915;45;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00001839;0;1095;256;226;192;14;0;0;NOSTRESS
37057782968;53546;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;0;4304355;1507497;628491;415967;28986;854;0;NOSTRESS
37057836523;53674;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;0;4326854;1512534;631644;420051;29416;896;0;NOSTRESS
37057890205;53360;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;0;4310648;1508822;629528;417018;28846;833;0;NOSTRESS
37057943573;53400;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;0;4313674;1509616;629902;417583;28851;819;0;NOSTRESS
37057996980;53485;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;0;4321895;1511445;631019;419081;29006;861;0;NOSTRESS
37058050473;53340;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;0;4311448;1509015;629660;417190;28742;890;0;NOSTRESS
37058103821;53593;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;0;4326140;1512392;631599;419870;30130;860;0;NOSTRESS
37058157422;53600;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;0;4323067;1511829;631291;419245;31479;867;0;NOSTRESS
37058211029;53242;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;0;4295770;1505558;627655;413923;30900;867;0;NOSTRESS
37058264278;53381;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;0;4307455;1508337;629265;416035;31038;760;0;NOSTRESS
37058317666;53388;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;0;4307711;1508364;629147;416319;31058;736;0;NOSTRESS
37058371062;53240;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;0;4295364;1505495;627620;413843;30844;813;0;NOSTRESS
37058424308;53384;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;0;4307422;1508328;629250;416025;30985;748;0;NOSTRESS
37058477700;53504;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;0;4311637;1509298;629841;416826;31080;816;0;NOSTRESS
37058531211;53229;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;0;4295404;1505491;627618;413844;30899;827;0;NOSTRESS
37058584447;53383;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;0;4307432;1508328;629260;416022;30970;765;0;NOSTRESS
37058637837;53387;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;0;4307376;1508322;629258;416022;30906;811;0;NOSTRESS
37058691231;53426;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;0;4310397;1509036;629603;416514;31121;816;0;NOSTRESS
37058744664;53234;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;0;4295349;1505494;627621;413838;30780;779;0;NOSTRESS
37058797905;53391;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;0;4307503;1508344;629259;416028;31031;817;0;NOSTRESS
37058851304;75635;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00001839;0;6009532;2052686;858653;587822;43618;88;0;NOSTRESS
37059381730;1145076;"MAF";"INTERVAL";"PROBE";1;63;0x00001839;1;92310580;32279222;13464928;8916501;655396;15578;0;NOSTRESS
37059381752;116;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00001839;1;2489;640;578;415;42;9;0;NOSTRESS
37059381874;192;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00001839;1;8059;2375;1319;1013;91;0;0;NOSTRESS
37059382075;33;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00001839;1;1170;271;246;180;9;8;0;NOSTRESS
37059382118;312;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00001839;1;21145;7613;2055;1632;140;18;0;NOSTRESS
37059382440;42;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00001839;1;1095;256;226;192;20;0;0;NOSTRESS
37059382488;53491;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;1;4307147;1508179;629082;416074;31368;891;0;NOSTRESS
37059435987;53417;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;1;4308002;1508388;629182;416201;31117;881;0;NOSTRESS
37059489412;53216;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;1;4294941;1505359;627502;413819;30829;778;0;NOSTRESS
37059542635;53368;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;1;4306659;1508064;629023;415987;31016;802;0;NOSTRESS
37059596010;53282;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;1;4299677;1506478;628125;414611;30875;815;0;NOSTRESS
37059649299;53137;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;1;4288250;1503796;626607;412518;30719;753;0;NOSTRESS
37059702443;53361;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;1;4306771;1508089;629038;415994;30980;755;0;NOSTRESS
37059755811;53366;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;1;4307444;1508236;629129;416123;30939;817;0;NOSTRESS
37059809185;53129;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;1;4288322;1503793;626609;412518;30784;777;0;NOSTRESS
37059862321;53367;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;1;4307846;1508328;629187;416179;31007;767;0;NOSTRESS
37059915696;53550;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;1;4315069;1509998;630088;417857;31151;746;0;NOSTRESS
37059969254;53234;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;1;4294939;1505354;627512;413810;30783;688;0;NOSTRESS
37060022496;53381;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;1;4307577;1508261;629093;416245;30980;739;0;NOSTRESS
37060075884;53298;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;1;4300138;1506532;628135;414695;30929;749;0;NOSTRESS
37060129190;53136;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;1;4288284;1503797;626609;412519;30707;793;0;NOSTRESS
37060182334;53504;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;1;4311048;1509079;629630;416805;31131;765;0;NOSTRESS
37060235849;53365;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;1;4306584;1508052;629020;415960;30922;807;0;NOSTRESS
37060289221;53149;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;1;4288728;1503891;626612;412706;30752;755;0;NOSTRESS
37060342384;53268;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;1;4306471;1508044;629008;415931;28475;769;0;NOSTRESS
37060395660;53270;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001839;1;4306577;1508060;629010;415958;28379;684;0;NOSTRESS
37060448939;77859;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00001839;1;6203781;2121199;886412;605212;40892;12;0;NOSTRESS
