TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
690180594026;358578;"MAF";"INTERVAL";"PROBE";4;63;0x00003833;0;41165756;16381445;9237118;23428486;24124729;8998;0;BPRED
690180594297;58;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00003833;0;789;644;444;1136;0;126;0;BPRED
690180594359;92;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00003833;0;2857;1531;1123;3021;1215;163;0;BPRED
690180594456;20;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00003833;0;349;304;199;603;17;22;0;BPRED
690180594481;108;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00003833;0;9425;2564;1739;8140;4109;86;0;BPRED
690180594595;24;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00003833;0;346;284;213;588;0;28;0;BPRED
690180594623;17060;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003833;0;1945981;773389;433254;1103812;1133531;1131;0;BPRED
690180611688;16682;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003833;0;1937732;769278;429725;1091968;1132347;11;0;BPRED
690180628374;16832;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003833;0;1942728;771780;432096;1099655;1133037;621;0;BPRED
690180645210;16688;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003833;0;1937824;769340;429784;1091929;1132452;9;0;BPRED
690180661902;16850;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003833;0;1944230;772600;433099;1102033;1133241;649;0;BPRED
690180678758;16696;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003833;0;1939036;769851;429916;1092131;1133135;8;0;BPRED
690180695458;16806;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003833;0;1939463;770469;432718;1098137;1131244;553;0;BPRED
690180712268;16828;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003833;0;1942614;771997;432916;1101007;1132540;602;0;BPRED
