TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
742604714672;359519;"MAF";"INTERVAL";"PROBE";4;63;0x00003f3e;0;1706;198;51232052;39562401;12447;51232114;0;BPRED
742604714925;56;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00003f3e;0;2;13;1596;1510;620;1594;0;BPRED
742604714985;96;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00003f3e;0;4;3;4177;4148;808;4169;0;BPRED
742604715085;21;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00003f3e;0;1;3;759;705;152;753;0;BPRED
742604715110;110;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00003f3e;0;1;2;10587;9064;404;10579;0;BPRED
742604715225;20;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00003f3e;0;0;0;714;673;156;706;0;BPRED
742604715249;17079;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f3e;0;153;30;2409818;1873464;4560;2409811;0;BPRED
742604732332;16738;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f3e;0;6;4;2400048;1859856;36;2400050;0;BPRED
742604749074;16880;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f3e;0;142;11;2407981;1870052;180;2407966;0;BPRED
742604765959;16712;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f3e;0;8;1;2399639;1858125;4;2399642;0;BPRED
742604782675;16930;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f3e;0;126;7;2409523;1872147;1176;2409525;0;BPRED
742604799620;16726;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f3e;0;6;2;2400862;1861303;4;2400861;0;BPRED
742604816350;16841;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f3e;0;114;8;2405280;1866574;64;2405265;0;BPRED
742604833195;16730;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f3e;0;4;1;2400633;1860734;4;2400636;0;BPRED
742604849929;17244;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f3e;0;203;9;2421507;1884589;1256;2421518;0;BPRED
742604867178;16721;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f3e;0;4;1;2398998;1859646;8;2399001;0;BPRED
