TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
750658162692;1178914;"MAF";"INTERVAL";"PROBE";1;63;0x00004189;0;47831662;37989;57103;273355;2219;1974;0;BPRED
750658163072;110;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00004189;0;1453;41;46;247;111;24;0;BPRED
750658163189;226;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00004189;0;3898;29;33;280;152;17;0;BPRED
750658163423;65;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00004189;0;1445;34;34;280;37;8;0;BPRED
750658163496;310;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00004189;0;9811;36;61;253;94;18;0;BPRED
750658163816;45;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00004189;0;583;12;12;86;35;4;0;BPRED
750658163868;55638;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004189;0;2246565;2344;3312;15555;878;256;0;BPRED
750658219517;54825;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004189;0;2230460;1817;2642;11922;96;121;0;BPRED
750658274350;55261;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004189;0;2246394;2076;3000;14465;62;97;0;BPRED
750658329619;54667;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004189;0;2228259;1505;2411;11088;12;42;0;BPRED
750658384294;54905;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004189;0;2234468;1733;2683;12600;43;44;0;BPRED
750658439206;55184;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004189;0;2244905;2130;3082;14287;39;41;0;BPRED
750658494397;54683;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004189;0;2228395;1602;2603;11432;11;66;0;BPRED
750658549088;55209;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004189;0;2238237;2061;2959;13899;219;253;0;BPRED
750658604306;55222;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004189;0;2244927;2037;3010;14247;54;119;0;BPRED
750658659537;54964;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004189;0;2233710;1804;2775;12605;29;79;0;BPRED
750658714508;55045;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004189;0;2239003;1715;2639;12395;10;53;0;BPRED
750658769560;54920;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004189;0;2233810;1399;2335;11737;9;36;0;BPRED
750658824488;54946;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004189;0;2233869;1685;2651;12459;13;44;0;BPRED
750658879441;55048;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004189;0;2239091;1773;2763;12694;2;55;0;BPRED
750658934497;54928;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004189;0;2234510;1872;2807;12900;26;60;0;BPRED
750658989434;55161;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004189;0;2245487;2053;3016;14195;36;114;0;BPRED
750659044602;54826;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004189;0;2233819;1605;2576;12205;3;82;0;BPRED
750659099436;54668;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004189;0;2228559;1464;2441;11172;11;49;0;BPRED
750659154112;55084;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004189;0;2244187;1969;2968;13847;8;91;0;BPRED
750659209203;54817;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004189;0;2233722;1695;2628;12222;7;72;0;BPRED
750659264031;77567;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00004189;0;3052237;1163;1282;12348;150;43;0;BPRED
