TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
1388062047400;367696;"MAF";"INTERVAL";"PROBE";4;63;0x0000682d;0;41633314;16670362;51720416;114141364;42355416;20698;0;BPRED
1388062047590;64;"SENS_C1";"INTERVAL";"PROBE";4;63;0x0000682d;0;786;656;1555;3043;1464;135;0;BPRED
1388062047658;101;"LOC_C1";"INTERVAL";"PROBE";4;63;0x0000682d;0;2794;1530;4178;9523;4240;178;0;BPRED
1388062047764;19;"LOC_C2";"INTERVAL";"PROBE";4;63;0x0000682d;0;350;293;765;1484;644;25;0;BPRED
1388062047787;112;"LOC_C3";"INTERVAL";"PROBE";4;63;0x0000682d;0;9605;2557;10651;26385;9208;87;0;BPRED
1388062047903;28;"LOC_C4";"INTERVAL";"PROBE";4;63;0x0000682d;0;372;299;743;1535;765;36;0;BPRED
1388062047936;16889;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000682d;0;1947098;775784;2403938;5302746;1972048;65;0;BPRED
1388062064829;17085;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000682d;0;1952115;776847;2410759;5319437;1977566;899;0;BPRED
1388062081923;16849;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000682d;0;1945185;774780;2403067;5297101;1967616;9;0;BPRED
1388062098777;17336;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000682d;0;1964580;786592;2429993;5377888;2006946;1138;0;BPRED
1388062116118;17233;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000682d;0;1963941;786679;2428975;5374428;2006288;798;0;BPRED
1388062133356;17293;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000682d;0;1966372;786831;2434659;5384009;2006538;1194;0;BPRED
1388062150654;17247;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000682d;0;1964928;785853;2430540;5373815;2002328;782;0;BPRED
1388062167905;17281;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000682d;0;1963732;786175;2432351;5377946;2004954;1176;0;BPRED
1388062185191;17458;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000682d;0;1967660;788730;2436258;5391466;2012176;1454;0;BPRED
1388062202654;17215;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000682d;0;1962833;785827;2428114;5369839;2003600;794;0;BPRED
1388062219874;17253;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000682d;0;1961955;784813;2430848;5371667;2001003;1151;0;BPRED
1388062237132;17170;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000682d;0;1957646;783078;2424521;5355357;1995316;785;0;BPRED
1388062254306;17297;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000682d;0;1967403;788178;2435009;5387604;2010934;1154;0;BPRED
1388062271608;17175;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000682d;0;1961304;783967;2428038;5362867;1996510;778;0;BPRED
1388062288788;17269;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000682d;0;1966072;786349;2434367;5381194;2003635;1155;0;BPRED
1388062306063;17201;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000682d;0;1965658;786445;2431060;5376704;2002434;801;0;BPRED
1388062323269;17255;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000682d;0;1964920;785874;2433544;5378762;2001388;1159;0;BPRED
1388062340529;17183;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000682d;0;1964270;785073;2429640;5370168;1998538;775;0;BPRED
1388062357717;17298;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000682d;0;1965458;786115;2432030;5377068;2001910;1025;0;BPRED
1388062375021;17167;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000682d;0;1961688;783999;2428419;5364285;1994143;773;0;BPRED
1388062392194;22897;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x0000682d;0;2374429;969216;3136333;6758933;2354305;1730;0;BPRED
1388063647333;372104;"MAF";"INTERVAL";"PROBE";4;63;0x0000682d;1;41857204;16773112;52002722;114873696;42662689;29357;0;BPRED
1388063647354;82;"SENS_C1";"INTERVAL";"PROBE";4;63;0x0000682d;1;851;671;1614;3283;1654;139;0;BPRED
1388063647440;101;"LOC_C1";"INTERVAL";"PROBE";4;63;0x0000682d;1;2802;1529;4209;9489;4216;184;0;BPRED
1388063647545;18;"LOC_C2";"INTERVAL";"PROBE";4;63;0x0000682d;1;340;296;752;1450;624;25;0;BPRED
1388063647567;115;"LOC_C3";"INTERVAL";"PROBE";4;63;0x0000682d;1;9209;2479;10529;25323;8606;80;0;BPRED
1388063647687;29;"LOC_C4";"INTERVAL";"PROBE";4;63;0x0000682d;1;348;289;714;1451;739;41;0;BPRED
1388063647720;17333;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000682d;1;1964778;785921;2429698;5374699;2003806;1083;0;BPRED
1388063665059;17425;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000682d;1;1969547;787866;2438093;5396263;2010746;1616;0;BPRED
