TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
255723458953;358735;"MAF";"INTERVAL";"PROBE";4;63;0x00003312;0;41216236;16391588;51174116;112518902;39326371;10010;0;NOSTRESS
255723459200;53;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00003312;0;824;649;1608;3146;1503;131;0;NOSTRESS
255723459257;95;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00003312;0;2832;1549;4213;9620;4183;183;0;NOSTRESS
255723459356;19;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00003312;0;342;298;750;1469;637;30;0;NOSTRESS
255723459379;109;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00003312;0;9491;2534;10602;26086;9365;89;0;NOSTRESS
255723459492;25;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00003312;0;345;286;703;1437;688;35;0;NOSTRESS
255723459521;16722;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003312;0;1942193;770902;2399338;5284291;1854567;68;0;NOSTRESS
255723476247;17088;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003312;0;1946572;773413;2407424;5306719;1864795;1355;0;NOSTRESS
255723493340;16698;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003312;0;1940172;769959;2398115;5279173;1850799;16;0;NOSTRESS
255723510043;16899;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003312;0;1944417;772441;2404792;5298389;1859520;803;0;NOSTRESS
255723526947;16690;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003312;0;1938813;769484;2397190;5275767;1847364;15;0;NOSTRESS
255723543641;16833;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003312;0;1943714;772013;2404929;5296551;1856292;757;0;NOSTRESS
255723560478;16835;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003312;0;1944813;772399;2405712;5298586;1857193;695;0;NOSTRESS
255723577318;16694;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003312;0;1940226;769877;2398339;5278986;1848830;24;0;NOSTRESS
255723594017;16861;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003312;0;1942757;771592;2403593;5292477;1854410;717;0;NOSTRESS
255723610883;16684;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003312;0;1938469;769357;2397302;5274956;1846612;20;0;NOSTRESS
255723627572;16812;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003312;0;1942485;771556;2403357;5291818;1854399;563;0;NOSTRESS
255723644389;16691;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003312;0;1939342;769583;2397844;5276915;1847241;19;0;NOSTRESS
255723661084;16882;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003312;0;1945097;772464;2406625;5300913;1857378;867;0;NOSTRESS
255723677971;16687;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003312;0;1939535;769564;2398103;5277197;1847359;25;0;NOSTRESS
255723694663;16846;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003312;0;1945403;772513;2406152;5299726;1858279;742;0;NOSTRESS
255723711513;16695;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003312;0;1940679;770022;2398722;5280038;1848893;20;0;NOSTRESS
255723728212;16837;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003312;0;1945283;772454;2405979;5299589;1857537;700;0;NOSTRESS
255723745054;16682;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003312;0;1938518;769278;2397402;5275020;1847098;18;0;NOSTRESS
255723761740;16832;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003312;0;1943918;772089;2404825;5296586;1857048;700;0;NOSTRESS
255723778576;16689;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003312;0;1937711;769398;2396267;5273702;1847894;15;0;NOSTRESS
255723795271;22411;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00003312;0;2349946;956925;3100480;6663620;2223850;802;0;NOSTRESS
255725059023;358807;"MAF";"INTERVAL";"PROBE";4;63;0x00003312;1;41252712;16410232;51236721;112619966;39366102;7769;0;NOSTRESS
255725059059;89;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00003312;1;827;652;1605;3172;1541;136;0;NOSTRESS
255725059152;102;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00003312;1;2821;1538;4217;9515;4094;174;0;NOSTRESS
255725059258;21;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00003312;1;342;298;750;1468;634;30;0;NOSTRESS
