TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;EVT8;EVT6;EVT7;EVT18;EVT16;EVT194;LMC0;CONTEXT
209361643943;1183075;"MAF";"INTERVAL";"PROBE";1;63;0x00000ba9;0;92442871;32285518;13474757;8973068;622256;17709;0;STSB
209361644727;218;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000ba9;0;2483;638;578;414;34;11;0;STSB
209361644958;310;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000ba9;0;8053;2371;1318;1011;91;0;0;STSB
209361645276;79;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000ba9;0;3016;700;481;525;63;0;0;STSB
209361645362;372;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000ba9;0;21134;7611;2054;1631;140;10;0;STSB
209361645743;59;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000ba9;0;1093;254;226;191;15;0;0;STSB
209361645810;59678;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ba9;0;4382371;1525070;638737;431749;31768;1126;0;STSB
209361705527;54470;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ba9;0;4303808;1507392;628456;416060;28653;920;0;STSB
209361760031;55265;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ba9;0;4325170;1512315;630860;421125;29058;887;0;STSB
209361815332;54728;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ba9;0;4311947;1509318;629381;417859;28581;848;0;STSB
209361870095;54001;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ba9;0;4294794;1505329;627476;413826;28333;757;0;STSB
209361924130;55124;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ba9;0;4315269;1510019;629886;418375;28683;870;0;STSB
209361979286;54654;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ba9;0;4309094;1508597;629379;416465;28530;892;0;STSB
209362033974;53931;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ba9;0;4294562;1505272;627474;413723;28266;782;0;STSB
209362087931;54835;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ba9;0;4311854;1509384;629340;417692;29646;845;0;STSB
209362142799;54962;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ba9;0;4315564;1510136;629770;418831;30462;857;0;STSB
209362197807;54497;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ba9;0;4306548;1508085;628969;416144;28362;795;0;STSB
209362252345;54084;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ba9;0;4296668;1505799;627479;414756;28297;760;0;STSB
209362306466;54484;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ba9;0;4308192;1508498;628967;416982;28354;812;0;STSB
209362360984;54487;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ba9;0;4306822;1508161;628960;416293;28356;829;0;STSB
209362415497;54062;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ba9;0;4294782;1505328;627474;413835;28238;740;0;STSB
209362469593;54486;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ba9;0;4307641;1508367;628960;416698;28383;798;0;STSB
209362524106;62683;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ba9;0;4459567;1542640;647655;445799;33856;1679;0;STSB
