TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;EVT112;EVT113;EVT18;EVT115;EVT117;EVT1;LMC0;CONTEXT
113341980209;1142959;"MAF";"INTERVAL";"PROBE";1;63;0x000022be;0;0;0;8909979;0;0;34850;0;BPRED
113341980556;100;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000022be;0;0;0;415;0;0;137;0;BPRED
113341980664;230;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000022be;0;0;0;1013;0;0;204;0;BPRED
113341980901;62;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000022be;0;0;0;526;0;0;218;0;BPRED
113341980972;317;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000022be;0;0;0;1631;0;0;147;0;BPRED
113341981299;42;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000022be;0;0;0;192;0;0;67;0;BPRED
113341981348;53438;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;0;0;0;414414;0;0;1430;0;BPRED
113342034796;53319;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;0;0;0;415988;0;0;1714;0;BPRED
113342088122;53428;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;0;0;0;417141;0;0;2079;0;BPRED
113342141557;53121;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;0;0;0;413815;0;0;927;0;BPRED
113342194685;53438;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;0;0;0;417077;0;0;1980;0;BPRED
113342248130;53363;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;0;0;0;416558;0;0;1858;0;BPRED
113342301500;53198;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;0;0;0;414414;0;0;1121;0;BPRED
113342354704;53513;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;0;0;0;417791;0;0;2420;0;BPRED
113342408224;53338;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;0;0;0;416732;0;0;2041;0;BPRED
113342461569;53118;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;0;0;0;413840;0;0;956;0;BPRED
113342514694;53273;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;0;0;0;416030;0;0;1628;0;BPRED
113342567974;53288;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;0;0;0;416034;0;0;1618;0;BPRED
113342621270;53117;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;0;0;0;413845;0;0;934;0;BPRED
113342674394;53398;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;0;0;0;416838;0;0;1894;0;BPRED
113342727799;53270;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;0;0;0;416000;0;0;1607;0;BPRED
113342781076;53151;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;0;0;0;413775;0;0;919;0;BPRED
113342834234;53460;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;0;0;0;416625;0;0;1962;0;BPRED
113342887701;53386;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;0;0;0;416024;0;0;1594;0;BPRED
113342941095;53229;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;0;0;0;413844;0;0;907;0;BPRED
113342994331;53381;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;0;0;0;416028;0;0;1634;0;BPRED
113343047738;75420;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000022be;0;0;0;586049;0;0;1714;0;BPRED
113343580064;1145233;"MAF";"INTERVAL";"PROBE";1;63;0x000022be;1;0;0;8924638;0;0;31479;0;BPRED
113343580081;85;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000022be;1;0;0;415;0;0;134;0;BPRED
113343580175;180;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000022be;1;0;0;1013;0;0;201;0;BPRED
113343580362;25;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000022be;1;0;0;180;0;0;44;0;BPRED
113343580398;299;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000022be;1;0;0;1632;0;0;151;0;BPRED
113343580707;35;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000022be;1;0;0;191;0;0;64;0;BPRED
113343580748;53326;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;1;0;0;414120;0;0;1207;0;BPRED
113343634082;53387;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;1;0;0;415988;0;0;1604;0;BPRED
113343687477;53379;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;1;0;0;416073;0;0;1536;0;BPRED
113343740864;53218;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;1;0;0;413810;0;0;867;0;BPRED
113343794089;53390;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;1;0;0;415986;0;0;1541;0;BPRED
113343847486;53525;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;1;0;0;417270;0;0;2070;0;BPRED
113343901021;53194;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;1;0;0;414487;0;0;1170;0;BPRED
113343954222;53414;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;1;0;0;417260;0;0;2079;0;BPRED
113344007643;53380;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;1;0;0;417218;0;0;2030;0;BPRED
113344061030;53125;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;1;0;0;413819;0;0;916;0;BPRED
113344114162;53254;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;1;0;0;415961;0;0;1525;0;BPRED
113344167423;53254;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;1;0;0;415981;0;0;1489;0;BPRED
113344220684;53106;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;1;0;0;413827;0;0;865;0;BPRED
113344273797;53197;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;1;0;0;414679;0;0;1199;0;BPRED
113344327001;53430;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;1;0;0;416798;0;0;1747;0;BPRED
113344380445;53224;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;1;0;0;413816;0;0;888;0;BPRED
113344433682;53536;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;1;0;0;415976;0;0;1517;0;BPRED
113344487234;53488;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;1;0;0;416558;0;0;1780;0;BPRED
113344540734;53182;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;1;0;0;413822;0;0;902;0;BPRED
113344593929;53413;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;1;0;0;415971;0;0;1539;0;BPRED
113344647373;77915;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000022be;1;0;0;606441;0;0;1511;0;BPRED
113345180100;1148229;"MAF";"INTERVAL";"PROBE";1;63;0x000022be;2;0;0;8939955;0;0;29572;0;BPRED
113345180122;128;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000022be;2;0;0;415;0;0;131;0;BPRED
113345180259;233;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000022be;2;0;0;1192;0;0;217;0;BPRED
113345180499;32;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000022be;2;0;0;181;0;0;37;0;BPRED
113345180542;310;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000022be;2;0;0;1631;0;0;127;0;BPRED
113345180861;42;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000022be;2;0;0;191;0;0;65;0;BPRED
113345180910;53236;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;2;0;0;414068;0;0;1153;0;BPRED
113345234154;53350;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;2;0;0;415990;0;0;1607;0;BPRED
113345287519;53287;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;2;0;0;414818;0;0;1171;0;BPRED
113345340818;53101;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;2;0;0;412518;0;0;469;0;BPRED
113345393926;53322;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000022be;2;0;0;414811;0;0;1221;0;BPRED
