TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;EVT4;EVT3;EVT21;EVT22;EVT23;EVT24;LMC0;CONTEXT
135767200092;1143565;"MAF";"INTERVAL";"PROBE";1;63;0x0000270f;0;46388739;11491;27002;85374;1682;1425;0;BPRED
135767200462;105;"SENS_C1";"INTERVAL";"PROBE";1;63;0x0000270f;0;1453;45;50;243;81;14;0;BPRED
135767200576;237;"LOC_C1";"INTERVAL";"PROBE";1;63;0x0000270f;0;3901;30;30;278;147;27;0;BPRED
135767200819;65;"LOC_C2";"INTERVAL";"PROBE";1;63;0x0000270f;0;1444;51;50;295;29;7;0;BPRED
135767200894;316;"LOC_C3";"INTERVAL";"PROBE";1;63;0x0000270f;0;9806;36;50;228;78;12;0;BPRED
135767201218;37;"LOC_C4";"INTERVAL";"PROBE";1;63;0x0000270f;0;583;9;8;69;27;9;0;BPRED
135767201262;53467;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000270f;0;2167467;555;1421;4271;657;169;0;BPRED
135767254737;53447;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000270f;0;2173520;720;1480;5084;66;97;0;BPRED
135767308201;53453;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000270f;0;2174382;789;1591;5403;47;64;0;BPRED
135767361665;53194;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000270f;0;2167367;388;1169;3476;13;24;0;BPRED
135767414866;53402;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000270f;0;2173610;570;1398;4898;28;39;0;BPRED
135767468276;53303;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000270f;0;2170849;542;1303;4213;14;52;0;BPRED
135767521590;53171;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000270f;0;2167444;444;1217;3619;10;51;0;BPRED
135767574768;53427;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000270f;0;2173384;790;1565;4948;81;76;0;BPRED
135767628202;53327;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000270f;0;2171278;594;1427;4371;18;57;0;BPRED
135767681536;53238;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000270f;0;2166139;407;1117;3075;17;62;0;BPRED
135767734781;53401;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000270f;0;2171207;598;1429;4301;8;43;0;BPRED
135767788189;53532;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000270f;0;2172948;715;1490;4861;57;71;0;BPRED
135767841730;53190;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000270f;0;2163157;215;963;2394;20;88;0;BPRED
135767894927;53413;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000270f;0;2171271;515;1281;4008;18;42;0;BPRED
135767948348;53379;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000270f;0;2171197;676;1468;4387;17;83;0;BPRED
135768001734;53149;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000270f;0;2163126;220;937;2335;7;27;0;BPRED
135768054890;53295;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000270f;0;2168246;402;1179;3480;12;62;0;BPRED
135768108192;53392;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000270f;0;2171224;699;1397;4285;13;56;0;BPRED
135768161591;53223;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000270f;0;2166099;354;1120;3077;6;52;0;BPRED
135768214821;53298;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000270f;0;2168215;426;1140;3412;11;23;0;BPRED
