TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;EVT8;EVT6;EVT7;EVT18;EVT16;EVT194;LMC0;CONTEXT
187290290720;1142649;"MAF";"INTERVAL";"PROBE";1;63;0x00002cff;0;92191790;32228232;13448034;8913028;611123;16709;0;BPRED
187290291074;103;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002cff;0;2490;640;578;415;37;9;0;BPRED
187290291185;229;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002cff;0;8059;2374;1320;1013;100;0;0;BPRED
187290291424;65;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002cff;0;3031;703;480;528;78;3;0;BPRED
187290291498;314;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002cff;0;21137;7612;2056;1632;144;15;0;BPRED
187290291820;41;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002cff;0;1096;256;226;192;18;0;0;BPRED
187290291868;53681;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002cff;0;4315684;1510080;630139;417773;29600;978;0;BPRED
187290345558;53370;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002cff;0;4309751;1508762;629441;416578;28744;880;0;BPRED
187290398935;53130;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002cff;0;4295096;1505361;627505;413817;28387;766;0;BPRED
187290452072;53417;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002cff;0;4312777;1509396;629812;417199;28724;844;0;BPRED
187290505496;53305;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002cff;0;4306765;1508068;629036;415979;28500;796;0;BPRED
187290558809;53205;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002cff;0;4298400;1506092;627930;414537;28392;829;0;BPRED
187290612021;53367;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002cff;0;4310026;1508799;629442;416722;28588;769;0;BPRED
187290665395;53372;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002cff;0;4309941;1508768;629418;416683;28530;800;0;BPRED
187290718774;53247;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002cff;0;4299077;1506242;628056;414603;28455;841;0;BPRED
187290772028;53293;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002cff;0;4307579;1508334;629259;416039;28542;824;0;BPRED
