TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;EVT4;EVT3;EVT21;EVT22;EVT23;EVT24;LMC0;CONTEXT
713447247536;359353;"MAF";"INTERVAL";"PROBE";4;63;0x00003c2f;0;51209401;7437;3389;69599;2736;963;0;BPRED
713447247791;55;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00003c2f;0;1583;36;11;411;126;46;0;BPRED
713447247850;92;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00003c2f;0;4207;25;7;407;151;33;0;BPRED
713447247947;21;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00003c2f;0;769;10;7;71;28;7;0;BPRED
713447247972;109;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00003c2f;0;10697;26;5;224;75;32;0;BPRED
713447248085;25;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00003c2f;0;698;8;3;88;27;8;0;BPRED
713447248114;17281;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;0;2421646;807;533;7320;1134;343;0;BPRED
713447265400;16710;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;0;2399655;115;78;1912;0;0;0;BPRED
713447282114;16955;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;0;2410540;566;227;4777;254;84;0;BPRED
713447299074;16699;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;0;2398675;120;88;1928;0;1;0;BPRED
713447315777;16914;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;0;2407661;584;256;4815;112;28;0;BPRED
713447332696;16699;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;0;2398226;112;59;1891;0;0;0;BPRED
713447349400;16839;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;0;2405287;485;212;4090;27;5;0;BPRED
713447366244;16691;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;0;2397346;112;57;1871;0;0;0;BPRED
713447382940;16882;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;0;2403363;426;174;3853;30;5;0;BPRED
713447399826;16803;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;0;2404045;370;98;3385;20;5;0;BPRED
713447416634;16705;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;0;2398843;120;129;1895;0;0;0;BPRED
713447433343;17068;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;0;2420017;749;290;5132;143;41;0;BPRED
713447450415;16705;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;0;2398738;114;143;1897;0;0;0;BPRED
713447467124;16856;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;0;2406017;487;170;4079;29;6;0;BPRED
713447483984;16706;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;0;2398724;112;99;1886;0;1;0;BPRED
713447500694;16840;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;0;2403959;414;140;3466;30;13;0;BPRED
713447517538;16697;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;0;2397919;119;79;1886;0;1;0;BPRED
713447534239;16790;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;0;2402268;395;152;3338;14;6;0;BPRED
713447551033;16692;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;0;2397115;118;66;1857;0;1;0;BPRED
713447567729;16927;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;0;2406245;547;223;4539;231;124;0;BPRED
713447584661;22224;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00003c2f;0;3091657;55;19;397;126;74;0;BPRED
713448847525;359339;"MAF";"INTERVAL";"PROBE";4;63;0x00003c2f;1;51314830;6344;2884;61627;2574;1362;0;BPRED
713448847552;92;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00003c2f;1;1615;45;21;444;239;134;0;BPRED
713448847648;96;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00003c2f;1;4127;26;17;427;184;97;0;BPRED
713448847748;23;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00003c2f;1;750;12;3;88;38;24;0;BPRED
713448847776;114;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00003c2f;1;10480;27;11;233;92;49;0;BPRED
713448847896;27;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00003c2f;1;684;9;0;94;39;22;0;BPRED
713448847927;17091;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;1;2409480;561;407;6120;1474;868;0;BPRED
713448865023;16712;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;1;2399039;111;65;1898;0;1;0;BPRED
713448881739;16860;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;1;2405307;445;174;3798;55;20;0;BPRED
713448898604;16716;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;1;2399184;120;67;1865;0;2;0;BPRED
713448915324;16825;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;1;2406448;430;179;3564;22;1;0;BPRED
713448932153;16717;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;1;2400606;120;60;1865;0;0;0;BPRED
713448948874;16870;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;1;2408466;505;223;3991;66;27;0;BPRED
713448965749;16704;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;1;2397122;130;65;1885;0;1;0;BPRED
713448982457;16824;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;1;2406415;426;193;3576;27;1;0;BPRED
713448999285;16705;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;1;2399853;119;54;1861;0;1;0;BPRED
713449015994;16820;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c2f;1;2407070;406;195;3571;32;3;0;BPRED
