TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;EVT5;EVT2;EVT4;EVT20;EVT25;EVT19;LMC0;CONTEXT
1504571881859;366503;"MAF";"INTERVAL";"PROBE";4;63;0x0000717b;0;5867;287;51627173;42002193;10760;51627173;0;BPRED
1504571882047;60;"SENS_C1";"INTERVAL";"PROBE";4;63;0x0000717b;0;1;11;1583;1509;580;1581;0;BPRED
1504571882111;94;"LOC_C1";"INTERVAL";"PROBE";4;63;0x0000717b;0;4;6;4174;4226;952;4167;0;BPRED
1504571882209;25;"LOC_C2";"INTERVAL";"PROBE";4;63;0x0000717b;0;0;2;764;638;256;756;0;BPRED
1504571882238;117;"LOC_C3";"INTERVAL";"PROBE";4;63;0x0000717b;0;2;2;10693;9473;460;10685;0;BPRED
1504571882359;24;"LOC_C4";"INTERVAL";"PROBE";4;63;0x0000717b;0;0;0;721;698;172;713;0;BPRED
1504571882387;17168;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000717b;0;140;37;2407799;1968764;4940;2407791;0;BPRED
1504571899560;16860;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000717b;0;4;1;2401567;1959186;48;2401578;0;BPRED
1504571916425;16991;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000717b;0;130;12;2408545;1969259;324;2408543;0;BPRED
1504571933421;16838;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000717b;0;5;0;2401088;1958226;8;2401097;0;BPRED
1504571950263;17137;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000717b;0;166;16;2414868;1976026;1256;2414863;0;BPRED
1504571967405;17180;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000717b;0;296;12;2426842;1986224;276;2426851;0;BPRED
1504571984590;17252;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000717b;0;379;10;2433168;1990399;96;2433170;0;BPRED
1504572001847;17144;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000717b;0;268;6;2426350;1981027;4;2426358;0;BPRED
1504572018995;17294;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000717b;0;371;17;2431854;1987488;36;2431858;0;BPRED
1504572036294;17133;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000717b;0;271;8;2425596;1978042;4;2425604;0;BPRED
1504572053431;17286;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000717b;0;378;12;2431366;1985664;64;2431368;0;BPRED
1504572070721;17160;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000717b;0;285;5;2426656;1986068;4;2426664;0;BPRED
1504572087885;17263;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000717b;0;377;8;2430354;1989788;188;2430356;0;BPRED
1504572105153;17250;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000717b;0;365;10;2430768;1991194;4;2430768;0;BPRED
1504572122408;17138;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000717b;0;267;6;2422287;1980876;4;2422293;0;BPRED
1504572139551;17236;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000717b;0;383;7;2430805;1987681;4;2430806;0;BPRED
1504572156792;17273;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000717b;0;393;6;2435915;1989610;4;2435924;0;BPRED
1504572174070;17291;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000717b;0;389;15;2432694;1991709;316;2432696;0;BPRED
1504572191366;17141;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000717b;0;273;8;2424855;1980086;8;2424863;0;BPRED
