TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;EVT112;EVT113;EVT4;EVT27;EVT20;EVT1;LMC0;CONTEXT
141549227140;1141529;"MAF";"INTERVAL";"PROBE";1;63;0x00002bf3;0;0;0;46397378;0;59968980;32150;0;CPUTHEFT
141549227525;115;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002bf3;0;0;0;1453;0;2086;144;0;CPUTHEFT
141549227650;238;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002bf3;0;0;0;3894;0;6048;213;0;CPUTHEFT
141549227894;65;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002bf3;0;0;0;1447;0;2682;195;0;CPUTHEFT
141549227966;327;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002bf3;0;0;0;9802;0;13633;131;0;CPUTHEFT
141549228300;44;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002bf3;0;0;0;586;0;901;42;0;CPUTHEFT
141549228352;53727;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;0;0;0;2174455;0;2818393;2510;0;CPUTHEFT
141549282093;53282;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;0;0;0;2167418;0;2792175;1167;0;CPUTHEFT
141549335382;53245;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;0;0;0;2169445;0;2793434;1388;0;CPUTHEFT
141549388634;53286;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;0;0;0;2171714;0;2801465;1829;0;CPUTHEFT
141549441928;53154;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;0;0;0;2167520;0;2788729;1171;0;CPUTHEFT
141549495089;53344;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;0;0;0;2173733;0;2803624;2032;0;CPUTHEFT
141549548441;53349;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;0;0;0;2173752;0;2802134;2038;0;CPUTHEFT
141549601798;53113;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;0;0;0;2166107;0;2789029;925;0;CPUTHEFT
141549654918;53288;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;0;0;0;2172431;0;2800188;1780;0;CPUTHEFT
141549708213;53165;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;0;0;0;2168243;0;2793298;1222;0;CPUTHEFT
141549761385;53092;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;0;0;0;2166133;0;2787245;807;0;CPUTHEFT
141549814484;53242;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;0;0;0;2171247;0;2797164;1495;0;CPUTHEFT
141549867733;53372;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;0;0;0;2173081;0;2801811;1718;0;CPUTHEFT
141549921113;53081;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;0;0;0;2166187;0;2787243;803;0;CPUTHEFT
141549974201;53225;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;0;0;0;2171165;0;2797818;1472;0;CPUTHEFT
141550027433;53224;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;0;0;0;2171293;0;2797337;1436;0;CPUTHEFT
141550080664;53082;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;0;0;0;2166108;0;2785426;819;0;CPUTHEFT
141550133752;53208;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;0;0;0;2169732;0;2796049;1347;0;CPUTHEFT
141550186968;53234;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;0;0;0;2171144;0;2796720;1491;0;CPUTHEFT
141550240209;53079;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;0;0;0;2166076;0;2789230;819;0;CPUTHEFT
141550293298;75363;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00002bf3;0;0;0;2963423;0;3991348;2155;0;CPUTHEFT
141550827052;1142964;"MAF";"INTERVAL";"PROBE";1;63;0x00002bf3;1;0;0;46488466;0;60071345;28208;0;CPUTHEFT
141550827070;109;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002bf3;1;0;0;1450;0;2011;144;0;CPUTHEFT
141550827185;188;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002bf3;1;0;0;3891;0;6026;217;0;CPUTHEFT
141550827379;25;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002bf3;1;0;0;650;0;923;29;0;CPUTHEFT
141550827412;306;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002bf3;1;0;0;9805;0;13550;110;0;CPUTHEFT
141550827725;42;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002bf3;1;0;0;585;0;878;42;0;CPUTHEFT
141550827773;53308;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;1;0;0;2171849;0;2802370;1879;0;CPUTHEFT
141550881088;53085;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;1;0;0;2165982;0;2788618;844;0;CPUTHEFT
141550934180;53233;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;1;0;0;2171176;0;2799606;1484;0;CPUTHEFT
141550987420;53225;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;1;0;0;2171109;0;2798247;1477;0;CPUTHEFT
141551040652;53085;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;1;0;0;2166071;0;2785856;805;0;CPUTHEFT
141551093744;53229;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;1;0;0;2171182;0;2797193;1476;0;CPUTHEFT
141551146980;53226;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;1;0;0;2171191;0;2796584;1429;0;CPUTHEFT
141551200214;53086;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;1;0;0;2166268;0;2786570;821;0;CPUTHEFT
141551253307;53242;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;1;0;0;2171663;0;2798208;1474;0;CPUTHEFT
141551306556;53224;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;1;0;0;2171094;0;2799259;1422;0;CPUTHEFT
141551359788;53082;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;1;0;0;2166103;0;2787143;808;0;CPUTHEFT
141551412877;53164;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;1;0;0;2168403;0;2790566;1160;0;CPUTHEFT
141551466048;53239;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;1;0;0;2171235;0;2799009;1486;0;CPUTHEFT
141551519296;53208;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;1;0;0;2168092;0;2794010;1033;0;CPUTHEFT
141551572515;53322;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;1;0;0;2171317;0;2798742;1414;0;CPUTHEFT
141551625851;53303;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;1;0;0;2171140;0;2797588;1404;0;CPUTHEFT
141551679169;53138;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;1;0;0;2166027;0;2786619;797;0;CPUTHEFT
141551732319;53265;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;1;0;0;2171151;0;2797374;1429;0;CPUTHEFT
141551785605;53248;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;1;0;0;2171042;0;2797218;1411;0;CPUTHEFT
141551838861;53088;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;1;0;0;2166055;0;2787942;805;0;CPUTHEFT
141551891960;78045;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00002bf3;1;0;0;3067719;0;4132356;2075;0;CPUTHEFT
141552427050;1146807;"MAF";"INTERVAL";"PROBE";1;63;0x00002bf3;2;0;0;46599450;0;60304999;28718;0;CPUTHEFT
141552427072;119;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002bf3;2;0;0;1453;0;2069;138;0;CPUTHEFT
141552427197;226;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002bf3;2;0;0;4912;0;7466;231;0;CPUTHEFT
141552427429;33;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002bf3;2;0;0;650;0;894;26;0;CPUTHEFT
141552427468;312;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002bf3;2;0;0;9814;0;13429;104;0;CPUTHEFT
141552427789;46;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002bf3;2;0;0;586;0;889;37;0;CPUTHEFT
141552427842;53478;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;2;0;0;2171641;0;2815289;1766;0;CPUTHEFT
141552481328;53116;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;2;0;0;2165981;0;2788263;848;0;CPUTHEFT
141552534459;53253;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;2;0;0;2171118;0;2800727;1512;0;CPUTHEFT
141552587720;53182;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;2;0;0;2168370;0;2796197;1149;0;CPUTHEFT
141552640909;53086;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;2;0;0;2166117;0;2790902;795;0;CPUTHEFT
141552694002;53232;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;2;0;0;2171167;0;2800892;1419;0;CPUTHEFT
141552747242;53269;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;2;0;0;2171023;0;2799620;1399;0;CPUTHEFT
141552800518;53374;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;2;0;0;2166870;0;2791351;1182;0;CPUTHEFT
141552853899;53237;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;2;0;0;2171113;0;2799599;1434;0;CPUTHEFT
141552907144;53177;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;2;0;0;2168144;0;2793821;1134;0;CPUTHEFT
141552960329;53081;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;2;0;0;2166138;0;2789133;795;0;CPUTHEFT
141553013419;53247;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;2;0;0;2171413;0;2799124;1497;0;CPUTHEFT
141553066673;53247;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;2;0;0;2171204;0;2799209;1459;0;CPUTHEFT
141553119927;53102;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;2;0;0;2166141;0;2788050;758;0;CPUTHEFT
141553173039;53472;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;2;0;0;2172825;0;2803927;1636;0;CPUTHEFT
141553226524;53331;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;2;0;0;2171029;0;2800896;1448;0;CPUTHEFT
141553279867;53137;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;2;0;0;2166089;0;2791003;829;0;CPUTHEFT
141553333015;53253;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;2;0;0;2171048;0;2800894;1407;0;CPUTHEFT
141553386275;53332;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;2;0;0;2171207;0;2813552;1469;0;CPUTHEFT
141553439615;53143;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;2;0;0;2166076;0;2799676;815;0;CPUTHEFT
141553492767;81081;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00002bf3;2;0;0;3181103;0;4291114;2683;0;CPUTHEFT
141554027117;1149791;"MAF";"INTERVAL";"PROBE";1;63;0x00002bf3;3;0;0;46717577;0;60479994;28086;0;CPUTHEFT
141554027156;132;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002bf3;3;0;0;1450;0;2078;141;0;CPUTHEFT
141554027296;253;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002bf3;3;0;0;4920;0;7403;215;0;CPUTHEFT
141554027555;39;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002bf3;3;0;0;650;0;925;23;0;CPUTHEFT
141554027600;315;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002bf3;3;0;0;9801;0;13443;99;0;CPUTHEFT
141554027923;44;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002bf3;3;0;0;584;0;899;42;0;CPUTHEFT
141554027975;53825;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;3;0;0;2175415;0;2820702;2386;0;CPUTHEFT
141554081809;53184;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;3;0;0;2166153;0;2802947;838;0;CPUTHEFT
141554135003;53363;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;3;0;0;2171435;0;2802787;1490;0;CPUTHEFT
141554188373;53284;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;3;0;0;2171354;0;2801225;1446;0;CPUTHEFT
141554241665;53091;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;3;0;0;2166330;0;2791708;833;0;CPUTHEFT
141554294763;53166;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;3;0;0;2168481;0;2796542;1080;0;CPUTHEFT
141554347936;53253;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;3;0;0;2171464;0;2804101;1436;0;CPUTHEFT
141554401196;53146;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;3;0;0;2166257;0;2797156;812;0;CPUTHEFT
141554454359;53260;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;3;0;0;2171260;0;2804308;1401;0;CPUTHEFT
141554507641;53241;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002bf3;3;0;0;2171499;0;2801906;1435;0;CPUTHEFT
