TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;EVT4;EVT3;EVT21;EVT22;EVT23;EVT24;LMC0;CONTEXT
6650945248;2294944;"MAF";"INTERVAL";"PROBE";1;63;0x0000081d;0;121063352;19699;37277;137859;2937;2818;0;CPUTHEFT
6650945649;107;"SENS_C1";"INTERVAL";"PROBE";1;63;0x0000081d;0;1453;36;43;215;91;20;0;CPUTHEFT
6650945764;234;"LOC_C1";"INTERVAL";"PROBE";1;63;0x0000081d;0;3895;36;40;297;156;25;0;CPUTHEFT
6650946006;63;"LOC_C2";"INTERVAL";"PROBE";1;63;0x0000081d;0;1447;35;34;279;30;6;0;CPUTHEFT
6650946077;324;"LOC_C3";"INTERVAL";"PROBE";1;63;0x0000081d;0;9812;41;54;239;99;17;0;CPUTHEFT
6650946410;39;"LOC_C4";"INTERVAL";"PROBE";1;63;0x0000081d;0;582;10;10;67;29;7;0;CPUTHEFT
6650946456;117573;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000081d;0;6305187;1289;2215;8564;988;294;0;CPUTHEFT
6651064044;117529;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000081d;0;6318747;1097;1999;7571;406;156;0;CPUTHEFT
6651181581;85265;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000081d;0;4238022;724;1532;5208;54;63;0;CPUTHEFT
6651266854;117637;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000081d;0;6320833;1257;2169;8121;245;125;0;CPUTHEFT
6651384505;117448;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000081d;0;6311065;1363;2251;8544;197;109;0;CPUTHEFT
6651501961;85192;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000081d;0;4238040;736;1607;5188;25;75;0;CPUTHEFT
6651587160;117284;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000081d;0;6320757;868;1712;6516;45;78;0;CPUTHEFT
6651704451;117272;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000081d;0;6322861;913;1825;6666;13;90;0;CPUTHEFT
6651821730;85112;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000081d;0;4241851;520;1335;4311;7;58;0;CPUTHEFT
6651906867;117276;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000081d;0;6322846;1035;1893;6853;6;158;0;CPUTHEFT
6652024150;117274;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000081d;0;6321995;917;1821;6652;9;126;0;CPUTHEFT
6652141432;85112;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000081d;0;4241752;474;1318;4269;5;71;0;CPUTHEFT
6652226551;117503;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000081d;0;6321772;1199;2092;7814;159;294;0;CPUTHEFT
6652344062;117286;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000081d;0;6318343;924;1832;6720;52;160;0;CPUTHEFT
6652461355;85252;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000081d;0;4246093;743;1558;5227;16;115;0;CPUTHEFT
6652546615;117289;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000081d;0;6320308;1002;1884;7180;26;126;0;CPUTHEFT
6652663911;117274;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000081d;0;6322826;921;1780;6627;7;118;0;CPUTHEFT
6652781192;85116;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000081d;0;4242097;566;1354;4279;4;105;0;CPUTHEFT
6652866316;117269;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000081d;0;6321634;888;1831;6662;11;89;0;CPUTHEFT
6652983593;117275;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000081d;0;6319820;1052;2018;7280;32;124;0;CPUTHEFT
6653100892;139291;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x0000081d;0;7109428;700;745;4628;138;109;0;CPUTHEFT
6653245727;2314451;"MAF";"INTERVAL";"PROBE";1;63;0x0000081d;1;122329271;19986;37151;134567;2505;979;0;CPUTHEFT
6653245742;113;"SENS_C1";"INTERVAL";"PROBE";1;63;0x0000081d;1;1450;40;46;223;109;52;0;CPUTHEFT
6653245863;196;"LOC_C1";"INTERVAL";"PROBE";1;63;0x0000081d;1;3891;36;45;305;124;67;0;CPUTHEFT
