TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;EVT5;EVT2;EVT4;EVT20;EVT25;EVT19;LMC0;CONTEXT
155616992115;358470;"MAF";"INTERVAL";"PROBE";4;63;0x00001ec3;0;1536;122;51158945;39304481;9839;51159006;0;NOSTRESS
155616992369;55;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00001ec3;0;3;12;1578;1472;588;1576;0;NOSTRESS
155616992428;90;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00001ec3;0;4;4;4191;4117;804;4183;0;NOSTRESS
155616992522;20;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00001ec3;0;0;3;749;651;208;741;0;NOSTRESS
155616992547;116;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00001ec3;0;1;2;10628;9453;456;10620;0;NOSTRESS
155616992667;24;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00001ec3;0;1;0;703;678;212;697;0;NOSTRESS
155616992695;16723;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ec3;0;3;7;2398765;1851829;2176;2398758;0;NOSTRESS
155617009422;16920;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ec3;0;134;35;2405469;1860495;772;2405454;0;NOSTRESS
155617026347;16696;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ec3;0;4;1;2398450;1849273;4;2398451;0;NOSTRESS
155617043047;16809;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ec3;0;115;5;2403494;1856026;180;2403479;0;NOSTRESS
155617059861;16701;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ec3;0;6;1;2398694;1850442;4;2398697;0;NOSTRESS
155617076566;16814;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ec3;0;129;1;2404381;1856043;156;2404382;0;NOSTRESS
155617093385;16690;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ec3;0;5;1;2397252;1847227;16;2397255;0;NOSTRESS
155617110079;16796;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ec3;0;112;2;2401636;1853259;212;2401632;0;NOSTRESS
155617126879;16726;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ec3;0;12;1;2397898;1848534;16;2397916;0;NOSTRESS
155617143610;16852;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ec3;0;125;3;2407073;1859970;108;2407072;0;NOSTRESS
155617160466;16692;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ec3;0;6;1;2397600;1848584;8;2397601;0;NOSTRESS
