TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;EVT4;EVT3;EVT21;EVT22;EVT23;EVT24;LMC0;CONTEXT
242623676260;1142186;"MAF";"INTERVAL";"PROBE";1;63;0x0000462b;0;46409035;11632;27067;88631;1871;1557;0;SPECTRE
242623676633;102;"SENS_C1";"INTERVAL";"PROBE";1;63;0x0000462b;0;1453;56;64;262;95;20;0;SPECTRE
242623676746;233;"LOC_C1";"INTERVAL";"PROBE";1;63;0x0000462b;0;3896;33;32;277;149;30;0;SPECTRE
242623676986;65;"LOC_C2";"INTERVAL";"PROBE";1;63;0x0000462b;0;1449;46;46;322;26;6;0;SPECTRE
242623677060;315;"LOC_C3";"INTERVAL";"PROBE";1;63;0x0000462b;0;9809;32;56;256;88;22;0;SPECTRE
242623677383;36;"LOC_C4";"INTERVAL";"PROBE";1;63;0x0000462b;0;582;9;9;82;26;3;0;SPECTRE
242623677426;53571;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;0;2172399;704;1617;5380;868;202;0;SPECTRE
242623731004;53364;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;0;2172479;535;1409;4725;121;102;0;SPECTRE
242623784375;53114;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;0;2166076;347;1100;3060;8;44;0;SPECTRE
242623837495;53400;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;0;2173630;732;1516;5049;30;75;0;SPECTRE
242623890902;53391;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;0;2173834;655;1453;4908;33;67;0;SPECTRE
242623944302;53336;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;0;2169386;564;1333;4058;104;65;0;SPECTRE
242623997647;53392;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;0;2173643;661;1455;4963;25;40;0;SPECTRE
242624051047;53356;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;0;2173746;690;1514;5047;4;69;0;SPECTRE
242624104410;53107;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;0;2165967;336;1129;3141;4;45;0;SPECTRE
242624157524;53382;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;0;2173756;810;1587;5296;34;91;0;SPECTRE
242624210915;53261;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;0;2171231;555;1307;4180;10;41;0;SPECTRE
242624264183;53103;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;0;2166108;336;1058;2971;1;33;0;SPECTRE
242624317293;53246;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;0;2171133;451;1194;3889;5;44;0;SPECTRE
242624370546;53253;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;0;2171336;436;1189;3917;1;70;0;SPECTRE
242624423806;53108;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;0;2166104;406;1105;3067;2;60;0;SPECTRE
242624476921;53254;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;0;2171105;491;1236;3972;6;72;0;SPECTRE
242624530182;53256;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;0;2171165;661;1348;4175;1;48;0;SPECTRE
242624583446;53102;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;0;2166132;289;1053;2949;2;30;0;SPECTRE
242624636555;53245;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;0;2170996;451;1213;3929;6;72;0;SPECTRE
242624689807;53260;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;0;2171185;664;1345;4163;6;76;0;SPECTRE
242624743074;75362;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x0000462b;0;2960555;412;431;2778;165;44;0;SPECTRE
242625276175;1143161;"MAF";"INTERVAL";"PROBE";1;63;0x0000462b;1;46487532;10716;25678;80866;747;1721;0;SPECTRE
242625276196;98;"SENS_C1";"INTERVAL";"PROBE";1;63;0x0000462b;1;1449;50;54;230;100;37;0;SPECTRE
242625276300;181;"LOC_C1";"INTERVAL";"PROBE";1;63;0x0000462b;1;3889;29;32;275;101;38;0;SPECTRE
242625276489;32;"LOC_C2";"INTERVAL";"PROBE";1;63;0x0000462b;1;647;19;18;88;24;10;0;SPECTRE
242625276528;301;"LOC_C3";"INTERVAL";"PROBE";1;63;0x0000462b;1;9805;29;41;219;69;33;0;SPECTRE
242625276839;37;"LOC_C4";"INTERVAL";"PROBE";1;63;0x0000462b;1;582;14;14;89;29;20;0;SPECTRE
242625276882;53315;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;1;2171867;561;1405;4681;17;165;0;SPECTRE
242625330204;53258;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;1;2171017;620;1422;4354;2;96;0;SPECTRE
242625383470;53109;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;1;2166161;330;1148;3141;5;67;0;SPECTRE
242625436586;53254;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;1;2171120;426;1218;3945;6;71;0;SPECTRE
242625489847;53257;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;1;2171134;548;1311;4113;5;88;0;SPECTRE
242625543111;53098;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;1;2166067;294;1019;2887;1;81;0;SPECTRE
242625596217;53322;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;1;2173046;539;1276;4279;22;79;0;SPECTRE
242625649547;53275;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;1;2171235;761;1421;4416;1;96;0;SPECTRE
242625702829;53104;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;1;2166100;382;1073;3010;1;45;0;SPECTRE
242625755940;53276;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;1;2171134;702;1373;4233;11;72;0;SPECTRE
242625809223;53264;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;1;2171319;547;1256;4069;2;57;0;SPECTRE
242625862495;53104;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;1;2166112;297;1033;2934;1;36;0;SPECTRE
242625915606;53255;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;1;2171343;530;1255;4043;1;66;0;SPECTRE
242625968869;53261;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;1;2171102;605;1338;4206;6;69;0;SPECTRE
242626022138;53115;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;1;2166093;336;1070;2961;40;281;0;SPECTRE
242626075263;53278;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;1;2171201;491;1235;3947;50;103;0;SPECTRE
242626128555;53288;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;1;2171198;645;1406;4304;57;52;0;SPECTRE
242626181852;53122;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000462b;1;2166113;400;1208;3238;33;26;0;SPECTRE
