TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;EVT4;EVT3;EVT21;EVT22;EVT23;EVT24;LMC0;CONTEXT
677768291799;1141899;"MAF";"INTERVAL";"PROBE";1;63;0x00004b8b;0;46394473;10941;26551;85278;2364;1647;0;SPECTRE
677768292147;111;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00004b8b;0;1452;40;45;234;94;15;0;SPECTRE
677768292268;230;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00004b8b;0;3899;27;31;286;151;25;0;SPECTRE
677768292505;66;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00004b8b;0;1450;29;29;265;31;6;0;SPECTRE
677768292581;318;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00004b8b;0;9811;31;47;243;91;17;0;SPECTRE
677768292910;40;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00004b8b;0;582;9;9;82;29;8;0;SPECTRE
677768292957;53336;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004b8b;0;2167512;479;1399;4151;806;173;0;SPECTRE
677768346312;53442;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004b8b;0;2172633;586;1440;4855;346;136;0;SPECTRE
677768399765;53410;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004b8b;0;2173743;663;1434;4879;102;97;0;SPECTRE
677768453185;53187;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004b8b;0;2167451;442;1238;3592;37;48;0;SPECTRE
677768506379;53336;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004b8b;0;2172593;529;1334;4535;35;45;0;SPECTRE
677768559723;53349;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004b8b;0;2172522;654;1438;4692;31;45;0;SPECTRE
677768613079;53259;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004b8b;0;2167960;519;1256;3681;90;52;0;SPECTRE
677768666345;53271;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004b8b;0;2171121;523;1347;4255;16;54;0;SPECTRE
677768719623;53274;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004b8b;0;2171291;473;1231;4046;7;46;0;SPECTRE
677768772904;53116;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004b8b;0;2166179;351;1154;3165;9;39;0;SPECTRE
677768826028;53339;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004b8b;0;2172645;612;1413;4661;45;75;0;SPECTRE
677768879374;53265;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004b8b;0;2171222;532;1299;4126;13;80;0;SPECTRE
677768932646;53110;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004b8b;0;2166137;286;1065;2974;8;90;0;SPECTRE
677768985763;53262;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004b8b;0;2171202;512;1258;3988;9;79;0;SPECTRE
677769039032;53276;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004b8b;0;2171234;582;1290;4109;14;79;0;SPECTRE
677769092315;53115;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004b8b;0;2166090;451;1190;3244;5;42;0;SPECTRE
677769145437;53207;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004b8b;0;2168190;407;1203;3587;65;126;0;SPECTRE
677769198653;53275;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004b8b;0;2171193;628;1403;4281;40;63;0;SPECTRE
677769251935;53116;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004b8b;0;2166138;391;1077;3009;10;41;0;SPECTRE
