TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;EVT5;EVT2;EVT4;EVT20;EVT25;EVT19;LMC0;CONTEXT
190640027826;1143792;"MAF";"INTERVAL";"PROBE";1;63;0x00003e76;0;57;8;46400058;59589828;7570;46401657;0;NOSTRESS
190640028185;106;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00003e76;0;0;0;1455;2121;356;1459;0;NOSTRESS
190640028300;238;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00003e76;0;0;0;3899;6069;612;3903;0;NOSTRESS
190640028545;67;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00003e76;0;1;1;1450;2759;136;1461;0;NOSTRESS
190640028620;314;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00003e76;0;0;0;9806;13448;384;9810;0;NOSTRESS
190640028944;39;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00003e76;0;0;0;585;922;100;589;0;NOSTRESS
190640028990;53584;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e76;0;23;2;2171129;2764922;2925;2171217;0;NOSTRESS
190640082581;53929;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e76;0;16;1;2185489;2806847;1315;2185816;0;NOSTRESS
190640136518;53182;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e76;0;0;0;2167796;2756066;109;2167848;0;NOSTRESS
190640189707;53247;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e76;0;0;0;2169545;2756955;56;2169629;0;NOSTRESS
190640242962;53341;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e76;0;4;1;2171249;2761412;210;2171340;0;NOSTRESS
190640296310;53238;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e76;0;0;0;2167487;2768195;26;2167542;0;NOSTRESS
190640349555;53374;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e76;0;0;0;2171228;2785104;8;2171320;0;NOSTRESS
190640402936;53423;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e76;0;0;1;2172569;2790840;20;2172657;0;NOSTRESS
190640456366;53345;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e76;0;6;1;2167979;2779693;288;2168037;0;NOSTRESS
190640509720;53367;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e76;0;1;0;2171155;2787927;12;2171244;0;NOSTRESS
190640563095;53359;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e76;0;0;0;2171148;2786728;12;2171240;0;NOSTRESS
190640616461;53221;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e76;0;0;0;2166268;2775260;4;2166313;0;NOSTRESS
190640669689;53374;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e76;0;0;0;2171341;2788883;8;2171427;0;NOSTRESS
190640723070;53286;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e76;0;0;0;2168201;2780623;22;2168278;0;NOSTRESS
190640776362;53218;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e76;0;0;0;2166309;2778537;11;2166354;0;NOSTRESS
190640829587;53287;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e76;0;0;0;2168500;2781759;37;2168580;0;NOSTRESS
