TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;EVT5;EVT2;EVT4;EVT20;EVT25;EVT19;LMC0;CONTEXT
908400921234;2327017;"MAF";"INTERVAL";"PROBE";1;63;0x00006212;0;196;39;65516278;95477377;1290301;65519509;0;SPECTRE
908400921599;105;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00006212;0;0;1;1456;2067;312;1460;0;SPECTRE
908400921712;234;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00006212;0;0;0;3901;6037;556;3905;0;SPECTRE
908400921954;65;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00006212;0;1;1;1449;2720;109;1460;0;SPECTRE
908400922028;316;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00006212;0;0;0;9809;13554;312;9813;0;SPECTRE
908400922352;36;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00006212;0;0;0;585;927;80;589;0;SPECTRE
908400922395;117794;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;0;58;4;3202426;4727703;72619;3202634;0;SPECTRE
908401040200;117342;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;0;13;1;3212209;4718020;69689;3212405;0;SPECTRE
908401157550;85205;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;0;11;2;2683622;3725841;35032;2683729;0;SPECTRE
908401242762;117462;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;0;14;2;3217332;4724033;69951;3217533;0;SPECTRE
908401360232;117424;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;0;7;0;3203003;4711264;69308;3203215;0;SPECTRE
908401477664;85254;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;0;11;0;2683913;3722411;34912;2684022;0;SPECTRE
908401562926;117327;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;0;6;1;3205206;4700048;69081;3205407;0;SPECTRE
908401680277;117294;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;0;4;0;3209969;4712200;69455;3210153;0;SPECTRE
908401797579;117220;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;0;4;0;3200729;4721655;69591;3200854;0;SPECTRE
908401914807;90416;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;0;11;2;2761624;3904537;40183;2761793;0;SPECTRE
908402005232;85433;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;0;3;0;2688398;3764195;34818;2688534;0;SPECTRE
908402090673;117386;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;0;9;0;3209333;4729543;69346;3209528;0;SPECTRE
908402208066;85222;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;0;4;0;2681632;3749017;34840;2681723;0;SPECTRE
908402293296;117378;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;0;4;0;3205780;4730667;69369;3205968;0;SPECTRE
908402410682;111404;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;0;4;0;3111394;4550630;62985;3111564;0;SPECTRE
908402522094;85311;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;0;4;0;2690044;3758968;34692;2690168;0;SPECTRE
908402607412;149294;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;0;3;1;3711670;5687031;103972;3711867;0;SPECTRE
908402756715;85221;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;0;3;0;2682867;3746214;34483;2682959;0;SPECTRE
908402841944;117370;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;0;4;0;3206837;4734071;69403;3207020;0;SPECTRE
908402959321;117467;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;0;4;0;3207360;4742276;69421;3207553;0;SPECTRE
908403076798;171443;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00006212;0;5;2;4503916;6856664;105405;4504111;0;SPECTRE
908403253647;2268481;"MAF";"INTERVAL";"PROBE";1;63;0x00006212;1;148;30;64528583;93890725;1243797;64531811;0;SPECTRE
908403253679;122;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00006212;1;0;1;1453;2077;476;1457;0;SPECTRE
908403253809;210;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00006212;1;0;0;3898;6119;504;3902;0;SPECTRE
908403254026;37;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00006212;1;0;1;650;917;140;654;0;SPECTRE
908403254071;316;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00006212;1;0;0;9808;13384;344;9812;0;SPECTRE
908403254397;42;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00006212;1;0;0;584;945;136;588;0;SPECTRE
908403254445;85583;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;1;30;3;2681562;3724227;38936;2681695;0;SPECTRE
908403340047;85383;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;1;12;2;2682245;3723004;36945;2682372;0;SPECTRE
908403425450;149183;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;1;5;0;3708024;5658464;105047;3708190;0;SPECTRE
908403574650;85539;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;1;15;0;2687340;3759152;36589;2687494;0;SPECTRE
908403660214;117485;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;1;6;0;3207860;4747436;70413;3208042;0;SPECTRE
908403777716;85477;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;1;8;0;2683266;3758250;36210;2683372;0;SPECTRE
908403863209;117468;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;1;8;0;3203066;4745803;70740;3203251;0;SPECTRE
908403980693;117498;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;1;4;0;3200055;4731867;70255;3200239;0;SPECTRE
908404098207;85573;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;1;4;0;2687990;3759702;35492;2688095;0;SPECTRE
908404183797;85365;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;1;3;0;2686304;3762709;35851;2686427;0;SPECTRE
908404269180;117606;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;1;13;2;3201036;4741320;70751;3201205;0;SPECTRE
908404386802;117273;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;1;6;3;3196597;4725191;69649;3196727;0;SPECTRE
908404504087;85370;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;1;4;0;2681608;3752188;34896;2681729;0;SPECTRE
908404589472;149591;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;1;3;0;3725748;5728618;104545;3726003;0;SPECTRE
908404739079;85296;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;1;4;0;2681252;3752609;35433;2681348;0;SPECTRE
908404824392;117599;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;1;3;0;3199149;4733545;72400;3199342;0;SPECTRE
908404942014;117526;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;1;3;0;3198577;4747892;71416;3198762;0;SPECTRE
908405059557;85284;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;1;4;0;2679540;3750115;35547;2679634;0;SPECTRE
908405144858;117504;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;1;3;0;3203302;4751761;70257;3203488;0;SPECTRE
908405262379;117480;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;1;3;0;3199935;4726889;69930;3200125;0;SPECTRE
908405379876;142242;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00006212;1;5;0;4101508;6058985;69783;4101706;0;SPECTRE
908405527240;2303340;"MAF";"INTERVAL";"PROBE";1;63;0x00006212;2;147;27;65163419;95325592;1272848;65166822;0;SPECTRE
908405527265;114;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00006212;2;0;2;1456;2093;452;1460;0;SPECTRE
908405527387;233;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00006212;2;0;0;4915;7438;494;4919;0;SPECTRE
908405527627;31;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00006212;2;0;0;650;894;92;654;0;SPECTRE
908405527667;311;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00006212;2;0;0;9810;13505;292;9814;0;SPECTRE
908405527987;41;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00006212;2;0;0;585;929;112;589;0;SPECTRE
908405528035;117567;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006212;2;27;3;3203841;4754173;71534;3204032;0;SPECTRE
