TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;EVT5;EVT2;EVT4;EVT20;EVT25;EVT19;LMC0;CONTEXT
34128168624;2302385;"MAF";"INTERVAL";"PROBE";1;63;0x000009f0;0;142;68;65215218;95557493;1266452;65218480;0;SPECTRE
34128168962;109;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000009f0;0;1;0;1452;2038;364;1456;0;SPECTRE
34128169080;229;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000009f0;0;1;0;3896;6036;560;3900;0;SPECTRE
34128169316;66;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000009f0;0;1;1;1453;2680;120;1464;0;SPECTRE
34128169389;312;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000009f0;0;1;1;9808;13369;328;9812;0;SPECTRE
34128169711;42;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000009f0;0;0;0;588;886;124;592;0;SPECTRE
34128169761;117637;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;0;47;18;3207457;4750450;72735;3207662;0;SPECTRE
34128287408;117344;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;0;10;5;3212329;4753269;69827;3212524;0;SPECTRE
34128404761;85213;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;0;6;1;2684867;3781966;35012;2684973;0;SPECTRE
34128489982;117461;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;0;8;2;3214466;4761641;69559;3214674;0;SPECTRE
34128607450;117375;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;0;6;4;3205161;4752864;69854;3205343;0;SPECTRE
34128724832;85141;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;0;3;2;2685359;3776991;34697;2685452;0;SPECTRE
34128809995;117282;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;0;3;2;3212724;4763136;69677;3212913;0;SPECTRE
34128927284;117437;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;0;13;4;3213939;4765114;69289;3214132;0;SPECTRE
34129044729;85134;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;0;2;2;2683348;3771327;34861;2683443;0;SPECTRE
34129129870;117318;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;0;3;2;3206055;4763457;69598;3206243;0;SPECTRE
34129247196;117314;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;0;3;2;3213386;4773886;69733;3213574;0;SPECTRE
34129364518;85297;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;0;6;2;2686893;3783103;34826;2686997;0;SPECTRE
34129449822;117329;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;0;2;2;3212082;4761771;69574;3212272;0;SPECTRE
34129567158;117324;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;0;3;2;3205091;4758705;69257;3205277;0;SPECTRE
34129684490;124843;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;0;1;1;3337628;5013932;77522;3337846;0;SPECTRE
34129809341;85195;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;0;3;2;2683588;3789686;34823;2683684;0;SPECTRE
34129894543;117279;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;0;3;2;3206048;4749750;69641;3206237;0;SPECTRE
34130011829;117420;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;0;2;2;3216508;4767118;69898;3216706;0;SPECTRE
34130129257;85094;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;0;1;0;2686512;3770357;34752;2686618;0;SPECTRE
34130214358;117314;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;0;4;2;3212821;4758945;69293;3213017;0;SPECTRE
34130331681;139316;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000009f0;0;2;4;3991947;5930231;70232;3992129;0;SPECTRE
34130476142;2297953;"MAF";"INTERVAL";"PROBE";1;63;0x000009f0;1;101;52;65143710;95714729;1261283;65147096;0;SPECTRE
34130476157;112;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000009f0;1;0;2;1448;2079;420;1452;0;SPECTRE
34130476278;191;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000009f0;1;1;0;3895;6134;391;3899;0;SPECTRE
34130476476;29;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000009f0;1;0;0;650;896;88;654;0;SPECTRE
34130476513;302;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000009f0;1;0;0;9804;13471;288;9808;0;SPECTRE
34130476824;39;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000009f0;1;0;0;587;914;116;591;0;SPECTRE
34130476869;117514;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;1;23;5;3200061;4755275;71774;3200250;0;SPECTRE
34130594407;117439;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;1;1;3;3212976;4783425;70757;3213162;0;SPECTRE
34130711859;85220;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;1;3;3;2681022;3789526;34912;2681116;0;SPECTRE
34130797104;117315;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;1;4;2;3205879;4758064;69256;3206067;0;SPECTRE
34130914426;117375;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;1;10;3;3211805;4774501;69859;3211994;0;SPECTRE
34131031808;85385;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;1;7;3;2687134;3793293;35129;2687238;0;SPECTRE
34131117200;117391;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;1;10;1;3211207;4776149;69623;3211403;0;SPECTRE
34131234599;117299;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;1;4;3;3205972;4769013;69739;3206160;0;SPECTRE
34131351907;85242;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;1;3;2;2687674;3773625;34691;2687798;0;SPECTRE
34131437156;117275;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;1;2;1;3212045;4759573;69507;3212233;0;SPECTRE
34131554441;117307;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;1;1;2;3205440;4775176;69678;3205623;0;SPECTRE
34131671755;85090;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;1;4;2;2681202;3762172;34551;2681296;0;SPECTRE
34131756852;117390;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;1;4;2;3210488;4783790;69212;3210670;0;SPECTRE
34131874250;117613;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;1;4;3;3201737;4762701;71204;3201939;0;SPECTRE
34131991883;85322;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;1;4;1;2682641;3794574;35465;2682737;0;SPECTRE
34132077216;117441;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;1;1;1;3211721;4794965;70207;3211910;0;SPECTRE
34132194674;117445;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;1;1;2;3207327;4790189;70521;3207511;0;SPECTRE
34132312129;85214;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;1;4;2;2683669;3793935;34686;2683765;0;SPECTRE
34132397350;117247;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f0;1;4;2;3207793;4772209;69261;3207975;0;SPECTRE
