TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;EVT5;EVT2;EVT4;EVT20;EVT25;EVT19;LMC0;CONTEXT
945207162292;743263;"MAF";"INTERVAL";"PROBE";4;63;0x000066b9;0;65164;708;62904528;54534387;561370;62904592;0;SPECTRE
945207162550;58;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000066b9;0;3;14;1587;1438;576;1585;0;SPECTRE
945207162612;89;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000066b9;0;4;4;4178;4117;828;4170;0;SPECTRE
945207162705;22;"LOC_C2";"INTERVAL";"PROBE";4;63;0x000066b9;0;0;4;756;700;160;748;0;SPECTRE
945207162731;108;"LOC_C3";"INTERVAL";"PROBE";4;63;0x000066b9;0;1;2;10694;9479;336;10682;0;SPECTRE
945207162844;21;"LOC_C4";"INTERVAL";"PROBE";4;63;0x000066b9;0;0;4;708;699;196;700;0;SPECTRE
945207162870;48912;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;0;5335;75;3375256;3115902;54718;3375248;0;SPECTRE
945207211789;16725;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;0;9;2;2398450;1855175;64;2398462;0;SPECTRE
945207228518;48930;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;0;5315;52;3376467;3112215;45675;3376453;0;SPECTRE
945207277455;16712;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;0;6;2;2397091;1852294;24;2397103;0;SPECTRE
945207294172;48894;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;0;5368;51;3383952;3121741;45499;3383938;0;SPECTRE
945207343071;48927;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;0;5392;47;3390894;3135898;46033;3390890;0;SPECTRE
945207392003;16714;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;0;6;2;2398471;1853343;8;2398483;0;SPECTRE
945207408721;48846;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;0;5419;51;3371302;3104320;45143;3371287;0;SPECTRE
945207457572;16781;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;0;14;1;2398381;1853613;68;2398399;0;SPECTRE
945207474357;48897;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;0;5765;47;3394016;3138007;46056;3394002;0;SPECTRE
945207523259;16719;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;0;6;2;2398500;1853913;4;2398512;0;SPECTRE
945207539982;48897;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;0;5514;49;3382397;3121099;45269;3382382;0;SPECTRE
945207588884;16700;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;0;6;2;2396256;1850209;40;2396268;0;SPECTRE
945207605588;48860;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;0;5352;48;3377746;3114245;45163;3377732;0;SPECTRE
945207654453;16710;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;0;4;2;2398482;1853583;4;2398494;0;SPECTRE
945207671167;48849;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;0;5352;49;3392887;3135056;46124;3392872;0;SPECTRE
945207720021;16714;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;0;4;2;2398410;1853733;4;2398422;0;SPECTRE
945207736739;48838;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;0;5387;46;3372275;3106394;45037;3372260;0;SPECTRE
945207785582;16712;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;0;4;2;2398155;1853548;28;2398167;0;SPECTRE
945207802298;48843;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;0;5330;54;3384443;3122147;46069;3384428;0;SPECTRE
945207851147;54403;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x000066b9;0;5403;65;4078686;3486466;46633;4078682;0;SPECTRE
945208762264;647455;"MAF";"INTERVAL";"PROBE";4;63;0x000066b9;1;47964;538;60093825;50840334;417693;60093822;0;SPECTRE
945208762290;97;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000066b9;1;2;11;1590;1602;1392;1595;0;SPECTRE
945208762391;93;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000066b9;1;3;5;4145;3913;1040;4137;0;SPECTRE
945208762488;20;"LOC_C2";"INTERVAL";"PROBE";4;63;0x000066b9;1;0;4;749;636;200;741;0;SPECTRE
945208762514;112;"LOC_C3";"INTERVAL";"PROBE";4;63;0x000066b9;1;1;5;10479;8538;524;10467;0;SPECTRE
945208762630;27;"LOC_C4";"INTERVAL";"PROBE";4;63;0x000066b9;1;0;1;705;683;256;697;0;SPECTRE
945208762662;16947;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;1;155;35;2406387;1860605;6760;2406379;0;SPECTRE
945208779614;16699;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;1;5;0;2398066;1848909;4;2398072;0;SPECTRE
945208796317;16827;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;1;125;1;2405698;1857670;212;2405694;0;SPECTRE
945208813148;16686;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;1;6;0;2396754;1846408;4;2396760;0;SPECTRE
945208829838;16807;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;1;128;3;2403816;1854764;168;2403813;0;SPECTRE
945208846649;48836;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;1;4817;44;3382724;3116762;45397;3382714;0;SPECTRE
945208895491;16705;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;1;6;2;2398304;1851260;4;2398316;0;SPECTRE
945208912200;48883;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;1;5720;57;3390321;3136368;45526;3390306;0;SPECTRE
945208961088;16702;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;1;6;2;2397674;1850280;4;2397686;0;SPECTRE
945208977794;48848;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;1;5450;46;3381246;3121945;44966;3381231;0;SPECTRE
945209026647;16710;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;1;7;2;2398277;1852412;8;2398288;0;SPECTRE
945209043362;48854;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;1;5408;47;3376607;3118149;44902;3376593;0;SPECTRE
945209092221;16704;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;1;4;2;2398178;1852744;16;2398190;0;SPECTRE
945209108930;48858;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;1;5456;45;3383254;3127675;44928;3383238;0;SPECTRE
945209157793;16721;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;1;4;2;2398968;1854900;8;2398980;0;SPECTRE
945209174518;48869;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;1;5200;47;3395854;3145517;45704;3395839;0;SPECTRE
945209223392;16720;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;1;4;2;2400106;1854402;4;2400118;0;SPECTRE
945209240117;48853;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;1;5339;48;3375718;3116408;44653;3375703;0;SPECTRE
945209288975;16720;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;1;4;2;2400873;1854509;4;2400884;0;SPECTRE
945209305700;48853;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;1;5193;48;3379112;3118427;44995;3379099;0;SPECTRE
945209354575;55140;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x000066b9;1;4861;54;4188951;3566079;45826;4188947;0;SPECTRE
945210362245;648667;"MAF";"INTERVAL";"PROBE";4;63;0x000066b9;2;48533;558;60180222;50869627;423588;60180221;0;SPECTRE
945210362266;86;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000066b9;2;2;11;1582;1623;1052;1587;0;SPECTRE
945210362357;102;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000066b9;2;3;6;5471;5238;968;5463;0;SPECTRE
945210362463;20;"LOC_C2";"INTERVAL";"PROBE";4;63;0x000066b9;2;0;4;741;641;156;733;0;SPECTRE
945210362489;98;"LOC_C3";"INTERVAL";"PROBE";4;63;0x000066b9;2;1;2;10431;8318;452;10419;0;SPECTRE
945210362593;22;"LOC_C4";"INTERVAL";"PROBE";4;63;0x000066b9;2;0;1;701;736;112;693;0;SPECTRE
945210362619;16945;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;2;159;27;2404023;1860873;5996;2404016;0;SPECTRE
945210379569;16685;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;2;4;0;2394769;1845389;8;2394775;0;SPECTRE
945210396258;16813;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;2;127;3;2401616;1852768;310;2401612;0;SPECTRE
945210413075;16676;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;2;5;0;2394520;1843250;4;2394526;0;SPECTRE
945210429756;16796;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;2;126;3;2401495;1852247;200;2401492;0;SPECTRE
945210446557;48838;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;2;4893;46;3382325;3119428;45640;3382315;0;SPECTRE
945210495400;16690;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;2;6;2;2396123;1847007;4;2396135;0;SPECTRE
945210512094;48839;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;2;5035;47;3373953;3111497;44688;3373938;0;SPECTRE
945210560938;16702;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066b9;2;7;2;2396139;1849863;4;2396150;0;SPECTRE
