TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
226687952747;1179050;"MAF";"INTERVAL";"PROBE";1;63;0x00000dae;0;422;140;46470237;59417610;3786459;46471946;0;STSB
226687953727;228;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000dae;0;1;7;1454;2111;1207;1458;0;STSB
226687953966;337;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000dae;0;1;3;3894;5914;1516;3898;0;STSB
226687954312;86;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000dae;0;1;3;1448;2677;396;1459;0;STSB
226687954405;377;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000dae;0;0;1;9808;13349;1437;9812;0;STSB
226687954791;62;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000dae;0;0;0;584;888;298;588;0;STSB
226687954861;58114;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dae;0;115;38;2190859;2827753;163552;2191090;0;STSB
226688013011;55672;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dae;0;23;2;2187398;2814398;175791;2187515;0;STSB
226688068722;54735;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dae;0;10;3;2170895;2774116;176819;2170983;0;STSB
226688123494;54056;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dae;0;5;0;2165993;2752807;172585;2166038;0;STSB
226688177591;55167;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dae;0;4;2;2173555;2785648;179837;2173659;0;STSB
226688232791;55202;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dae;0;8;2;2173869;2770790;180037;2173974;0;STSB
226688288032;54387;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dae;0;15;2;2169291;2760364;169599;2169346;0;STSB
226688342452;54691;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dae;0;12;1;2172255;2765685;171855;2172348;0;STSB
226688397182;54659;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dae;0;3;1;2170977;2764904;179913;2171063;0;STSB
