TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
200032412370;1180511;"MAF";"INTERVAL";"PROBE";1;63;0x00000a90;0;46533689;16050;33025;112193;41772;44624;0;STSB
200032413198;216;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000a90;0;1450;42;55;249;149;141;0;STSB
200032413424;313;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000a90;0;3897;29;28;269;168;152;0;STSB
200032413748;84;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000a90;0;1446;55;66;354;48;67;0;STSB
200032413838;370;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000a90;0;9803;38;48;235;90;91;0;STSB
200032414217;3804;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000a90;0;63065;1271;1499;6794;1830;2196;0;STSB
200032418034;54408;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a90;0;2171373;574;1505;4857;1829;1829;0;STSB
200032472477;54865;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a90;0;2174386;769;1605;5386;1965;2082;0;STSB
200032527382;55644;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a90;0;2189174;923;1800;6098;2221;2406;0;STSB
200032583059;54042;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a90;0;2166340;340;1137;3231;1367;1426;0;STSB
200032637133;57041;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a90;0;2190729;1725;2552;9193;2970;3222;0;STSB
200032694212;55509;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a90;0;2176187;891;1783;6226;2315;2440;0;STSB
200032749760;54339;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a90;0;2168530;463;1320;4070;1637;1712;0;STSB
200032804139;54578;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a90;0;2171832;480;1303;4263;1765;1818;0;STSB
200032858756;55233;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a90;0;2176231;844;1730;5737;2084;2274;0;STSB
200032914030;54898;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a90;0;2174084;707;1536;5148;1852;1997;0;STSB
200032968962;54426;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a90;0;2167844;566;1349;3859;1607;1668;0;STSB
200033023426;55067;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a90;0;2174444;729;1619;5403;2075;2205;0;STSB
200033078534;55090;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a90;0;2174277;835;1606;5292;1967;2106;0;STSB
200033133662;54055;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a90;0;2167640;393;1181;3496;1418;1481;0;STSB
200033187754;55172;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a90;0;2174741;678;1556;5326;2052;2172;0;STSB
200033242963;55196;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a90;0;2174964;828;1683;5613;2084;2245;0;STSB
