TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
3779599661;1165415;"MAF";"INTERVAL";"PROBE";1;63;0x000005ab;0;46453452;13064;29595;98319;39501;41293;0;STSB
3779600353;188;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000005ab;0;1448;34;42;221;136;119;0;STSB
3779600548;288;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000005ab;0;3891;24;25;270;167;150;0;STSB
3779600844;82;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000005ab;0;1449;36;41;306;40;55;0;STSB
3779600932;349;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000005ab;0;9805;30;35;205;94;82;0;STSB
3779601289;54;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000005ab;0;582;11;15;70;35;30;0;STSB
3779601351;54520;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000005ab;0;2180536;669;1569;4825;1854;1946;0;STSB
3779655904;54480;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000005ab;0;2173719;648;1493;5169;2124;2151;0;STSB
3779710416;55102;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000005ab;0;2186450;902;1783;5951;2316;2515;0;STSB
3779765554;54424;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000005ab;0;2173132;704;1566;5185;1970;2070;0;STSB
3779820010;53843;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000005ab;0;2167781;357;1142;3520;1481;1510;0;STSB
3779873878;54426;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000005ab;0;2174363;567;1373;4927;2022;2076;0;STSB
3779928334;54553;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000005ab;0;2174395;812;1698;5565;2033;2177;0;STSB
3779982923;54032;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000005ab;0;2167894;479;1253;3755;1603;1649;0;STSB
3780036985;54546;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000005ab;0;2174312;753;1584;5341;2018;2119;0;STSB
3780091559;54857;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000005ab;0;2176720;825;1644;5989;2303;2385;0;STSB
3780146445;53873;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000005ab;0;2167733;430;1283;3773;1503;1573;0;STSB
3780200352;54388;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000005ab;0;2171860;606;1391;4471;1920;1982;0;STSB
3780254769;54639;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000005ab;0;2175608;844;1688;5687;2006;2156;0;STSB
3780309439;54512;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000005ab;0;2173175;657;1488;4985;2000;2075;0;STSB
3780363987;53866;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000005ab;0;2166509;379;1130;3205;1424;1457;0;STSB
3780417879;54304;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000005ab;0;2171781;584;1349;4368;1796;1886;0;STSB
3780472209;54354;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000005ab;0;2171679;670;1464;4503;1802;1940;0;STSB
3780526592;53687;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000005ab;0;2166445;284;1083;3063;1390;1417;0;STSB
3780580311;54349;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000005ab;0;2171357;613;1404;4349;1840;1922;0;STSB
3780634685;54219;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000005ab;0;2171954;501;1341;4322;1783;1857;0;STSB
3780688936;76122;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000005ab;0;2959060;357;404;2564;1039;1085;0;STSB
3781198783;1170833;"MAF";"INTERVAL";"PROBE";1;63;0x000005ab;1;46546887;13498;29030;96679;42218;42994;0;STSB
3781198841;228;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000005ab;1;1444;41;44;230;158;148;0;STSB
3781199079;335;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000005ab;1;3890;27;28;275;168;164;0;STSB
3781199424;44;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000005ab;1;645;11;11;61;27;29;0;STSB
3781199476;358;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000005ab;1;9800;30;44;206;107;100;0;STSB
3781199844;55;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000005ab;1;580;11;11;66;33;33;0;STSB
3781199905;53942;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000005ab;1;2166694;400;1258;3682;1629;1660;0;STSB
