TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;INST_RETIRED;LD_RETIRED;ST_RETIRED;BR_PRED;BR_MIS_PRED;PREFETCH;LMC0;CONTEXT
12437539018;1163722;"MAF";"INTERVAL";"PROBE";1;63;0x00000699;0;92250318;32241684;13455618;8924526;620293;17156;0;STSB
12437539765;184;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000699;0;2483;638;578;413;39;12;0;STSB
12437539962;273;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000699;0;8053;2373;1316;1011;94;10;0;STSB
12437540246;77;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000699;0;3018;701;480;524;65;0;0;STSB
12437540330;361;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000699;0;21131;7610;2055;1630;137;11;0;STSB
12437540703;53;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000699;0;1093;254;226;191;13;0;0;STSB
12437540763;54443;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;0;4310670;1508951;629601;416649;29205;971;0;STSB
12437595238;53854;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;0;4299074;1506222;628067;414543;28512;825;0;STSB
12437649130;54682;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;0;4319038;1510891;630770;418321;28958;949;0;STSB
12437703844;54597;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;0;4310337;1508900;629578;416610;28597;872;0;STSB
12437758473;54271;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;0;4313648;1509636;630028;417281;28604;835;0;STSB
12437812772;53774;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;0;4298606;1506162;628029;414489;28372;825;0;STSB
12437866580;54679;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;0;4315463;1510023;630251;417651;30850;900;0;STSB
12437921291;54451;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;0;4313662;1509650;630030;417280;29654;882;0;STSB
12437975777;53933;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;0;4298520;1506164;628027;414487;30933;786;0;STSB
12438029749;54641;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;0;4315143;1509973;630218;417594;31211;945;0;STSB
12438084422;54234;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;0;4307306;1508259;629212;416002;29185;828;0;STSB
12438138693;53770;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;0;4295445;1505480;627618;413843;28340;771;0;STSB
12438192499;54370;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;0;4306856;1508177;629143;415933;28416;758;0;STSB
12438246899;54668;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;0;4340404;1515918;632930;423397;28553;880;0;STSB
12438301602;54370;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;0;4310781;1509079;629607;416580;28635;948;0;STSB
12438356004;53666;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;0;4295353;1505472;627608;413840;28291;774;0;STSB
12438409706;54158;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;0;4307756;1508366;629271;416078;28449;831;0;STSB
12438463899;54588;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;0;4311800;1509304;629842;416836;28564;866;0;STSB
12438518522;53668;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;0;4295423;1505479;627617;413845;28240;824;0;STSB
12438572224;54318;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;0;4307657;1508346;629267;416075;28368;797;0;STSB
12438626581;76140;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000699;0;6000581;2050679;857423;586107;39551;56;0;STSB
12439134761;1164437;"MAF";"INTERVAL";"PROBE";1;63;0x00000699;1;92382673;32295734;13474197;8930336;610969;15509;0;STSB
12439134801;195;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000699;1;2481;638;578;413;30;11;0;STSB
12439135005;304;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000699;1;8051;2373;1319;1011;96;10;0;STSB
12439135319;48;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000699;1;1165;269;246;179;10;3;0;STSB
12439135374;354;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000699;1;21135;7611;2054;1630;128;10;0;STSB
12439135737;59;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000699;1;1092;254;226;190;10;0;0;STSB
12439135804;54248;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;1;4308581;1508440;629211;416321;29842;907;0;STSB
12439190099;53806;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;1;4294695;1505306;627485;413767;28288;769;0;STSB
12439243940;54315;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;1;4306647;1508049;629013;415977;28426;755;0;STSB
12439298295;55263;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;1;4343052;1516432;633397;423373;28897;807;0;STSB
12439353597;53887;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;1;4295041;1505351;627512;413820;28307;738;0;STSB
12439407517;54418;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;1;4306539;1508022;629007;415949;28461;717;0;STSB
12439461969;54205;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;1;4306505;1508025;629007;415934;28466;783;0;STSB
12439516212;53728;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;1;4294985;1505349;627509;413821;28208;798;0;STSB
12439569975;54334;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;1;4306360;1508012;628997;415925;28405;711;0;STSB
12439624344;54189;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;1;4306411;1508019;628996;415930;28431;765;0;STSB
12439678568;54238;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;1;4306430;1508019;629013;415923;28410;801;0;STSB
12439732844;53694;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;1;4294905;1505327;627494;413805;28235;783;0;STSB
12439786569;54271;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;1;4306327;1507998;628991;415914;28353;761;0;STSB
12439840882;54253;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;1;4306584;1508029;629012;415963;28367;809;0;STSB
12439895174;53805;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;1;4294932;1505334;627497;413805;28258;730;0;STSB
12439949013;54415;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;1;4306326;1508003;628993;415915;28378;737;0;STSB
12440003464;54278;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;1;4306316;1507996;628993;415910;28359;717;0;STSB
12440057786;53649;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;1;4294917;1505329;627491;413806;28253;789;0;STSB
12440111471;54493;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;1;4314082;1509773;629969;417291;28695;809;0;STSB
12440166004;54412;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;1;4306532;1508021;629004;415957;28391;776;0;STSB
12440220452;78728;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000699;1;6210354;2122719;887292;606487;40953;13;0;STSB
12440734796;1167390;"MAF";"INTERVAL";"PROBE";1;63;0x00000699;2;92576344;32363496;13503314;8946696;613997;15806;0;STSB
12440734838;192;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000699;2;2484;638;578;413;26;11;0;STSB
12440735039;345;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000699;2;9843;3093;1592;1190;119;12;0;STSB
12440735394;51;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000699;2;1166;269;246;179;9;0;0;STSB
12440735451;340;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000699;2;21143;7618;2056;1630;131;11;0;STSB
12440735799;59;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000699;2;1092;254;226;190;10;0;0;STSB
12440735865;54607;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;2;4310542;1508664;629432;416733;29907;874;0;STSB
12440790513;53800;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;2;4294544;1505147;627491;413768;28389;765;0;STSB
12440844350;54234;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;2;4306272;1507855;629005;415935;28564;773;0;STSB
12440898619;54187;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;2;4306218;1507848;629004;415944;28478;809;0;STSB
12440952845;54052;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;2;4298786;1506108;628077;414571;28471;806;0;STSB
12441006933;54308;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;2;4305960;1507808;628997;415882;28533;847;0;STSB
12441061275;54302;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;2;4306250;1507849;629016;415936;28484;731;0;STSB
12441115614;54148;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;2;4296614;1505621;627753;414156;28475;787;0;STSB
12441169796;54329;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000699;2;4306085;1507827;629013;415899;28532;791;0;STSB
