TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;L1D_CACHE;INST_SPEC;L1I_CACHE;L1I_CACHE_REFILL;LMC0;CONTEXT
27089292789;1167664;"MAF";"INTERVAL";"PROBE";1;63;0x0000083a;0;0;0;46449523;0;59483606;38283;0;STSB
27089293494;179;"SENS_C1";"INTERVAL";"PROBE";1;63;0x0000083a;0;0;0;1452;0;2078;144;0;STSB
27089293681;294;"LOC_C1";"INTERVAL";"PROBE";1;63;0x0000083a;0;0;0;3895;0;5872;206;0;STSB
27089293981;79;"LOC_C2";"INTERVAL";"PROBE";1;63;0x0000083a;0;0;0;1449;0;2659;212;0;STSB
27089294066;353;"LOC_C3";"INTERVAL";"PROBE";1;63;0x0000083a;0;0;0;9802;0;13180;125;0;STSB
27089294426;51;"LOC_C4";"INTERVAL";"PROBE";1;63;0x0000083a;0;0;0;583;0;864;44;0;STSB
27089294484;54566;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000083a;0;0;0;2173833;0;2775038;2395;0;STSB
27089349080;55005;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000083a;0;0;0;2186800;0;2793520;2338;0;STSB
27089404114;53863;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000083a;0;0;0;2166065;0;2754427;860;0;STSB
27089458001;54195;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000083a;0;0;0;2171166;0;2765712;1485;0;STSB
27089512222;54557;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000083a;0;0;0;2173708;0;2776012;1954;0;STSB
27089566804;54198;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000083a;0;0;0;2167533;0;2767444;1111;0;STSB
27089621022;54731;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000083a;0;0;0;2173845;0;2771602;1895;0;STSB
27089675782;55283;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000083a;0;0;0;2180783;0;2786599;3096;0;STSB
27089731094;54012;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000083a;0;0;0;2168093;0;2757880;1204;0;STSB
27089785132;54459;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000083a;0;0;0;2172825;0;2770729;1932;0;STSB
27089839625;55012;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000083a;0;0;0;2179377;0;2784901;2958;0;STSB
27089894671;55109;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000083a;0;0;0;2177675;0;2780662;2599;0;STSB
27089949812;54241;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000083a;0;0;0;2168618;0;2759919;1255;0;STSB
27090004080;54284;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000083a;0;0;0;2171223;0;2764353;1533;0;STSB
27090058385;54503;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000083a;0;0;0;2172414;0;2772404;1644;0;STSB
27090112921;54336;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000083a;0;0;0;2171075;0;2792312;1548;0;STSB
27090167280;53835;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000083a;0;0;0;2166041;0;2781809;838;0;STSB
27090221143;54394;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000083a;0;0;0;2171110;0;2793398;1473;0;STSB
27090275559;54391;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000083a;0;0;0;2171135;0;2791720;1420;0;STSB
27090329973;53847;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000083a;0;0;0;2165985;0;2780184;801;0;STSB
27090383845;76590;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x0000083a;0;0;0;2963296;0;3904003;2163;0;STSB
27090892256;1163536;"MAF";"INTERVAL";"PROBE";1;63;0x0000083a;1;0;0;46499324;0;59324567;29675;0;STSB
27090892317;237;"SENS_C1";"INTERVAL";"PROBE";1;63;0x0000083a;1;0;0;1448;0;2072;153;0;STSB
27090892565;312;"LOC_C1";"INTERVAL";"PROBE";1;63;0x0000083a;1;0;0;3889;0;5808;204;0;STSB
27090892886;49;"LOC_C2";"INTERVAL";"PROBE";1;63;0x0000083a;1;0;0;648;0;900;35;0;STSB
27090892941;361;"LOC_C3";"INTERVAL";"PROBE";1;63;0x0000083a;1;0;0;9811;0;13266;135;0;STSB
27090893312;54;"LOC_C4";"INTERVAL";"PROBE";1;63;0x0000083a;1;0;0;583;0;893;35;0;STSB
27090893375;54761;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000083a;1;0;0;2175327;0;2778434;2223;0;STSB
27090948171;54357;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000083a;1;0;0;2171154;0;2763669;1547;0;STSB
27091002567;53716;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000083a;1;0;0;2166090;0;2753022;860;0;STSB
