TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
31085326258;1165537;"MAF";"INTERVAL";"PROBE";1;63;0x000008a6;0;55;13;46422437;59291771;4168689;46423943;0;STSB
31085326968;185;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000008a6;0;0;2;1453;2048;1194;1457;0;STSB
31085327160;297;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000008a6;0;1;2;3899;5995;1734;3903;0;STSB
31085327464;89;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000008a6;0;5;0;1449;2656;423;1460;0;STSB
31085327559;358;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000008a6;0;2;0;9803;13330;1534;9807;0;STSB
31085327926;59;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000008a6;0;0;0;585;888;284;589;0;STSB
31085327992;54373;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;0;23;4;2172417;2772260;175593;2172497;0;STSB
31085382402;54735;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;0;1;0;2173520;2770104;193509;2173618;0;STSB
31085437166;53903;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;0;0;0;2167204;2757514;190268;2167254;0;STSB
31085491101;54691;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;0;4;0;2174088;2771223;189607;2174186;0;STSB
31085545819;54554;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;0;0;0;2173625;2769560;205979;2173727;0;STSB
31085600400;53835;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;0;0;0;2167369;2757850;196234;2167424;0;STSB
31085654264;54367;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;0;1;0;2171129;2767496;194603;2171218;0;STSB
31085708659;54556;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;0;0;0;2172405;2766134;197445;2172498;0;STSB
31085763247;54217;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;0;0;0;2167339;2773691;195397;2167389;0;STSB
31085817500;54801;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;0;8;1;2175457;2776910;202496;2175562;0;STSB
31085872333;54729;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;0;6;1;2174511;2779734;200637;2174619;0;STSB
31085927101;54732;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;0;0;0;2174207;2781391;189654;2174304;0;STSB
31085981867;53884;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;0;0;0;2167656;2757582;186961;2167711;0;STSB
31086035779;54638;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;0;0;0;2174561;2772236;197832;2174662;0;STSB
31086090453;54363;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;0;0;0;2172633;2766369;196630;2172732;0;STSB
31086144846;54062;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;0;0;0;2166277;2753325;196148;2166326;0;STSB
31086198941;54222;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;0;0;0;2171929;2763331;198056;2172018;0;STSB
31086253189;54308;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;0;0;0;2171902;2765840;191628;2171997;0;STSB
31086307523;53681;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;0;0;0;2166437;2753002;195822;2166486;0;STSB
31086361237;54316;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;0;0;0;2171875;2763435;195389;2171971;0;STSB
31086415584;76189;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000008a6;0;0;0;2958967;3893612;264904;2959060;0;STSB
31086925803;1166968;"MAF";"INTERVAL";"PROBE";1;63;0x000008a6;1;8;13;46494515;59914792;4299737;46496047;0;STSB
31086925857;235;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000008a6;1;1;3;1448;2079;1576;1452;0;STSB
31086926101;312;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000008a6;1;1;2;3891;5938;1801;3895;0;STSB
31086926422;42;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000008a6;1;0;1;648;918;292;652;0;STSB
31086926470;347;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000008a6;1;0;0;9804;13274;1444;9808;0;STSB
31086926825;51;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000008a6;1;0;0;584;906;356;588;0;STSB
31086926885;54569;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;1;5;3;2171695;2798561;192373;2171771;0;STSB
31086981479;53884;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;1;0;0;2166090;2783804;196238;2166130;0;STSB
31087035387;54631;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;1;0;0;2171009;2790342;190728;2171087;0;STSB
31087090040;54373;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;1;0;0;2171177;2793975;198489;2171257;0;STSB
31087144437;54591;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;1;0;0;2171141;2792800;194098;2171218;0;STSB
31087199054;53790;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;1;0;0;2166079;2781274;190264;2166119;0;STSB
31087252873;54483;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;1;0;0;2171185;2792290;194597;2171271;0;STSB
31087307380;54406;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;1;0;0;2171006;2793109;192538;2171093;0;STSB
31087361809;54050;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;1;0;0;2166081;2779240;196056;2166126;0;STSB
31087415885;54360;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;1;0;0;2171093;2791415;203852;2171180;0;STSB
31087470271;54529;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;1;1;0;2172908;2794111;202581;2173011;0;STSB
31087524829;54118;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;1;0;0;2166071;2780939;205971;2166118;0;STSB
31087578973;54406;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;1;0;0;2171120;2790591;187762;2171209;0;STSB
31087633400;54350;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;1;0;0;2171096;2790261;208254;2171183;0;STSB
31087687776;54370;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;1;0;0;2171159;2791593;218309;2171246;0;STSB
31087742168;53835;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;1;0;0;2165999;2779907;208245;2166046;0;STSB
31087796024;54412;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008a6;1;0;0;2171193;2793128;202420;2171277;0;STSB
