TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;L1D_CACHE;INST_SPEC;L1I_CACHE;L1I_CACHE_REFILL;LMC0;CONTEXT
22912613069;360141;"MAF";"INTERVAL";"PROBE";4;63;0x00000819;0;41225923;16374090;51170309;112483245;39756252;10531;0;STSB
22912613548;98;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00000819;0;781;641;1558;3042;1470;142;0;STSB
22912613650;140;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00000819;0;2967;1624;4325;9973;4441;171;0;STSB
22912613794;26;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00000819;0;341;296;750;1451;629;22;0;STSB
22912613824;140;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00000819;0;9515;2538;10632;26222;9423;76;0;STSB
22912613969;31;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00000819;0;367;291;719;1496;723;27;0;STSB
22912614004;17756;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;0;1962975;780141;2427155;5368458;1916432;2875;0;STSB
22912631766;16727;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;0;1939595;769156;2396029;5275145;1870106;31;0;STSB
22912648497;16942;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;0;1947472;772455;2406310;5303536;1881589;1117;0;STSB
22912665445;16703;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;0;1938919;768546;2396510;5271986;1866735;6;0;STSB
22912682152;16828;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;0;1941575;769913;2400949;5284485;1872595;578;0;STSB
22912698986;16692;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;0;1937134;767731;2395157;5267511;1864250;3;0;STSB
22912715682;16821;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;0;1943729;770476;2403358;5289610;1873173;470;0;STSB
22912732508;16695;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;0;1938965;768104;2396636;5271324;1865960;4;0;STSB
22912749207;17207;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;0;1950438;774923;2416608;5322707;1888377;978;0;STSB
22912766419;16693;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;0;1938480;768190;2396225;5270478;1866312;2;0;STSB
22912783116;16827;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;0;1944847;770561;2404070;5290865;1873639;555;0;STSB
22912799948;16799;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;0;1944063;770348;2403471;5289889;1873674;470;0;STSB
22912816752;16700;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;0;1938937;768482;2396529;5271557;1867204;1;0;STSB
22912833456;16850;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;0;1944345;770815;2403854;5292281;1876138;599;0;STSB
22912850311;16687;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;0;1939454;768125;2397649;5272154;1865689;10;0;STSB
22912867002;16855;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;0;1943469;770753;2404057;5291191;1874775;709;0;STSB
22912883862;16701;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;0;1936316;767930;2393812;5265950;1865984;2;0;STSB
22912900567;16824;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;0;1941391;770174;2400049;5283972;1873365;556;0;STSB
22912917397;16700;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;0;1937309;768066;2394919;5267991;1865900;2;0;STSB
22912934101;16828;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;0;1944185;770917;2402702;5290583;1875127;463;0;STSB
22912950938;22268;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00000819;0;2345721;953657;3092368;6642238;2238617;94;0;STSB
22914209409;358669;"MAF";"INTERVAL";"PROBE";4;63;0x00000819;1;41218352;16371891;51201839;112438808;39662277;5848;0;STSB
22914209454;130;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00000819;1;819;653;1592;3121;1526;140;0;STSB
22914209589;134;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00000819;1;2776;1506;4183;9366;4019;170;0;STSB
22914209727;24;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00000819;1;341;296;749;1450;629;20;0;STSB
22914209755;135;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00000819;1;8957;2382;10422;24691;8446;73;0;STSB
22914209894;35;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00000819;1;360;283;711;1475;711;28;0;STSB
22914209933;16989;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;1;1943613;771057;2402964;5292468;1876579;867;0;STSB
22914226927;16698;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;1;1938094;768442;2396066;5270480;1864222;1;0;STSB
22914243629;16821;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;1;1941459;770212;2400858;5285859;1872605;522;0;STSB
22914260454;16684;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;1;1935732;767504;2394347;5264361;1861485;10;0;STSB
22914277142;16797;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;1;1940366;769600;2400512;5281916;1869421;447;0;STSB
22914293944;16680;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;1;1935799;767407;2394712;5264342;1861181;5;0;STSB
22914310628;16784;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;1;1939436;769246;2400468;5279379;1867336;428;0;STSB
22914327417;16669;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;1;1935035;766954;2394579;5262289;1859392;1;0;STSB
22914344091;16788;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;1;1940713;769585;2401030;5281858;1868952;418;0;STSB
22914360884;16676;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;1;1935280;767175;2394477;5263083;1860469;1;0;STSB
22914377564;16787;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;1;1939942;769353;2400678;5280128;1867966;423;0;STSB
22914394355;16684;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;1;1936326;767571;2394865;5265403;1863218;1;0;STSB
22914411043;16794;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;1;1941078;769690;2401353;5282605;1869279;415;0;STSB
22914427842;16669;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;1;1934512;766912;2394108;5261324;1859606;1;0;STSB
22914444515;16788;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;1;1939689;769213;2400653;5279443;1866505;420;0;STSB
22914461308;16679;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;1;1936038;767414;2394843;5264745;1861778;1;0;STSB
22914477991;16799;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;1;1940555;769476;2401414;5281323;1867672;418;0;STSB
22914494795;16690;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;1;1938525;768185;2396597;5270276;1864501;1;0;STSB
22914511490;16784;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;1;1938199;768657;2399778;5275788;1865440;416;0;STSB
22914528279;16773;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;1;1940448;769461;2401195;5281045;1868197;411;0;STSB
22914545059;23014;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00000819;1;2424668;986063;3199447;6867360;2313595;72;0;STSB
22915809313;359762;"MAF";"INTERVAL";"PROBE";4;63;0x00000819;2;41267335;16400616;51277876;112601613;39725989;6090;0;STSB
22915809358;118;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00000819;2;821;655;1586;3150;1519;140;0;STSB
22915809480;145;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00000819;2;3854;1885;5372;11937;5093;176;0;STSB
22915809629;23;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00000819;2;341;296;750;1451;632;20;0;STSB
22915809657;128;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00000819;2;8946;2381;10401;24655;8355;67;0;STSB
22915809789;31;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00000819;2;356;280;698;1469;697;29;0;STSB
22915809824;16937;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;2;1938674;770008;2399456;5281829;1871703;867;0;STSB
22915826767;16709;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;2;1938017;768589;2395477;5271028;1865976;3;0;STSB
22915843481;16816;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;2;1941308;770256;2401002;5285603;1871820;508;0;STSB
22915860301;16699;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;2;1936913;767978;2394823;5267337;1863848;10;0;STSB
22915877004;16804;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;2;1939733;769686;2399632;5280465;1869599;453;0;STSB
22915893812;16688;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;2;1935530;767368;2393934;5263786;1861478;3;0;STSB
22915910504;16786;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;2;1938409;769172;2398886;5276822;1867634;427;0;STSB
22915927294;16687;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;2;1934444;767324;2392775;5261433;1861708;1;0;STSB
22915943986;16788;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;2;1938517;769120;2399106;5276824;1867068;417;0;STSB
22915960779;16695;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;2;1935578;767626;2393633;5263959;1863084;1;0;STSB
22915977479;16800;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;2;1939349;769361;2399333;5278690;1868531;420;0;STSB
22915994284;16679;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;2;1933047;766729;2392007;5257926;1859873;1;0;STSB
22916010967;16788;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;2;1937139;768737;2398087;5273641;1865625;418;0;STSB
22916027760;16680;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;2;1933976;766978;2393016;5259828;1859621;1;0;STSB
22916044444;16782;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;2;1938090;769067;2398679;5275804;1866961;423;0;STSB
22916061231;16679;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;2;1933392;766779;2392541;5258615;1859368;1;0;STSB
22916077914;16814;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;2;1936606;768525;2398058;5272510;1864871;421;0;STSB
22916094734;16683;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;2;1933633;767009;2392728;5259304;1860166;1;0;STSB
22916111421;17084;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;2;1935473;767493;2394066;5263430;1861625;144;0;STSB
22916128510;16728;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;2;1934246;767356;2394219;5263379;1861809;225;0;STSB
22916145247;23824;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00000819;2;2506498;1020032;3311067;7102849;2390055;74;0;STSB
22917409322;370912;"MAF";"INTERVAL";"PROBE";4;63;0x00000819;3;41583451;16547209;51689242;113707546;40250466;25890;0;STSB
22917409370;141;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00000819;3;829;655;1591;3155;1525;139;0;STSB
22917409517;160;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00000819;3;3973;1921;5476;12253;5202;175;0;STSB
22917409681;31;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00000819;3;341;296;750;1451;623;20;0;STSB
22917409716;131;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00000819;3;9270;2462;10528;25565;8930;65;0;STSB
22917409851;33;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00000819;3;360;283;712;1476;709;28;0;STSB
22917409888;18228;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;3;1977080;788016;2459275;5433613;1926799;1393;0;STSB
22917428122;16698;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;3;1936073;767752;2394279;5266442;1864697;9;0;STSB
22917444825;16872;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;3;1941657;770603;2402255;5288877;1874603;779;0;STSB
22917461703;16698;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;3;1936347;767674;2394223;5266253;1866071;12;0;STSB
22917478405;16817;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;3;1940238;769755;2400033;5282215;1872467;509;0;STSB
22917495227;16695;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;3;1936321;767611;2394479;5265772;1865356;1;0;STSB
22917511926;16802;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;3;1938893;769198;2399248;5278632;1870436;428;0;STSB
22917528732;17462;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;3;1952763;775718;2415162;5329276;1896577;1652;0;STSB
22917546200;16839;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;3;1942279;770222;2402108;5287437;1876485;732;0;STSB
22917563044;16707;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;3;1938157;768169;2395277;5269714;1868612;6;0;STSB
22917579756;16759;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;3;1942030;769534;2399848;5281336;1870638;221;0;STSB
22917596520;16689;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;3;1937653;767887;2395791;5268349;1863542;1;0;STSB
22917613214;17454;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;3;1962932;780641;2435634;5373469;1905935;921;0;STSB
22917630673;16864;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000819;3;1944880;770890;2403952;5293324;1876505;557;0;STSB
