TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
30204458841;361989;"MAF";"INTERVAL";"PROBE";4;63;0x000008f6;0;2244;335;51242797;39893394;20171;51242938;0;STSB
30204459356;94;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000008f6;0;4;12;1630;1562;784;1628;0;STSB
30204459454;119;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000008f6;0;2;5;4170;4137;876;4162;0;STSB
30204459578;33;"LOC_C2";"INTERVAL";"PROBE";4;63;0x000008f6;0;0;2;747;636;252;739;0;STSB
30204459616;137;"LOC_C3";"INTERVAL";"PROBE";4;63;0x000008f6;0;2;1;10554;9259;528;10546;0;STSB
30204459757;28;"LOC_C4";"INTERVAL";"PROBE";4;63;0x000008f6;0;1;0;713;709;156;705;0;STSB
30204459789;18580;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000008f6;0;591;223;2466583;1966210;9449;2466657;0;STSB
30204478383;16729;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000008f6;0;6;3;2396891;1868444;36;2396900;0;STSB
30204495116;17588;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000008f6;0;201;10;2443960;1916212;3124;2443952;0;STSB
30204512709;16884;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000008f6;0;125;7;2406199;1882880;228;2406186;0;STSB
30204529598;16740;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000008f6;0;6;1;2396267;1873115;4;2396272;0;STSB
30204546342;16773;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000008f6;0;85;2;2399173;1871698;52;2399172;0;STSB
30204563119;16707;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000008f6;0;3;1;2395067;1867237;12;2395068;0;STSB
30204579830;16823;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000008f6;0;110;3;2401249;1877132;72;2401235;0;STSB
30204596657;16836;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000008f6;0;12;1;2395121;1868512;20;2395138;0;STSB
30204613498;16820;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000008f6;0;114;6;2401025;1873969;64;2401011;0;STSB
30204630323;16710;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000008f6;0;3;1;2395061;1866610;4;2395062;0;STSB
