TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;INST_RETIRED;LD_RETIRED;ST_RETIRED;BR_PRED;BR_MIS_PRED;PREFETCH;LMC0;CONTEXT
8296349324;1222402;"MAF";"INTERVAL";"PROBE";1;63;0x00000698;0;93925286;32602708;13639541;9266771;643680;19114;0;STSB
8296350124;204;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000698;0;2481;638;578;414;34;11;0;STSB
8296350338;288;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000698;0;8056;2373;1317;1012;99;0;0;STSB
8296350639;76;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000698;0;3011;700;481;525;59;10;0;STSB
8296350723;365;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000698;0;21133;7610;2054;1631;133;7;0;STSB
8296351099;59;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000698;0;1091;254;226;191;12;0;0;STSB
8296351166;60164;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000698;0;4386749;1525959;639340;432388;30902;1049;0;STSB
8296411378;54408;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000698;0;4299546;1506322;628087;414713;29876;855;0;STSB
8296465812;54956;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000698;0;4314263;1509762;629901;417843;29094;867;0;STSB
8296520800;54849;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000698;0;4312469;1509419;629632;417511;28744;847;0;STSB
8296575678;53885;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000698;0;4295143;1505417;627473;414006;28352;762;0;STSB
8296629584;54690;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000698;0;4309217;1508645;629369;416530;28615;785;0;STSB
8296684308;54590;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000698;0;4305949;1507927;628966;415823;28469;770;0;STSB
8296738926;54576;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000698;0;4308713;1508633;628959;417230;28438;756;0;STSB
8296793525;54505;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000698;0;4327660;1512938;631360;420814;28424;833;0;STSB
8296848073;81088;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000698;0;5429432;1737414;740558;641782;37752;2434;0;STSB
8296929196;54037;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000698;0;4296672;1505816;627482;414748;31015;865;0;STSB
8296983260;60176;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000698;0;4395347;1528156;639519;434285;31584;1155;0;STSB
8297043476;54310;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000698;0;4307927;1508426;628968;416809;28606;819;0;STSB
8297097824;54486;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000698;0;4308181;1508483;628967;416913;28498;771;0;STSB
8297152339;53841;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000698;0;4294543;1505271;627468;413722;28260;778;0;STSB
8297206213;54477;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000698;0;4307550;1508345;628962;416627;28437;798;0;STSB
8297260722;54517;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000698;0;4308308;1508523;628967;417017;28443;708;0;STSB
