TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;BR_PRED;DP_SPEC;VFP_SPEC;L1I_CACHE_REFILL;LMC0;CONTEXT
16957973295;1179773;"MAF";"INTERVAL";"PROBE";1;63;0x000007d0;0;0;0;8971012;0;0;42515;0;STSB
16957974206;236;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000007d0;0;0;0;414;0;0;133;0;STSB
16957974455;326;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000007d0;0;0;0;1012;0;0;201;0;STSB
16957974787;93;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000007d0;0;0;0;528;0;0;212;0;STSB
16957974887;377;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000007d0;0;0;0;1631;0;0;124;0;STSB
16957975276;58;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000007d0;0;0;0;191;0;0;39;0;STSB
16957975345;58279;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007d0;0;0;0;430726;0;0;4018;0;STSB
16958033661;54977;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007d0;0;0;0;418450;0;0;2152;0;STSB
16958088681;54158;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007d0;0;0;0;415729;0;0;1114;0;STSB
16958142883;55790;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007d0;0;0;0;423566;0;0;2290;0;STSB
16958198709;55118;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007d0;0;0;0;418476;0;0;2035;0;STSB
16958253859;54060;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007d0;0;0;0;414428;0;0;1116;0;STSB
16958307950;55305;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007d0;0;0;0;421314;0;0;2886;0;STSB
16958363294;55235;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007d0;0;0;0;416631;0;0;1773;0;STSB
16958418560;56738;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007d0;0;0;0;424486;0;0;3901;0;STSB
16958475341;54037;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007d0;0;0;0;415395;0;0;1140;0;STSB
16958529413;56123;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007d0;0;0;0;422353;0;0;3840;0;STSB
16958585575;54724;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007d0;0;0;0;416109;0;0;1522;0;STSB
16958640332;54783;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007d0;0;0;0;418314;0;0;1969;0;STSB
16958695147;53988;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007d0;0;0;0;414699;0;0;1080;0;STSB
16958749173;54449;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007d0;0;0;0;417073;0;0;1444;0;STSB
16958803652;54428;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007d0;0;0;0;416676;0;0;1418;0;STSB
16958858105;54139;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007d0;0;0;0;414373;0;0;946;0;STSB
16958912273;54462;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007d0;0;0;0;416356;0;0;1430;0;STSB
16958966763;54578;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007d0;0;0;0;416067;0;0;1394;0;STSB
16959021375;54638;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007d0;0;0;0;420259;0;0;1226;0;STSB
16959076049;76996;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000007d0;0;0;0;588438;0;0;2120;0;STSB
16959561796;1176002;"MAF";"INTERVAL";"PROBE";1;63;0x000007d0;1;0;0;8977635;0;0;39701;0;STSB
16959561858;246;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000007d0;1;0;0;413;0;0;144;0;STSB
16959562111;349;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000007d0;1;0;0;1012;0;0;200;0;STSB
16959562473;55;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000007d0;1;0;0;180;0;0;31;0;STSB
16959562535;400;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000007d0;1;0;0;1631;0;0;105;0;STSB
16959562944;67;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000007d0;1;0;0;191;0;0;37;0;STSB
16959563018;54074;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007d0;1;0;0;414942;0;0;1130;0;STSB
