TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
31616427064;1221594;"MAF";"INTERVAL";"PROBE";1;63;0x000009e0;0;1049;135;47148946;60735944;3838337;47153923;0;STSB
31616428070;240;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000009e0;0;1;7;1454;2114;1192;1458;0;STSB
31616428320;344;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000009e0;0;2;2;3893;5870;1649;3897;0;STSB
31616428670;88;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000009e0;0;4;2;1444;2656;456;1455;0;STSB
31616428765;372;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000009e0;0;1;0;9802;13361;1248;9806;0;STSB
31616429146;56;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000009e0;0;0;0;585;904;273;589;0;STSB
31616429213;58499;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009e0;0;154;42;2201304;2848182;167632;2201738;0;STSB
31616487754;55128;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009e0;0;20;5;2174411;2775567;171450;2174517;0;STSB
31616542918;54161;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009e0;0;2;0;2167377;2757003;172965;2167432;0;STSB
31616597108;54725;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009e0;0;0;0;2170965;2763284;172243;2171053;0;STSB
31616651875;54749;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009e0;0;0;0;2170970;2764362;161576;2171056;0;STSB
31616706674;54588;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009e0;0;0;0;2170905;2762854;177547;2170991;0;STSB
31616761303;54092;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009e0;0;0;0;2167233;2754777;170124;2167281;0;STSB
31616815436;55298;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009e0;0;19;0;2175306;2774031;174512;2175416;0;STSB
31616870776;54893;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009e0;0;1;0;2172213;2768208;173306;2172309;0;STSB
31616925716;54654;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009e0;0;7;3;2178846;2775455;169848;2178902;0;STSB
31616980410;55198;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009e0;0;9;0;2175299;2774763;173376;2175407;0;STSB
31617035649;54895;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009e0;0;1;1;2172194;2765833;171573;2172287;0;STSB
31617090578;54626;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009e0;0;0;0;2170927;2767472;171179;2171007;0;STSB
31617145242;53884;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009e0;0;0;0;2165961;2752692;173710;2166006;0;STSB
31617199161;84687;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009e0;0;654;46;2592654;3616874;313234;2595159;0;STSB
