TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;INST_RETIRED;LD_RETIRED;ST_RETIRED;BR_PRED;BR_MIS_PRED;PREFETCH;LMC0;CONTEXT
53223408388;1191942;"MAF";"INTERVAL";"PROBE";1;63;0x00000bc4;0;93456310;32487499;13574083;9166487;642994;17427;0;STSB
53223409032;164;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000bc4;0;2482;638;578;414;33;8;0;STSB
53223409470;256;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000bc4;0;8053;2372;1317;1012;89;0;0;STSB
53223409734;77;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000bc4;0;3017;700;480;524;69;3;0;STSB
53223409817;340;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000bc4;0;21136;7610;2055;1631;140;9;0;STSB
53223410166;51;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000bc4;0;1091;254;226;191;13;0;0;STSB
53223410224;80125;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bc4;0;5503519;1752490;747039;655037;39097;2044;0;STSB
53223490384;54301;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bc4;0;4312470;1509334;629785;417134;29127;881;0;STSB
53223544716;54119;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bc4;0;4305913;1507923;628958;415825;28524;853;0;STSB
53223598862;54125;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bc4;0;4297627;1505931;627856;414350;28378;725;0;STSB
53223653016;54575;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bc4;0;4316427;1510248;630345;417894;28757;853;0;STSB
53223707621;54475;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bc4;0;4312843;1509432;629858;417246;28640;869;0;STSB
53223762124;54342;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bc4;0;4309018;1508603;629358;416455;28552;826;0;STSB
53223816497;53946;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bc4;0;4294771;1505317;627480;413772;29509;708;0;STSB
53223870471;54300;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bc4;0;4306511;1508035;629017;415950;31030;810;0;STSB
53223924801;55043;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bc4;0;4322274;1511562;631102;419029;29633;772;0;STSB
53223979875;53872;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bc4;0;4298265;1506076;627865;414623;29765;781;0;STSB
53224033773;55719;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bc4;0;4346676;1517006;634410;424023;29750;911;0;STSB
53224089522;54522;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bc4;0;4312645;1509346;629779;417197;28791;848;0;STSB
53224144071;53736;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bc4;0;4294877;1505331;627495;413812;28276;794;0;STSB
53224197830;54525;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bc4;0;4309693;1508779;629373;416481;29684;800;0;STSB
53224252392;54359;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bc4;0;4306320;1508018;628999;415923;30990;805;0;STSB
53224306779;54553;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bc4;0;4308390;1508466;629228;416317;31027;781;0;STSB
53224361359;53949;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bc4;0;4294897;1505355;627499;413810;30806;698;0;STSB
53224415339;54278;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bc4;0;4306291;1508003;628996;415929;30924;786;0;STSB
53224469641;54556;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bc4;0;4310740;1509009;629594;416769;31040;768;0;STSB
53224524223;76084;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000bc4;0;5999231;2050344;857188;585956;39561;38;0;STSB
53225007344;1164306;"MAF";"INTERVAL";"PROBE";1;63;0x00000bc4;1;92345709;32287213;13469634;8923286;610921;15536;0;STSB
53225007402;191;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000bc4;1;2485;638;578;414;34;8;0;STSB
53225007606;313;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000bc4;1;8052;2372;1319;1012;93;10;0;STSB
53225007933;46;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000bc4;1;1166;269;246;180;11;0;0;STSB
53225007985;344;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000bc4;1;21132;7610;2055;1631;134;13;0;STSB
53225008339;59;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000bc4;1;1093;254;226;191;14;0;0;STSB
53225008405;53687;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bc4;1;4295328;1505346;627500;413899;28627;899;0;STSB
53225062112;54273;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bc4;1;4307867;1508352;629161;416192;28685;782;0;STSB
53225116410;54167;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bc4;1;4306501;1508024;628996;415952;28502;810;0;STSB
