TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;L1D_CACHE;INST_SPEC;L1I_CACHE;L1I_CACHE_REFILL;LMC0;CONTEXT
63879406473;1162392;"MAF";"INTERVAL";"PROBE";1;63;0x00000d04;0;0;0;46417979;0;59320677;33202;0;STSB
63879407123;164;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000d04;0;0;0;1452;0;2021;148;0;STSB
63879407298;267;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000d04;0;0;0;3895;0;5980;222;0;STSB
63879407577;68;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000d04;0;0;0;1449;0;2714;213;0;STSB
63879407651;356;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000d04;0;0;0;9809;0;13383;138;0;STSB
63879408015;49;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000d04;0;0;0;584;0;878;59;0;STSB
63879408072;54375;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;0;0;0;2174056;0;2786793;2392;0;STSB
63879462480;53689;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;0;0;0;2165996;0;2753714;879;0;STSB
63879516197;54266;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;0;0;0;2172346;0;2766815;1671;0;STSB
63879570487;54229;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;0;0;0;2172316;0;2767135;1734;0;STSB
63879624744;53705;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;0;0;0;2165989;0;2754814;825;0;STSB
63879678469;54353;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;0;0;0;2172276;0;2765857;1649;0;STSB
63879732847;54488;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;0;0;0;2172384;0;2768925;1798;0;STSB
63879787363;54353;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;0;0;0;2171168;0;2783748;1514;0;STSB
63879841748;53865;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;0;0;0;2167362;0;2771026;1085;0;STSB
63879895640;54498;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;0;0;0;2174026;0;2770873;2113;0;STSB
63879950160;54653;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;0;0;0;2174243;0;2771609;2049;0;STSB
63880004836;53949;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;0;0;0;2166082;0;2755712;857;0;STSB
63880058804;54358;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;0;0;0;2173568;0;2778104;1937;0;STSB
63880113190;54834;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;0;0;0;2184483;0;2808832;1871;0;STSB
63880168057;53689;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;0;0;0;2166021;0;2753746;851;0;STSB
63880221774;54311;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;0;0;0;2171135;0;2762300;1479;0;STSB
63880276104;54407;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;0;0;0;2171250;0;2764765;1450;0;STSB
63880330533;54370;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;0;0;0;2171002;0;2762516;1400;0;STSB
63880384927;53692;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;0;0;0;2166034;0;2755071;801;0;STSB
63880438649;54116;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;0;0;0;2171078;0;2763921;1466;0;STSB
63880492793;76051;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000d04;0;0;0;2958235;0;3895331;1555;0;STSB
63881001779;1162846;"MAF";"INTERVAL";"PROBE";1;63;0x00000d04;1;0;0;46504799;0;59367223;29607;0;STSB
63881001823;169;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000d04;1;0;0;1448;0;2097;155;0;STSB
63881002002;303;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000d04;1;0;0;3891;0;5828;220;0;STSB
63881002314;48;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000d04;1;0;0;648;0;912;46;0;STSB
63881002368;343;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000d04;1;0;0;9805;0;13324;147;0;STSB
63881002720;56;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000d04;1;0;0;584;0;911;52;0;STSB
63881002784;54380;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;1;0;0;2171909;0;2799491;1828;0;STSB
63881057193;53625;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;1;0;0;2166031;0;2756717;858;0;STSB
63881110849;54182;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;1;0;0;2171207;0;2767137;1467;0;STSB
63881165056;54917;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;1;0;0;2183924;0;2784375;1929;0;STSB
63881220003;53670;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;1;0;0;2166063;0;2755291;865;0;STSB
63881273694;54268;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;1;0;0;2171118;0;2763093;1447;0;STSB
63881327991;54169;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;1;0;0;2171102;0;2762424;1445;0;STSB
63881382184;53686;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;1;0;0;2165996;0;2753222;807;0;STSB
63881435900;54115;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;1;0;0;2171131;0;2762071;1429;0;STSB
63881490037;54483;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;1;0;0;2171110;0;2764242;1459;0;STSB
63881544542;53723;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;1;0;0;2166039;0;2751382;817;0;STSB
63881598294;54443;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;1;0;0;2172959;0;2767183;1674;0;STSB
63881652764;54118;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;1;0;0;2171098;0;2763130;1457;0;STSB
63881706907;54182;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;1;0;0;2171098;0;2761919;1447;0;STSB
63881761111;53690;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;1;0;0;2165982;0;2752847;831;0;STSB
63881814831;54361;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;1;0;0;2171104;0;2763942;1453;0;STSB
63881869218;54268;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;1;0;0;2171171;0;2764725;1446;0;STSB
63881923509;53668;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;1;0;0;2166059;0;2754483;824;0;STSB
63881977206;54151;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;1;0;0;2171122;0;2763611;1447;0;STSB
63882031388;54227;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;1;0;0;2171107;0;2763734;1485;0;STSB
63882085653;78959;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000d04;1;0;0;3064932;0;4042351;1800;0;STSB
63882601725;1167908;"MAF";"INTERVAL";"PROBE";1;63;0x00000d04;2;0;0;46616128;0;59562204;32157;0;STSB
63882601779;195;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000d04;2;0;0;1450;0;2066;142;0;STSB
63882601984;329;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000d04;2;0;0;4918;0;7293;234;0;STSB
63882602321;52;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000d04;2;0;0;648;0;895;48;0;STSB
63882602379;340;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000d04;2;0;0;9807;0;13089;140;0;STSB
63882602730;54;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000d04;2;0;0;584;0;876;47;0;STSB
63882602791;54260;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;2;0;0;2171874;0;2771466;1741;0;STSB
63882657081;53806;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;2;0;0;2166081;0;2754832;879;0;STSB
63882710911;54161;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;2;0;0;2171097;0;2764428;1468;0;STSB
63882765098;54199;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;2;0;0;2171113;0;2763906;1440;0;STSB
63882819328;53785;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;2;0;0;2166028;0;2754068;804;0;STSB
63882873133;54129;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;2;0;0;2171141;0;2763924;1443;0;STSB
63882927291;54208;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;2;0;0;2171138;0;2764311;1468;0;STSB
63882981526;54043;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;2;0;0;2166943;0;2757114;1174;0;STSB
63883035600;54239;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;2;0;0;2171115;0;2763414;1498;0;STSB
63883089865;54275;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;2;0;0;2170977;0;2764701;1413;0;STSB
63883144167;53747;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;2;0;0;2166046;0;2755636;820;0;STSB
63883197942;54329;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;2;0;0;2170984;0;2762948;1400;0;STSB
63883252299;54726;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;2;0;0;2174237;0;2780452;1948;0;STSB
63883307050;54612;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;2;0;0;2173462;0;2781133;2014;0;STSB
63883361691;53886;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;2;0;0;2167272;0;2757063;1112;0;STSB
63883415605;54766;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;2;0;0;2173401;0;2786846;1923;0;STSB
63883470403;54776;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;2;0;0;2174258;0;2791818;2119;0;STSB
63883525212;53870;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;2;0;0;2167278;0;2756999;1069;0;STSB
63883579101;54297;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;2;0;0;2171044;0;2763473;1513;0;STSB
63883633422;54349;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;2;0;0;2171089;0;2763532;1491;0;STSB
63883687799;81812;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000d04;2;0;0;3175982;0;4189361;2047;0;STSB
63884201764;1171055;"MAF";"INTERVAL";"PROBE";1;63;0x00000d04;3;0;0;46719584;0;60172439;28771;0;STSB
63884201817;219;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000d04;3;0;0;1449;0;2052;157;0;STSB
63884202050;345;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000d04;3;0;0;4924;0;7229;224;0;STSB
63884202405;44;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000d04;3;0;0;648;0;922;50;0;STSB
63884202455;349;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000d04;3;0;0;9803;0;13305;133;0;STSB
63884202812;58;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000d04;3;0;0;583;0;875;45;0;STSB
63884202876;54469;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;3;0;0;2172016;0;2798785;1807;0;STSB
63884257370;53825;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;3;0;0;2166278;0;2785726;853;0;STSB
63884311226;54358;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;3;0;0;2171403;0;2795779;1473;0;STSB
63884365606;54382;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;3;0;0;2171220;0;2793703;1422;0;STSB
63884420014;53952;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;3;0;0;2166297;0;2783397;815;0;STSB
63884473994;54447;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;3;0;0;2171308;0;2796643;1474;0;STSB
63884528469;54309;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;3;0;0;2171323;0;2791979;1449;0;STSB
63884582807;53853;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;3;0;0;2166266;0;2782930;809;0;STSB
63884636689;54334;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;3;0;0;2171304;0;2792431;1387;0;STSB
63884691048;54276;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;3;0;0;2171211;0;2792752;1422;0;STSB
63884745355;53844;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;3;0;0;2166178;0;2783144;802;0;STSB
63884799222;54300;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d04;3;0;0;2171299;0;2793268;1421;0;STSB
