TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
70539355662;1163770;"MAF";"INTERVAL";"PROBE";1;63;0x00000dcc;0;117;40;46441046;59476598;4277355;46442789;0;STSB
70539356405;172;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000dcc;0;1;6;1452;2032;985;1456;0;STSB
70539356585;302;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000dcc;0;1;1;3897;5971;1688;3901;0;STSB
70539356896;81;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000dcc;0;3;3;1450;2637;374;1461;0;STSB
70539356983;344;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000dcc;0;1;0;9805;13268;1677;9809;0;STSB
70539357337;52;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000dcc;0;0;0;584;867;350;588;0;STSB
70539357396;54349;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;0;40;8;2173700;2773255;178058;2173784;0;STSB
70539411775;55147;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;0;29;5;2188307;2797652;198294;2188671;0;STSB
70539466951;54475;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;0;6;3;2174091;2775718;195533;2174207;0;STSB
70539521462;53860;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;0;2;0;2167429;2784466;192339;2167479;0;STSB
70539575362;54467;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;0;9;2;2172907;2798709;201144;2173005;0;STSB
70539629861;54565;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;0;1;2;2173623;2780689;204713;2173720;0;STSB
70539684460;53782;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;0;0;0;2167595;2758192;204064;2167648;0;STSB
70539738277;54293;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;0;0;0;2172474;2768170;202804;2172567;0;STSB
70539792608;54478;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;0;0;0;2172344;2768218;200108;2172442;0;STSB
70539847121;53672;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;0;0;0;2166055;2753281;194418;2166100;0;STSB
70539900825;54136;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;0;0;0;2171131;2764517;217139;2171220;0;STSB
70539954995;54185;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;0;0;0;2171114;2763916;194731;2171202;0;STSB
70540009212;53685;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;0;0;0;2166089;2756441;191474;2166131;0;STSB
70540062931;54581;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;0;6;3;2184449;2786630;202574;2184547;0;STSB
70540117551;54278;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;0;3;0;2171035;2765801;209316;2171122;0;STSB
70540171866;54267;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;0;5;0;2172487;2768091;198562;2172574;0;STSB
70540226168;53954;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;0;0;0;2165968;2780404;195338;2166013;0;STSB
70540280157;54240;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;0;0;0;2171068;2789221;198298;2171154;0;STSB
70540334437;54368;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;0;0;0;2171074;2794095;200702;2171167;0;STSB
70540388840;53997;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;0;0;0;2167889;2784348;207366;2167945;0;STSB
70540442869;76547;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000dcc;0;0;1;2963283;3906189;277983;2963402;0;STSB
70540950997;1164573;"MAF";"INTERVAL";"PROBE";1;63;0x00000dcc;1;26;10;46510368;59353059;4324162;46511923;0;STSB
70540951047;198;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000dcc;1;0;2;1450;2078;1381;1454;0;STSB
70540951255;316;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000dcc;1;0;0;3891;5978;1780;3895;0;STSB
70540951580;48;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000dcc;1;0;1;648;881;272;652;0;STSB
70540951634;357;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000dcc;1;1;0;9809;13165;1788;9813;0;STSB
70540951999;50;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000dcc;1;0;0;585;901;436;589;0;STSB
70540952056;54499;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;1;10;3;2171754;2770505;199891;2171832;0;STSB
70541006590;54339;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;1;2;1;2171040;2764177;206179;2171119;0;STSB
70541060966;53700;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;1;0;0;2166004;2754502;199875;2166046;0;STSB
70541114696;54897;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;1;11;3;2184090;2784068;196441;2184176;0;STSB
70541169628;54304;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;1;0;0;2171038;2763756;194386;2171117;0;STSB
70541223967;54095;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;1;1;0;2167922;2760171;216914;2167972;0;STSB
70541278091;54399;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;1;0;0;2171058;2762538;206334;2171146;0;STSB
70541332529;54239;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;1;0;0;2171055;2764109;215224;2171147;0;STSB
70541386801;54219;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;1;0;0;2171118;2764450;199465;2171208;0;STSB
70541441060;53664;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;1;0;0;2166048;2751635;204075;2166092;0;STSB
70541494755;54217;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;1;0;0;2171134;2763342;203605;2171224;0;STSB
70541549007;54183;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;1;0;0;2171106;2764496;203671;2171197;0;STSB
70541603224;53656;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;1;0;0;2166034;2755962;191386;2166080;0;STSB
70541656916;54230;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;1;0;0;2171174;2765779;202017;2171260;0;STSB
70541711181;54247;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;1;0;0;2171168;2765975;208172;2171254;0;STSB
70541765468;53693;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;1;0;0;2166033;2753722;194722;2166079;0;STSB
70541819201;54284;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;1;0;0;2171140;2762003;192873;2171226;0;STSB
70541873518;54381;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;1;0;0;2172425;2767056;195062;2172511;0;STSB
70541927937;53737;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;1;0;0;2166034;2754361;194395;2166078;0;STSB
70541981708;54380;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;1;0;0;2171064;2762389;195323;2171150;0;STSB
70542036126;79429;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000dcc;1;0;0;3069379;4048412;289892;3069513;0;STSB
70542550960;1168251;"MAF";"INTERVAL";"PROBE";1;63;0x00000dcc;2;47;11;46621671;59546427;4317802;46623223;0;STSB
70542551003;207;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000dcc;2;1;3;1450;2040;1433;1454;0;STSB
70542551222;356;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000dcc;2;0;0;4917;7368;2119;4921;0;STSB
70542551585;45;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000dcc;2;0;1;648;908;368;652;0;STSB
70542551636;331;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000dcc;2;2;0;9805;13349;1705;9809;0;STSB
70542551975;58;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000dcc;2;0;0;584;859;356;588;0;STSB
70542552040;55014;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;2;17;5;2184632;2816920;207232;2184719;0;STSB
70542607090;54290;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;2;6;1;2171072;2771431;212042;2171150;0;STSB
70542661418;53700;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;2;1;0;2165965;2755497;201871;2166007;0;STSB
70542715151;54261;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;2;0;0;2171141;2763719;199294;2171217;0;STSB
70542769442;54506;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;2;0;0;2171076;2765425;198147;2171158;0;STSB
70542823983;53854;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;2;0;0;2166004;2754990;194119;2166044;0;STSB
70542877871;54410;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;2;2;0;2172961;2767327;206523;2173060;0;STSB
70542932313;54702;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;2;8;1;2172062;2768129;203020;2172152;0;STSB
70542987049;54254;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;2;0;0;2171064;2765202;204429;2171154;0;STSB
70543041343;53887;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;2;0;0;2165965;2756343;190138;2166009;0;STSB
70543095268;54231;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;2;0;0;2171029;2764824;194398;2171114;0;STSB
70543149533;54229;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000dcc;2;0;0;2171053;2764641;193643;2171142;0;STSB
