TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
48561380659;1188064;"MAF";"INTERVAL";"PROBE";1;63;0x00000b38;0;46820523;18212;35402;119584;46712;49699;0;STSB
48561381397;177;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000b38;0;1449;47;52;250;143;141;0;STSB
48561381584;293;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000b38;0;3895;32;31;268;170;156;0;STSB
48561381885;89;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000b38;0;1444;40;40;294;39;55;0;STSB
48561381981;352;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000b38;0;9803;32;45;234;99;101;0;STSB
48561382341;51;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000b38;0;581;11;12;67;34;32;0;STSB
48561382399;54462;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b38;0;2173369;828;1743;5746;2003;2063;0;STSB
48561436892;53906;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b38;0;2167788;430;1196;3617;1430;1491;0;STSB
48561490833;54487;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b38;0;2172847;688;1500;4918;1889;2014;0;STSB
48561545357;54502;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b38;0;2172988;747;1477;4850;1873;1982;0;STSB
48561599893;55203;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b38;0;2187652;1061;1855;6270;2173;2344;0;STSB
48561655128;54100;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b38;0;2167681;553;1326;3831;1569;1613;0;STSB
48561709258;54622;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b38;0;2175081;837;1637;5534;2080;2193;0;STSB
48561763914;54493;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b38;0;2174325;764;1602;5361;1949;2067;0;STSB
48561818440;53776;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b38;0;2166285;384;1166;3285;1364;1442;0;STSB
48561872251;54727;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b38;0;2174928;867;1635;5414;1972;2100;0;STSB
48561927011;54439;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b38;0;2173130;712;1550;5062;1864;2008;0;STSB
