TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
38239390708;361133;"MAF";"INTERVAL";"PROBE";4;63;0x000009cb;0;51213315;8859;3962;78730;3145;871;0;STSB
38239391164;106;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000009cb;0;1621;41;8;432;166;32;0;STSB
38239391274;121;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000009cb;0;4202;26;11;482;191;55;0;STSB
38239391399;24;"LOC_C2";"INTERVAL";"PROBE";4;63;0x000009cb;0;757;10;5;74;30;10;0;STSB
38239391428;137;"LOC_C3";"INTERVAL";"PROBE";4;63;0x000009cb;0;10593;28;15;265;89;27;0;STSB
38239391570;26;"LOC_C4";"INTERVAL";"PROBE";4;63;0x000009cb;0;711;11;5;98;28;5;0;STSB
38239391600;17326;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000009cb;0;2416244;564;355;6674;1148;295;0;STSB
38239408931;16706;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000009cb;0;2394639;124;176;1991;3;0;0;STSB
38239425641;17353;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000009cb;0;2419075;1183;414;9239;344;78;0;STSB
38239442999;17195;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000009cb;0;2416553;1168;458;8164;163;37;0;STSB
38239460199;17208;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000009cb;0;2428770;602;325;5400;168;47;0;STSB
38239477412;16707;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000009cb;0;2394242;129;127;1971;0;0;0;STSB
38239494123;16991;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000009cb;0;2405868;621;224;4642;211;55;0;STSB
38239511119;16723;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000009cb;0;2395998;126;117;1971;1;0;0;STSB
38239527847;16844;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000009cb;0;2398707;336;124;2934;20;8;0;STSB
38239544696;16711;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000009cb;0;2396873;115;75;1877;1;1;0;STSB
38239561411;16818;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000009cb;0;2400755;400;176;3373;16;2;0;STSB
38239578233;16707;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000009cb;0;2394946;123;69;1883;1;2;0;STSB
38239594945;17090;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000009cb;0;2415812;688;312;4746;118;31;0;STSB
38239612039;16715;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000009cb;0;2396900;124;67;1882;1;1;0;STSB
38239628758;16860;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000009cb;0;2402584;434;196;3724;26;8;0;STSB
38239645622;16726;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000009cb;0;2396435;120;65;1849;0;1;0;STSB
38239662352;16836;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000009cb;0;2401522;414;178;3381;17;4;0;STSB
38239679193;16808;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000009cb;0;2403199;401;102;3281;10;4;0;STSB
38239696005;16696;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000009cb;0;2395390;120;152;1911;0;0;0;STSB
38239712705;16858;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000009cb;0;2405665;485;134;3762;27;9;0;STSB
38239729569;22268;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x000009cb;0;3091690;51;9;407;134;56;0;STSB
38240988383;358939;"MAF";"INTERVAL";"PROBE";4;63;0x000009cb;1;51183013;6040;2820;57654;2131;1297;0;STSB
38240988422;135;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000009cb;1;1587;42;21;455;235;136;0;STSB
38240988562;130;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000009cb;1;4169;25;12;459;197;122;0;STSB
38240988696;29;"LOC_C2";"INTERVAL";"PROBE";4;63;0x000009cb;1;759;11;10;90;48;22;0;STSB
