TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;L1D_CACHE;INST_SPEC;L1I_CACHE;L1I_CACHE_REFILL;LMC0;CONTEXT
58123976761;366705;"MAF";"INTERVAL";"PROBE";4;63;0x00000c9a;0;41335603;16432007;51338019;112969363;39984288;20089;0;STSB
58123977200;98;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00000c9a;0;773;643;1547;3001;1450;135;0;STSB
58123977302;120;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00000c9a;0;2810;1516;4195;9495;4163;174;0;STSB
58123977426;33;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00000c9a;0;339;296;751;1447;616;27;0;STSB
58123977464;133;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00000c9a;0;9390;2489;10556;25815;9213;93;0;STSB
58123977602;34;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00000c9a;0;356;290;720;1492;735;37;0;STSB
58123977640;17665;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000c9a;0;1960134;779630;2425166;5360484;1911384;3050;0;STSB
58123995310;16721;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000c9a;0;1940908;769264;2397626;5277677;1869393;42;0;STSB
58124012036;16862;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000c9a;0;1944969;770883;2403492;5293445;1876618;883;0;STSB
58124028903;16720;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000c9a;0;1940850;769111;2397279;5276501;1871058;25;0;STSB
58124045628;17024;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000c9a;0;1946793;771942;2407729;5302264;1879224;935;0;STSB
58124062666;16741;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000c9a;0;1940523;768717;2397869;5275128;1868685;27;0;STSB
58124079416;17281;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000c9a;0;1945369;771389;2405234;5295877;1877645;674;0;STSB
58124096714;16952;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000c9a;0;1941841;769086;2400257;5282213;1872989;249;0;STSB
58124113674;16995;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000c9a;0;1939311;768336;2397539;5272166;1865775;40;0;STSB
58124130679;17113;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000c9a;0;1942334;769885;2402564;5286268;1872632;502;0;STSB
58124147802;16711;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000c9a;0;1939984;768398;2397887;5273453;1866667;34;0;STSB
58124164517;17152;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000c9a;0;1949585;774087;2414774;5316402;1883302;701;0;STSB
58124181679;20846;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000c9a;0;2031928;815682;2545235;5683702;2036044;6479;0;STSB
58124202540;17248;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000c9a;0;1945708;772247;2404566;5300731;1884910;1242;0;STSB
58124219792;16716;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000c9a;0;1936675;768148;2393692;5266927;1868795;28;0;STSB
58124236512;16786;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000c9a;0;1940480;769711;2397193;5278559;1874408;266;0;STSB
58124253302;16713;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000c9a;0;1936782;768084;2393908;5266993;1868152;18;0;STSB
58124270020;17379;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000c9a;0;1956318;778354;2421073;5346313;1902410;2031;0;STSB
58124287404;16908;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000c9a;0;1944903;771717;2403649;5296144;1880470;1003;0;STSB
58124304316;16707;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000c9a;0;1935155;767623;2392974;5263425;1866213;39;0;STSB
58124321030;22427;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00000c9a;0;2348678;955427;3096564;6655944;2247645;686;0;STSB
58125573494;358760;"MAF";"INTERVAL";"PROBE";4;63;0x00000c9a;1;41185221;16366780;51168724;112370959;39672163;6231;0;STSB
58125573541;154;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00000c9a;1;839;655;1596;3224;1575;139;0;STSB
58125573700;158;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00000c9a;1;2744;1473;4142;9219;3977;172;0;STSB
58125573862;32;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00000c9a;1;339;296;750;1447;616;28;0;STSB
58125573898;135;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00000c9a;1;9035;2418;10460;24893;8550;102;0;STSB
58125574038;39;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00000c9a;1;358;291;715;1480;725;36;0;STSB
58125574081;17051;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000c9a;1;1944496;771728;2404462;5296280;1879532;931;0;STSB
58125591137;16680;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000c9a;1;1933222;766840;2392614;5258788;1859346;35;0;STSB
58125607821;16812;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000c9a;1;1941366;770110;2401378;5285160;1871042;525;0;STSB
58125624637;16697;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000c9a;1;1935200;767512;2393246;5263265;1863789;32;0;STSB
58125641339;16772;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000c9a;1;1936962;768700;2398747;5274330;1867517;445;0;STSB
