TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
66077649824;360113;"MAF";"INTERVAL";"PROBE";4;63;0x00000dba;0;2018;209;51171393;39784099;13390;51171485;0;STSB
66077650273;88;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00000dba;0;1;12;1562;1467;788;1560;0;STSB
66077650366;131;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00000dba;0;2;3;4265;4346;1008;4257;0;STSB
66077650501;24;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00000dba;0;0;2;748;642;172;740;0;STSB
66077650529;134;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00000dba;0;5;1;10671;9466;400;10663;0;STSB
66077650667;28;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00000dba;0;0;0;729;724;116;721;0;STSB
66077650699;17456;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000dba;0;367;94;2413299;1898618;5848;2413321;0;STSB
66077668160;16897;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000dba;0;135;18;2403919;1881741;396;2403920;0;STSB
66077685062;16723;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000dba;0;5;0;2396591;1870928;16;2396596;0;STSB
66077701790;16931;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000dba;0;150;5;2405932;1881196;588;2405923;0;STSB
66077718727;16711;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000dba;0;6;0;2398172;1868462;4;2398177;0;STSB
66077735443;16825;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000dba;0;120;5;2402417;1873521;116;2402409;0;STSB
66077752273;16702;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000dba;0;7;0;2396864;1866272;8;2396873;0;STSB
66077768979;17150;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000dba;0;203;10;2418339;1888927;852;2418330;0;STSB
66077786135;16796;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000dba;0;17;0;2397311;1867288;14;2397327;0;STSB
66077802936;16826;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000dba;0;117;5;2402552;1872837;60;2402543;0;STSB
66077819767;16701;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000dba;0;2;0;2397031;1865873;4;2397036;0;STSB
66077836473;16799;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000dba;0;114;1;2401507;1870436;100;2401510;0;STSB
66077853276;16712;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000dba;0;2;0;2397949;1868062;4;2397954;0;STSB
66077869993;16815;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000dba;0;112;2;2399528;1873977;88;2399530;0;STSB
66077886813;16714;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000dba;0;4;0;2393043;1868207;4;2393048;0;STSB
66077903531;16813;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000dba;0;107;3;2402312;1877251;76;2402314;0;STSB
66077920348;16856;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00000dba;0;138;5;2404939;1880296;240;2404941;0;STSB
