TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
48583352730;1142498;"MAF";"INTERVAL";"PROBE";1;63;0x00000a89;0;46407442;11843;27798;89790;1718;1707;0;NOSTRESS
48583353067;108;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000a89;0;1450;41;45;236;80;14;0;NOSTRESS
48583353183;220;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000a89;0;3891;25;27;273;136;34;0;NOSTRESS
48583353409;63;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000a89;0;1448;35;48;303;27;12;0;NOSTRESS
48583353478;312;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000a89;0;9804;28;37;197;76;18;0;NOSTRESS
48583353798;35;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000a89;0;582;10;10;67;25;10;0;NOSTRESS
48583353840;53660;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a89;0;2173874;790;1723;5865;698;248;0;NOSTRESS
48583407507;53186;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a89;0;2166095;363;1146;3240;53;92;0;NOSTRESS
48583460700;53466;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a89;0;2173828;899;1665;5477;55;78;0;NOSTRESS
48583514173;53298;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a89;0;2171245;547;1350;4293;22;42;0;NOSTRESS
48583567487;53239;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a89;0;2167539;392;1150;3453;22;39;0;NOSTRESS
48583620732;53355;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a89;0;2169233;539;1370;4239;25;41;0;NOSTRESS
48583674094;53378;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a89;0;2172502;815;1526;4824;32;67;0;NOSTRESS
48583727479;53232;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a89;0;2167591;477;1244;3686;97;74;0;NOSTRESS
48583780717;53283;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a89;0;2171894;616;1415;4511;6;50;0;NOSTRESS
48583834007;53361;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a89;0;2173213;669;1495;4913;13;138;0;NOSTRESS
48583887375;53168;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a89;0;2167416;373;1172;3411;36;80;0;NOSTRESS
48583940550;53297;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a89;0;2171921;601;1369;4480;8;56;0;NOSTRESS
48583993854;53387;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a89;0;2173721;561;1364;4555;68;60;0;NOSTRESS
48584047248;53114;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a89;0;2166444;263;1079;3083;12;48;0;NOSTRESS
48584100377;53267;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a89;0;2171818;538;1296;4227;2;52;0;NOSTRESS
48584153651;53275;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a89;0;2171883;538;1344;4274;7;60;0;NOSTRESS
48584206933;53124;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a89;0;2166408;459;1198;3288;1;71;0;NOSTRESS
48584260064;53316;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a89;0;2171220;675;1419;4403;26;67;0;NOSTRESS
48584313387;53272;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a89;0;2171873;619;1450;4425;4;73;0;NOSTRESS
48584366666;53110;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a89;0;2166447;293;1109;3100;1;38;0;NOSTRESS
48584419784;75433;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000a89;0;2964290;386;438;3270;130;57;0;NOSTRESS
48584952597;1143699;"MAF";"INTERVAL";"PROBE";1;63;0x00000a89;1;46479541;9316;24412;76966;2289;2258;0;NOSTRESS
48584952616;105;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000a89;1;1445;40;48;233;99;25;0;NOSTRESS
48584952728;196;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000a89;1;3893;27;29;278;99;26;0;NOSTRESS
48584952930;27;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000a89;1;645;15;15;59;21;10;0;NOSTRESS
48584952963;317;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000a89;1;9802;35;51;213;75;43;0;NOSTRESS
48584953288;43;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000a89;1;582;11;11;66;31;10;0;NOSTRESS
48584953337;53354;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a89;1;2171793;461;1319;4568;35;113;0;NOSTRESS
