TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;L1D_CACHE;INST_SPEC;L1I_CACHE;L1I_CACHE_REFILL;LMC0;CONTEXT
67846722924;1141647;"MAF";"INTERVAL";"PROBE";1;63;0x00000c63;0;0;0;46394820;0;59207516;32125;0;NOSTRESS
67846723295;114;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000c63;0;0;0;1451;0;2075;137;0;NOSTRESS
67846723417;222;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000c63;0;0;0;3896;0;5883;217;0;NOSTRESS
67846723646;67;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000c63;0;0;0;1450;0;2700;238;0;NOSTRESS
67846723719;319;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000c63;0;0;0;9806;0;13271;116;0;NOSTRESS
67846724046;38;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000c63;0;0;0;584;0;858;54;0;NOSTRESS
67846724091;53651;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000c63;0;0;0;2173847;0;2773662;2382;0;NOSTRESS
67846777750;53221;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000c63;0;0;0;2167479;0;2758072;1216;0;NOSTRESS
67846830978;53356;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000c63;0;0;0;2172642;0;2768390;1904;0;NOSTRESS
67846884341;53427;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000c63;0;0;0;2173764;0;2770662;2090;0;NOSTRESS
67846937775;53120;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000c63;0;0;0;2166079;0;2754470;920;0;NOSTRESS
67846990902;53321;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000c63;0;0;0;2172680;0;2766329;1888;0;NOSTRESS
67847044237;53251;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000c63;0;0;0;2171227;0;2764677;1469;0;NOSTRESS
67847097495;53114;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000c63;0;0;0;2166100;0;2754890;877;0;NOSTRESS
67847150616;53264;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000c63;0;0;0;2171133;0;2765783;1517;0;NOSTRESS
67847203887;53255;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000c63;0;0;0;2171334;0;2765545;1511;0;NOSTRESS
67847257149;53240;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000c63;0;0;0;2168318;0;2760553;1124;0;NOSTRESS
67847310397;53264;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000c63;0;0;0;2171351;0;2765528;1578;0;NOSTRESS
67847363668;53253;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000c63;0;0;0;2171116;0;2765241;1500;0;NOSTRESS
67847416928;53115;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000c63;0;0;0;2166267;0;2755193;880;0;NOSTRESS
67847470050;53252;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000c63;0;0;0;2171153;0;2763888;1495;0;NOSTRESS
67847523309;53190;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000c63;0;0;0;2168261;0;2760215;1145;0;NOSTRESS
