TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
75817706696;1142024;"MAF";"INTERVAL";"PROBE";1;63;0x00000d26;0;49;13;46398903;59210860;6582;46400254;0;NOSTRESS
75817707085;114;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000d26;0;0;2;1452;2065;368;1456;0;NOSTRESS
75817707206;229;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000d26;0;1;3;3898;5979;553;3902;0;NOSTRESS
75817707441;69;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000d26;0;1;2;1469;2845;121;1480;0;NOSTRESS
75817707516;315;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000d26;0;1;0;9806;13214;324;9810;0;NOSTRESS
75817707839;41;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000d26;0;0;0;585;892;104;589;0;NOSTRESS
75817707888;53594;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;0;15;2;2167456;2760428;2950;2167508;0;NOSTRESS
75817761490;53384;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;0;1;1;2171829;2769450;464;2171920;0;NOSTRESS
75817814881;53414;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;0;0;0;2173745;2771154;152;2173842;0;NOSTRESS
75817868302;53166;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;0;0;0;2167375;2757081;19;2167427;0;NOSTRESS
75817921494;53387;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;0;6;1;2174251;2771222;69;2174358;0;NOSTRESS
75817974888;53357;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;0;0;0;2173792;2769964;8;2173890;0;NOSTRESS
75818028252;53118;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;0;0;0;2166132;2752753;20;2166180;0;NOSTRESS
75818081377;53397;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;0;8;0;2173388;2768528;288;2173484;0;NOSTRESS
75818134782;53266;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;0;0;0;2171386;2766411;12;2171469;0;NOSTRESS
75818188055;53104;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;0;0;0;2166028;2751187;4;2166076;0;NOSTRESS
75818241166;53250;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;0;0;0;2171300;2762749;8;2171389;0;NOSTRESS
75818294423;53251;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;0;0;0;2171194;2764844;8;2171280;0;NOSTRESS
75818347681;53115;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;0;0;0;2166088;2752849;16;2166133;0;NOSTRESS
75818400803;53249;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;0;0;0;2171162;2764427;4;2171248;0;NOSTRESS
75818454059;53253;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;0;0;0;2171461;2762734;20;2171544;0;NOSTRESS
75818507319;53104;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;0;0;0;2166080;2756042;4;2166122;0;NOSTRESS
75818560430;53247;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;0;0;0;2171136;2765331;8;2171222;0;NOSTRESS
75818613684;53328;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;0;10;1;2172582;2769275;178;2172675;0;NOSTRESS
75818667032;53144;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;0;0;0;2166120;2756497;40;2166165;0;NOSTRESS
75818720182;53269;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;0;0;0;2171187;2765589;20;2171276;0;NOSTRESS
75818773459;75252;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000d26;0;0;0;2958250;3893289;488;2958330;0;NOSTRESS
75819306597;1144080;"MAF";"INTERVAL";"PROBE";1;63;0x00000d26;1;29;18;46478345;59546009;2766;46479760;0;NOSTRESS
75819306616;111;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000d26;1;0;5;1448;2026;420;1452;0;NOSTRESS
75819306735;182;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000d26;1;0;1;3895;5837;328;3899;0;NOSTRESS
75819306923;31;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000d26;1;0;3;648;884;86;652;0;NOSTRESS
75819306960;308;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000d26;1;0;0;9810;13469;264;9814;0;NOSTRESS
75819307276;42;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000d26;1;0;0;584;898;96;588;0;NOSTRESS
75819307324;53204;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;1;12;4;2166946;2759009;128;2166987;0;NOSTRESS
75819360535;53275;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;1;0;2;2171241;2764505;16;2171317;0;NOSTRESS
75819413817;53260;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;1;0;0;2171199;2764827;5;2171279;0;NOSTRESS
75819467084;53034;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;1;0;0;2163126;2746762;28;2163154;0;NOSTRESS
75819520126;53261;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;1;0;0;2171250;2764791;18;2171328;0;NOSTRESS
75819573394;53453;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;1;13;0;2173853;2772215;360;2173942;0;NOSTRESS
75819626854;53109;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;1;0;1;2166176;2754767;4;2166221;0;NOSTRESS
75819679971;53252;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;1;0;0;2171153;2765447;12;2171245;0;NOSTRESS
75819733230;53332;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;1;3;0;2173058;2770402;80;2173157;0;NOSTRESS
75819786570;53112;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;1;0;0;2166107;2752534;16;2166152;0;NOSTRESS
75819839689;53251;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;1;0;0;2171191;2762810;16;2171277;0;NOSTRESS
75819892947;53259;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;1;0;0;2171333;2764946;20;2171422;0;NOSTRESS
75819946213;53217;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;1;1;0;2167495;2774853;10;2167544;0;NOSTRESS
75819999438;53301;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;1;0;0;2168137;2784032;28;2168214;0;NOSTRESS
75820052747;53395;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;1;0;0;2171349;2793295;136;2171435;0;NOSTRESS
75820106151;53232;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;1;0;0;2166092;2782134;80;2166140;0;NOSTRESS
75820159394;53288;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;1;0;0;2168153;2785266;48;2168224;0;NOSTRESS
75820212690;53367;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;1;0;0;2171233;2792640;36;2171319;0;NOSTRESS
75820266064;53212;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;1;0;0;2166073;2779784;21;2166118;0;NOSTRESS
75820319283;53294;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;1;0;0;2168119;2785258;39;2168196;0;NOSTRESS
75820372602;78065;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000d26;1;0;2;3062505;4075755;391;3062587;0;NOSTRESS
75820906633;1148464;"MAF";"INTERVAL";"PROBE";1;63;0x00000d26;2;19;5;46616468;59587096;10109;46618010;0;NOSTRESS
75820906656;130;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000d26;2;0;2;1450;2041;492;1454;0;NOSTRESS
75820906792;244;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000d26;2;1;0;4919;7403;540;4923;0;NOSTRESS
75820907042;32;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000d26;2;0;3;648;913;104;652;0;NOSTRESS
75820907080;311;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000d26;2;0;0;9806;13334;312;9810;0;NOSTRESS
75820907399;42;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000d26;2;0;0;585;860;128;589;0;NOSTRESS
75820907448;53405;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;2;3;0;2166966;2774004;1112;2167009;0;NOSTRESS
75820960860;53306;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;2;0;0;2171319;2766958;96;2171395;0;NOSTRESS
75821014173;53269;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d26;2;0;0;2171137;2765125;76;2171213;0;NOSTRESS
