TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;INST_RETIRED;LD_RETIRED;ST_RETIRED;BR_PRED;BR_MIS_PRED;PREFETCH;LMC0;CONTEXT
16974842669;1143137;"MAF";"INTERVAL";"PROBE";1;63;0x000007d0;0;92217245;32234364;13451333;8919004;614755;16399;0;NOSTRESS
16974843073;120;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000007d0;0;2483;638;578;414;32;8;0;NOSTRESS
16974843200;228;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000007d0;0;8057;2373;1316;1012;86;1;0;NOSTRESS
16974843435;67;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000007d0;0;3016;700;482;524;71;3;0;NOSTRESS
16974843508;316;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000007d0;0;21132;7611;2055;1631;134;10;0;NOSTRESS
16974843832;42;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000007d0;0;1090;254;226;191;11;0;0;NOSTRESS
16974843881;53809;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007d0;0;4311795;1509067;629676;417220;29279;947;0;NOSTRESS
16974897698;53697;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007d0;0;4325158;1512195;631446;419719;30500;799;0;NOSTRESS
16974951403;53637;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007d0;0;4323255;1511778;631188;419363;31084;859;0;NOSTRESS
16975005048;53566;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007d0;0;4326418;1512506;631609;420050;29250;892;0;NOSTRESS
16975058621;53127;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007d0;0;4295416;1505477;627491;414078;28402;817;0;NOSTRESS
16975111772;53276;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007d0;0;4307663;1508367;629272;416059;28567;857;0;NOSTRESS
