TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;L1D_CACHE;INST_SPEC;L1I_CACHE;L1I_CACHE_REFILL;LMC0;CONTEXT
30923833333;1142670;"MAF";"INTERVAL";"PROBE";1;63;0x0000090d;0;0;0;46410836;0;59240628;34191;0;NOSTRESS
30923833723;108;"SENS_C1";"INTERVAL";"PROBE";1;63;0x0000090d;0;0;0;1452;0;2027;150;0;NOSTRESS
30923833840;219;"LOC_C1";"INTERVAL";"PROBE";1;63;0x0000090d;0;0;0;3895;0;5900;200;0;NOSTRESS
30923834066;62;"LOC_C2";"INTERVAL";"PROBE";1;63;0x0000090d;0;0;0;1446;0;2730;198;0;NOSTRESS
30923834135;315;"LOC_C3";"INTERVAL";"PROBE";1;63;0x0000090d;0;0;0;9806;0;13256;133;0;NOSTRESS
30923834458;37;"LOC_C4";"INTERVAL";"PROBE";1;63;0x0000090d;0;0;0;585;0;896;46;0;NOSTRESS
30923834502;54108;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000090d;0;0;0;2177499;0;2784924;2901;0;NOSTRESS
30923888618;53489;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000090d;0;0;0;2173700;0;2770563;2161;0;NOSTRESS
30923942114;53350;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000090d;0;0;0;2171905;0;2765873;1846;0;NOSTRESS
30923995471;53187;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000090d;0;0;0;2165308;0;2768034;945;0;NOSTRESS
30924048666;53404;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000090d;0;0;0;2173761;0;2771600;2017;0;NOSTRESS
30924102077;53329;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000090d;0;0;0;2172810;0;2767139;1871;0;NOSTRESS
30924155413;53123;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000090d;0;0;0;2166478;0;2755983;951;0;NOSTRESS
30924208543;53287;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000090d;0;0;0;2171897;0;2765476;1610;0;NOSTRESS
30924261837;53112;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000090d;0;0;0;2166498;0;2755440;928;0;NOSTRESS
30924314956;53375;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000090d;0;0;0;2173792;0;2767584;1817;0;NOSTRESS
30924368338;53315;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000090d;0;0;0;2171843;0;2765833;1621;0;NOSTRESS
30924421660;53103;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000090d;0;0;0;2166450;0;2757061;909;0;NOSTRESS
30924474769;53250;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000090d;0;0;0;2171884;0;2763034;1591;0;NOSTRESS
30924528026;53288;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000090d;0;0;0;2171921;0;2766278;1614;0;NOSTRESS
30924581321;53105;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000090d;0;0;0;2166456;0;2754705;892;0;NOSTRESS
30924634433;53285;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000090d;0;0;0;2171467;0;2764181;1472;0;NOSTRESS
30924687725;53268;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000090d;0;0;0;2171928;0;2766203;1612;0;NOSTRESS
30924741000;53110;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000090d;0;0;0;2166434;0;2751786;891;0;NOSTRESS
30924794118;53263;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000090d;0;0;0;2171475;0;2761912;1535;0;NOSTRESS
30924847387;53322;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000090d;0;0;0;2171722;0;2764118;1571;0;NOSTRESS
