TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
37566119907;1142927;"MAF";"INTERVAL";"PROBE";1;63;0x000009a4;0;60;7;46417172;59323844;6048;46418630;0;NOSTRESS
37566120301;113;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000009a4;0;1;2;1451;2057;324;1455;0;NOSTRESS
37566120424;218;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000009a4;0;0;0;3899;6069;553;3903;0;NOSTRESS
37566120648;63;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000009a4;0;2;0;1447;2650;104;1458;0;NOSTRESS
37566120719;316;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000009a4;0;2;0;9807;13262;284;9811;0;NOSTRESS
37566121043;39;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000009a4;0;0;0;586;904;100;590;0;NOSTRESS
37566121089;53838;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009a4;0;30;3;2174431;2779637;2828;2174536;0;NOSTRESS
37566174935;53420;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009a4;0;0;0;2171831;2786732;146;2171921;0;NOSTRESS
37566228363;53191;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009a4;0;0;0;2167493;2757236;44;2167543;0;NOSTRESS
37566281561;53321;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009a4;0;1;0;2172629;2767890;38;2172725;0;NOSTRESS
37566334890;53507;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009a4;0;7;0;2175736;2775220;272;2175852;0;NOSTRESS
37566388404;53161;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009a4;0;1;0;2167470;2755872;4;2167522;0;NOSTRESS
37566441573;53387;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009a4;0;1;0;2173797;2771207;47;2173898;0;NOSTRESS
37566494967;53334;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009a4;0;0;0;2173058;2768570;24;2173156;0;NOSTRESS
37566548308;53205;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009a4;0;0;0;2167817;2758980;12;2167868;0;NOSTRESS
37566601520;53279;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009a4;0;0;0;2171929;2765057;36;2172020;0;NOSTRESS
37566654806;53308;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009a4;0;0;0;2171794;2766669;67;2171885;0;NOSTRESS
37566708121;53113;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009a4;0;0;0;2166471;2755938;8;2166517;0;NOSTRESS
