TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
10332451827;1144037;"MAF";"INTERVAL";"PROBE";1;63;0x00000739;0;46410002;11013;27232;89535;1673;548;0;NOSTRESS
10332452224;111;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000739;0;1448;45;62;259;95;23;0;NOSTRESS
10332452345;217;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000739;0;3896;29;30;285;147;24;0;NOSTRESS
10332452568;67;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000739;0;1446;46;46;328;32;6;0;NOSTRESS
10332452642;319;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000739;0;9803;26;36;204;83;12;0;NOSTRESS
10332452968;43;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000739;0;582;12;12;79;32;3;0;NOSTRESS
10332453018;53521;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;0;2167851;462;1368;4195;755;137;0;NOSTRESS
10332506548;53396;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;0;2171965;630;1455;4913;78;69;0;NOSTRESS
10332559952;53445;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;0;2173698;682;1558;5131;45;18;0;NOSTRESS
10332613405;53334;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;0;2169250;537;1319;4070;93;20;0;NOSTRESS
10332666746;53292;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;0;2171600;508;1299;4312;16;13;0;NOSTRESS
10332720046;53456;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;0;2173225;698;1524;5101;13;15;0;NOSTRESS
10332773509;53220;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;0;2166149;280;1035;2946;1;5;0;NOSTRESS
10332826736;53385;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;0;2171825;447;1283;4197;4;5;0;NOSTRESS
10332880128;53380;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;0;2171547;522;1281;4185;2;22;0;NOSTRESS
10332933515;53256;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;0;2166268;263;1047;3031;9;3;0;NOSTRESS
10332986777;53387;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;0;2171825;643;1433;4475;3;11;0;NOSTRESS
10333040171;53383;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;0;2171832;577;1410;4492;7;2;0;NOSTRESS
10333093561;53225;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;0;2166420;353;1133;3233;2;1;0;NOSTRESS
10333146793;53373;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;0;2171832;477;1289;4192;3;0;0;NOSTRESS
10333200173;53402;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;0;2171972;527;1339;4281;3;4;0;NOSTRESS
10333253582;53229;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;0;2166431;360;1144;3230;1;4;0;NOSTRESS
10333306818;53420;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;0;2171843;497;1296;4244;10;36;0;NOSTRESS
10333360245;53382;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;0;2171826;586;1391;4440;2;13;0;NOSTRESS
10333413634;53226;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;0;2166462;311;1107;3153;1;0;0;NOSTRESS
10333466867;53453;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;0;2173454;601;1353;4635;16;10;0;NOSTRESS
10333520344;75513;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000739;0;2965737;600;653;4076;135;16;0;NOSTRESS
10334051804;1144564;"MAF";"INTERVAL";"PROBE";1;63;0x00000739;1;46506891;10935;27050;87388;367;125;0;NOSTRESS
10334051820;76;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000739;1;1446;36;42;221;60;4;0;NOSTRESS
10334051902;146;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000739;1;3887;24;34;282;48;6;0;NOSTRESS
10334052054;21;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000739;1;645;11;11;64;10;2;0;NOSTRESS
10334052081;289;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000739;1;9801;29;36;195;37;2;0;NOSTRESS
10334052376;41;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000739;1;580;11;11;68;26;4;0;NOSTRESS
10334052423;53372;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;1;2168501;497;1430;4394;62;41;0;NOSTRESS
10334105803;53416;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;1;2172305;495;1364;4483;4;15;0;NOSTRESS
10334159226;53384;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;1;2171840;571;1393;4478;8;8;0;NOSTRESS
10334212618;53231;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;1;2166450;378;1211;3405;6;2;0;NOSTRESS
10334265856;53444;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;1;2173295;537;1341;4503;18;7;0;NOSTRESS
10334319307;53398;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;1;2171891;721;1515;4788;7;8;0;NOSTRESS
10334372713;53256;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;1;2166334;361;1127;3214;6;0;0;NOSTRESS
10334425976;53424;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;1;2172779;550;1338;4522;14;4;0;NOSTRESS
10334479407;53362;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;1;2171882;573;1361;4440;1;3;0;NOSTRESS
10334532776;53109;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;1;2166290;304;1081;3062;1;2;0;NOSTRESS
10334585892;53332;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;1;2171814;530;1309;4265;9;2;0;NOSTRESS
10334639230;53266;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;1;2171927;474;1294;4254;3;0;0;NOSTRESS
10334692503;53113;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;1;2166470;334;1124;3168;3;0;0;NOSTRESS
10334745623;53260;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;1;2171891;501;1251;4126;1;2;0;NOSTRESS
10334798890;53266;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;1;2171923;519;1367;4374;3;0;0;NOSTRESS
10334852163;53146;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;1;2166580;436;1246;3483;2;0;0;NOSTRESS
10334905317;53263;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;1;2171837;578;1406;4442;6;3;0;NOSTRESS
10334958587;53294;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;1;2171917;595;1361;4366;6;4;0;NOSTRESS
10335011888;53126;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;1;2166455;545;1276;3466;1;1;0;NOSTRESS
10335065021;53266;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;1;2171903;541;1301;4232;1;2;0;NOSTRESS
10335118311;78047;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000739;1;3070009;521;557;3665;19;2;0;NOSTRESS
10335651745;1147260;"MAF";"INTERVAL";"PROBE";1;63;0x00000739;2;46617590;11223;27238;87968;658;215;0;NOSTRESS
10335651759;46;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000739;2;1449;36;43;217;18;3;0;NOSTRESS
10335651811;133;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000739;2;4910;33;36;300;5;0;0;NOSTRESS
10335651951;19;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000739;2;645;23;30;97;4;0;0;NOSTRESS
10335651975;264;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000739;2;9802;28;40;202;9;1;0;NOSTRESS
10335652245;23;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000739;2;581;12;11;73;6;0;0;NOSTRESS
10335652274;53189;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;2;2167044;421;1314;3847;9;15;0;NOSTRESS
10335705470;53351;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000739;2;2171485;639;1476;4733;29;14;0;NOSTRESS
