TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;BR_PRED;DP_SPEC;VFP_SPEC;L1I_CACHE_REFILL;LMC0;CONTEXT
184134087003;358609;"MAF";"INTERVAL";"PROBE";4;63;0x000014e8;0;41161347;16353184;9232796;23369198;24107177;8742;0;NOSTRESS
184134087243;57;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000014e8;0;791;674;441;1127;0;128;0;NOSTRESS
184134087305;93;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000014e8;0;2785;1490;1085;2959;1210;177;0;NOSTRESS
184134087403;19;"LOC_C2";"INTERVAL";"PROBE";4;63;0x000014e8;0;346;299;199;611;17;24;0;NOSTRESS
184134087426;111;"LOC_C3";"INTERVAL";"PROBE";4;63;0x000014e8;0;9143;2431;1707;8002;3972;90;0;NOSTRESS
184134087542;21;"LOC_C4";"INTERVAL";"PROBE";4;63;0x000014e8;0;354;269;209;590;0;33;0;NOSTRESS
184134087567;17018;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000014e8;0;1944994;771808;433039;1101514;1132143;1093;0;NOSTRESS
184134104590;16733;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000014e8;0;1940408;769207;429874;1091363;1132624;35;0;NOSTRESS
184134121328;16838;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000014e8;0;1943833;770405;433353;1097549;1132470;611;0;NOSTRESS
184134138171;16695;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000014e8;0;1938273;768252;429651;1089397;1131863;30;0;NOSTRESS
184134154870;16844;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000014e8;0;1942148;770653;432784;1098702;1131243;653;0;NOSTRESS
184134171719;16689;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000014e8;0;1936293;767792;429589;1088891;1130711;30;0;NOSTRESS
184134188412;16778;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000014e8;0;1938476;769149;431818;1095285;1129726;483;0;NOSTRESS
184134205195;16698;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000014e8;0;1938496;768304;429696;1089120;1132075;29;0;NOSTRESS
184134221897;16893;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000014e8;0;1942570;770607;432580;1097678;1131777;751;0;NOSTRESS
184134238808;16691;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000014e8;0;1936100;767677;429591;1088754;1130853;27;0;NOSTRESS
184134255503;16846;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000014e8;0;1942725;770644;432835;1098266;1131834;637;0;NOSTRESS
184134272353;16688;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000014e8;0;1937348;767825;429583;1088728;1131452;30;0;NOSTRESS
184134289045;16842;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000014e8;0;1942338;770550;432758;1098152;1131751;648;0;NOSTRESS
184134305892;16691;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000014e8;0;1936287;767620;429677;1088842;1130765;24;0;NOSTRESS
184134322587;16829;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000014e8;0;1940066;770262;432721;1098425;1129817;608;0;NOSTRESS
184134339421;16678;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000014e8;0;1933588;766945;429401;1088046;1129227;22;0;NOSTRESS
184134356103;16842;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000014e8;0;1939736;770088;432669;1098437;1129703;643;0;NOSTRESS
184134372949;16845;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000014e8;0;1942405;770663;432647;1097629;1131726;628;0;NOSTRESS
184134389798;16686;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000014e8;0;1935356;767402;429413;1088336;1130319;30;0;NOSTRESS
184134406489;16831;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000014e8;0;1939082;769655;432776;1097326;1129668;622;0;NOSTRESS
184134423342;22265;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x000014e8;0;2344924;953550;594119;1450640;1480231;107;0;NOSTRESS
184135687015;358727;"MAF";"INTERVAL";"PROBE";4;63;0x000014e8;1;41199544;16372531;9244077;23389822;24140299;6985;0;NOSTRESS
184135687040;84;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000014e8;1;841;677;461;1221;0;131;0;NOSTRESS
184135687128;98;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000014e8;1;2598;1452;1063;2816;1139;155;0;NOSTRESS
184135687231;24;"LOC_C2";"INTERVAL";"PROBE";4;63;0x000014e8;1;339;293;197;591;17;20;0;NOSTRESS
184135687259;117;"LOC_C3";"INTERVAL";"PROBE";4;63;0x000014e8;1;8806;2384;1682;7600;3880;85;0;NOSTRESS
184135687380;22;"LOC_C4";"INTERVAL";"PROBE";4;63;0x000014e8;1;332;268;207;553;0;33;0;NOSTRESS
184135687406;16932;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000014e8;1;1941377;770790;432652;1099134;1130749;862;0;NOSTRESS
184135704343;16694;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000014e8;1;1935479;767686;429532;1088879;1130048;34;0;NOSTRESS
