TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;L1D_CACHE;INST_SPEC;L1I_CACHE;L1I_CACHE_REFILL;LMC0;CONTEXT
190097793531;358494;"MAF";"INTERVAL";"PROBE";4;63;0x00001577;0;41156894;16349320;51110463;112279537;39626435;8544;0;NOSTRESS
190097793800;57;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00001577;0;733;620;1523;2857;1325;128;0;NOSTRESS
190097793861;90;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00001577;0;2839;1529;4197;9547;4171;175;0;NOSTRESS
190097793955;20;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00001577;0;347;304;748;1465;654;22;0;NOSTRESS
190097793979;115;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00001577;0;9426;2524;10632;25979;9325;83;0;NOSTRESS
190097794098;21;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00001577;0;367;295;725;1526;722;28;0;NOSTRESS
190097794123;16744;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;0;1939676;769106;2396931;5275045;1870032;70;0;NOSTRESS
190097810872;16947;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;0;1944620;771287;2404911;5296384;1878829;1078;0;NOSTRESS
190097827825;16694;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;0;1938838;768483;2396942;5272039;1865269;5;0;NOSTRESS
190097844523;16808;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;0;1942492;770203;2402315;5286266;1870707;572;0;NOSTRESS
190097861336;16690;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;0;1936328;767714;2394799;5265813;1862121;3;0;NOSTRESS
190097878030;16892;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;0;1942477;770769;2403460;5290985;1873415;814;0;NOSTRESS
190097894927;16692;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;0;1936017;767547;2394053;5264944;1862664;9;0;NOSTRESS
190097911623;16831;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;0;1940825;769678;2400543;5282260;1869813;600;0;NOSTRESS
190097928459;16734;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;0;1935094;767401;2393990;5262861;1861432;34;0;NOSTRESS
190097945197;16833;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;0;1940521;769872;2401815;5284183;1869556;739;0;NOSTRESS
190097962034;16691;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;0;1936287;767590;2394608;5265336;1861763;4;0;NOSTRESS
190097978729;16795;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;0;1939980;769128;2400432;5279496;1867797;525;0;NOSTRESS
190097995528;16860;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;0;1941076;770375;2402240;5286938;1871204;652;0;NOSTRESS
190098012393;16694;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;0;1937195;767959;2395257;5267543;1863385;7;0;NOSTRESS
190098029091;16806;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;0;1941077;769805;2400785;5282809;1869769;556;0;NOSTRESS
190098045902;16685;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;0;1936043;767603;2394678;5264790;1861546;4;0;NOSTRESS
190098062592;16837;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;0;1940356;769926;2401615;5284186;1869694;649;0;NOSTRESS
190098079434;16694;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;0;1936924;767861;2395138;5266816;1862841;4;0;NOSTRESS
190098096132;16836;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;0;1939938;769576;2400976;5281050;1868325;593;0;NOSTRESS
190098112972;16677;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;0;1935595;767228;2394803;5263513;1860971;5;0;NOSTRESS
190098129656;22364;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00001577;0;2349307;955706;3098326;6658032;2245784;677;0;NOSTRESS
190099393562;358638;"MAF";"INTERVAL";"PROBE";4;63;0x00001577;1;41210904;16371462;51200505;112425388;39667537;6964;0;NOSTRESS
190099393583;83;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00001577;1;758;638;1549;2933;1368;117;0;NOSTRESS
190099393671;98;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00001577;1;2639;1440;4071;8903;3586;156;0;NOSTRESS
190099393773;20;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00001577;1;337;292;741;1416;602;15;0;NOSTRESS
190099393798;116;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00001577;1;9082;2444;10498;24949;8562;74;0;NOSTRESS
190099393918;26;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00001577;1;332;273;677;1367;617;22;0;NOSTRESS
190099393949;16745;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;1;1935436;767500;2394338;5264071;1861751;62;0;NOSTRESS
190099410699;16889;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;1;1941843;770566;2402463;5288302;1873274;839;0;NOSTRESS
190099427593;16693;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;1;1937467;768055;2395723;5268282;1863436;11;0;NOSTRESS
190099444290;16814;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;1;1940885;769735;2401404;5282827;1869213;555;0;NOSTRESS
190099461109;16676;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;1;1934997;767104;2394205;5262495;1860440;3;0;NOSTRESS
190099477789;16800;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;1;1938270;768905;2399858;5276978;1866406;522;0;NOSTRESS
190099494593;16674;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;1;1934891;767012;2394100;5262251;1859846;3;0;NOSTRESS
190099511272;16820;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;1;1940773;769774;2401619;5282567;1869189;514;0;NOSTRESS
190099528096;16689;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;1;1937921;767958;2396391;5268888;1863330;3;0;NOSTRESS
190099544789;16834;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;1;1940869;769882;2402484;5284164;1869298;660;0;NOSTRESS
190099561627;16686;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;1;1937030;767711;2395712;5266914;1862148;4;0;NOSTRESS
190099578317;16780;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;1;1938733;769012;2400287;5277747;1866625;551;0;NOSTRESS
190099595102;16783;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;1;1940448;769560;2401456;5281687;1868671;521;0;NOSTRESS
190099611890;16670;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;1;1934663;766885;2394480;5261340;1859445;4;0;NOSTRESS
190099628564;16781;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;1;1940045;769460;2401260;5280482;1867804;514;0;NOSTRESS
190099645350;16691;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;1;1934655;767240;2393505;5261791;1863596;4;0;NOSTRESS
190099662045;16787;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;1;1936316;768652;2397940;5272582;1869047;513;0;NOSTRESS
190099678836;16696;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;1;1935016;767465;2393389;5262789;1865507;4;0;NOSTRESS
190099695536;16803;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;1;1940190;769891;2400484;5281398;1872302;513;0;NOSTRESS
190099712344;16694;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;1;1938150;768104;2396277;5269614;1864160;4;0;NOSTRESS
190099729059;23137;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00001577;1;2429481;988215;3206176;6884845;2319356;604;0;NOSTRESS
190100993495;359825;"MAF";"INTERVAL";"PROBE";4;63;0x00001577;2;41279889;16407330;51288588;112639819;39772958;7483;0;NOSTRESS
190100993518;78;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00001577;2;757;638;1527;2911;1329;126;0;NOSTRESS
190100993600;101;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00001577;2;3711;1829;5270;11484;4621;163;0;NOSTRESS
190100993705;16;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00001577;2;336;290;741;1418;589;16;0;NOSTRESS
190100993726;108;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00001577;2;9037;2435;10472;24830;8442;65;0;NOSTRESS
190100993838;26;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00001577;2;326;272;675;1351;603;20;0;NOSTRESS
190100993868;16764;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;2;1937813;768732;2395875;5270878;1867774;64;0;NOSTRESS
190101010636;16977;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;2;1945097;771828;2405417;5299705;1881178;1074;0;NOSTRESS
190101027620;16714;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;2;1937828;768534;2394724;5270116;1868816;19;0;NOSTRESS
190101044339;16821;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;2;1939027;769680;2398981;5279518;1872678;611;0;NOSTRESS
190101061165;16707;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;2;1933450;767212;2391348;5259632;1865482;3;0;NOSTRESS
190101077876;16812;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;2;1939308;769786;2399212;5279893;1873393;529;0;NOSTRESS
190101094692;16702;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;2;1933608;767293;2391709;5259767;1864915;3;0;NOSTRESS
190101111399;16790;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;2;1938364;769221;2399056;5277009;1869799;520;0;NOSTRESS
190101128194;16699;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;2;1934830;767473;2392732;5262296;1864188;3;0;NOSTRESS
190101144897;16786;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;2;1938028;769051;2399074;5276085;1866900;522;0;NOSTRESS
190101161688;16690;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;2;1935270;767335;2393631;5263043;1861964;3;0;NOSTRESS
190101178383;16803;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;2;1938055;769128;2398727;5276021;1867449;522;0;NOSTRESS
190101195190;16788;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;2;1937694;769002;2398622;5275399;1866990;520;0;NOSTRESS
190101211983;16679;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;2;1932713;766627;2392038;5257083;1859388;4;0;NOSTRESS
190101228666;16788;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;2;1938015;769234;2399161;5276173;1866771;527;0;NOSTRESS
190101245458;16694;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;2;1935932;767687;2393856;5264493;1863188;4;0;NOSTRESS
190101262157;16793;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;2;1939861;769662;2400315;5280173;1868744;519;0;NOSTRESS
190101278955;16681;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;2;1933310;766877;2392450;5258479;1859560;4;0;NOSTRESS
190101295641;16985;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;2;1940192;769733;2400502;5281040;1869748;640;0;NOSTRESS
190101312631;16685;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;2;1935035;767267;2393604;5262306;1861093;4;0;NOSTRESS
190101329320;23996;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00001577;2;2511950;1022457;3318469;7122078;2397874;606;0;NOSTRESS
190102593473;360131;"MAF";"INTERVAL";"PROBE";4;63;0x00001577;3;41385257;16439288;51441555;112915045;39801051;7034;0;NOSTRESS
190102593500;80;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00001577;3;752;636;1543;2906;1340;120;0;NOSTRESS
190102593584;97;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00001577;3;3840;1865;5352;11804;4695;162;0;NOSTRESS
190102593686;16;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00001577;3;340;294;746;1441;602;19;0;NOSTRESS
190102593706;107;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00001577;3;8910;2405;10425;24520;8272;64;0;NOSTRESS
190102593818;24;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00001577;3;321;269;673;1342;574;20;0;NOSTRESS
190102593846;16770;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;3;1936685;768261;2394421;5268329;1867246;63;0;NOSTRESS
190102610620;16868;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;3;1938930;769607;2400823;5282477;1869464;831;0;NOSTRESS
190102627492;16693;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;3;1938826;768180;2397182;5271407;1864362;12;0;NOSTRESS
190102644189;16797;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;3;1938837;768892;2400822;5278049;1865725;572;0;NOSTRESS
190102660991;16676;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;3;1935185;767122;2394548;5262739;1860415;4;0;NOSTRESS
190102677672;16811;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;3;1940576;769673;2401710;5282337;1868503;550;0;NOSTRESS
190102694488;16672;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;3;1935607;766980;2395118;5263208;1859473;3;0;NOSTRESS
190102711165;16781;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;3;1939690;769170;2401152;5279365;1866055;529;0;NOSTRESS
190102727951;16678;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;3;1936335;767355;2395338;5265091;1860848;3;0;NOSTRESS
190102744633;16772;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001577;3;1938821;768886;2400755;5277491;1865471;526;0;NOSTRESS
