TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
196724249450;359183;"MAF";"INTERVAL";"PROBE";4;63;0x00001617;0;1859;144;51124472;39684732;14151;51124534;0;NOSTRESS
196724249715;54;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00001617;0;2;12;1553;1393;464;1551;0;NOSTRESS
196724249774;91;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00001617;0;2;3;4202;4205;912;4194;0;NOSTRESS
196724249869;18;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00001617;0;0;2;748;640;148;740;0;NOSTRESS
196724249891;112;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00001617;0;5;2;10597;9350;372;10589;0;NOSTRESS
196724250008;19;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00001617;0;1;0;710;684;140;702;0;NOSTRESS
196724250031;17246;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001617;0;179;48;2407230;1890498;7002;2407222;0;NOSTRESS
196724267282;16913;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001617;0;146;9;2402968;1878208;468;2402970;0;NOSTRESS
196724284200;16721;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001617;0;3;1;2395398;1869332;4;2395404;0;NOSTRESS
196724300926;16796;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001617;0;108;1;2400351;1871423;120;2400351;0;NOSTRESS
196724317726;16682;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001617;0;4;1;2393062;1861494;12;2393066;0;NOSTRESS
196724334412;17060;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001617;0;181;3;2415383;1885157;580;2415375;0;NOSTRESS
196724351476;16692;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001617;0;5;1;2393694;1862738;8;2393694;0;NOSTRESS
196724368172;16810;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001617;0;127;1;2400240;1869404;232;2400240;0;NOSTRESS
196724384986;16731;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001617;0;13;1;2393791;1863659;12;2393807;0;NOSTRESS
196724401729;16799;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001617;0;123;6;2400296;1868331;128;2400296;0;NOSTRESS
196724418533;16682;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001617;0;4;0;2397237;1863812;4;2397238;0;NOSTRESS
196724435219;16786;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001617;0;104;1;2401647;1870262;80;2401649;0;NOSTRESS
196724452010;16693;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001617;0;6;1;2395478;1865342;4;2395479;0;NOSTRESS
196724468707;16849;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001617;0;132;5;2403176;1874266;180;2403176;0;NOSTRESS
196724485561;16669;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001617;0;4;0;2393016;1860120;12;2393018;0;NOSTRESS
196724502234;16837;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001617;0;126;2;2400688;1871602;158;2400690;0;NOSTRESS
196724519076;16695;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001617;0;6;1;2394826;1863220;4;2394828;0;NOSTRESS
196724535775;16867;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001617;0;142;7;2401283;1870477;626;2401281;0;NOSTRESS
196724552647;16702;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001617;0;3;1;2394012;1865203;16;2394014;0;NOSTRESS
196724569354;16855;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001617;0;131;2;2400630;1873426;116;2400627;0;NOSTRESS
196724586216;22412;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00001617;0;134;14;3098134;2247327;1366;3098128;0;NOSTRESS
196725849473;358800;"MAF";"INTERVAL";"PROBE";4;63;0x00001617;1;1463;100;51165838;39682942;12978;51165832;0;NOSTRESS
196725849497;84;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00001617;1;2;11;1559;1464;1388;1558;0;NOSTRESS
196725849585;105;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00001617;1;2;4;4032;3510;1244;4024;0;NOSTRESS
196725849695;25;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00001617;1;0;2;753;600;324;745;0;NOSTRESS
196725849724;114;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00001617;1;2;0;10582;8792;604;10575;0;NOSTRESS
196725849842;23;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00001617;1;0;0;712;706;208;706;0;NOSTRESS
196725849869;16969;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001617;1;127;24;2402951;1874710;7794;2402943;0;NOSTRESS
196725866843;16695;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001617;1;7;0;2394852;1862752;8;2394854;0;NOSTRESS
196725883542;16817;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001617;1;105;4;2398219;1870157;128;2398219;0;NOSTRESS
196725900364;16829;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001617;1;115;4;2398474;1869445;52;2398479;0;NOSTRESS
196725917197;16674;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001617;1;4;0;2392207;1858949;8;2392209;0;NOSTRESS
196725933875;16801;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001617;1;117;4;2399280;1870299;120;2399280;0;NOSTRESS
196725950681;16699;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001617;1;7;1;2393027;1863912;8;2393029;0;NOSTRESS
