TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;BR_PRED;DP_SPEC;VFP_SPEC;L1I_CACHE_REFILL;LMC0;CONTEXT
138851591462;359142;"MAF";"INTERVAL";"PROBE";4;63;0x00001199;0;41154671;16358340;9240206;23391221;24092134;10320;0;NOSTRESS
138851591708;56;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00001199;0;766;659;439;1072;0;131;0;NOSTRESS
138851591768;96;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00001199;0;2898;1562;1128;3042;1224;176;0;NOSTRESS
138851591868;18;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00001199;0;342;293;195;585;17;25;0;NOSTRESS
138851591891;114;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00001199;0;9297;2508;1727;8107;4035;84;0;NOSTRESS
138851592009;21;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00001199;0;351;294;217;604;0;34;0;NOSTRESS
138851592034;17064;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001199;0;1940969;771049;432670;1100667;1129429;1037;0;NOSTRESS
138851609103;16720;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001199;0;1936246;768622;430017;1091701;1129447;5;0;NOSTRESS
138851625828;16837;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001199;0;1938566;769985;432444;1098077;1128666;616;0;NOSTRESS
138851642670;16998;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001199;0;1942041;771731;434012;1102400;1129487;1040;0;NOSTRESS
138851659674;16698;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001199;0;1934911;767773;429748;1089422;1129365;13;0;NOSTRESS
138851676377;16854;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001199;0;1939923;770386;433002;1098906;1129426;733;0;NOSTRESS
138851693236;16680;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001199;0;1934511;767409;429389;1088495;1129550;8;0;NOSTRESS
138851709920;16813;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001199;0;1941978;770698;432002;1096706;1131642;570;0;NOSTRESS
138851726738;16719;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001199;0;1934505;767418;429399;1088482;1129549;35;0;NOSTRESS
138851743461;16874;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001199;0;1941729;770705;433183;1098900;1130504;686;0;NOSTRESS
138851760340;16681;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001199;0;1937999;768146;429443;1088626;1131871;6;0;NOSTRESS
138851777025;17027;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001199;0;1948577;774292;438150;1109687;1131389;968;0;NOSTRESS
138851794057;16677;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001199;0;1937392;767576;429462;1088237;1131875;13;0;NOSTRESS
138851810738;16850;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001199;0;1939170;769744;432691;1097728;1129504;775;0;NOSTRESS
