TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;L1D_CACHE;INST_SPEC;L1I_CACHE;L1I_CACHE_REFILL;LMC0;CONTEXT
145477374922;359016;"MAF";"INTERVAL";"PROBE";4;63;0x00001230;0;41124771;16345919;51090926;112233581;39643269;9006;0;NOSTRESS
145477375253;64;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00001230;0;761;635;1548;2979;1416;130;0;NOSTRESS
145477375322;93;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00001230;0;2842;1534;4208;9590;4195;170;0;NOSTRESS
145477375420;21;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00001230;0;345;301;751;1467;656;23;0;NOSTRESS
145477375445;116;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00001230;0;9193;2480;10553;25351;8925;86;0;NOSTRESS
145477375565;27;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00001230;0;364;292;723;1519;718;30;0;NOSTRESS
145477375597;17026;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001230;0;1941767;771050;2401345;5289241;1877522;995;0;NOSTRESS
145477392631;16696;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001230;0;1933143;767011;2391722;5259966;1863481;29;0;NOSTRESS
145477409332;16836;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001230;0;1940885;770138;2400567;5284827;1873366;525;0;NOSTRESS
145477426173;16685;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001230;0;1934073;767163;2393033;5261209;1861137;18;0;NOSTRESS
145477442862;17009;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001230;0;1942036;771032;2404303;5292308;1874714;1021;0;NOSTRESS
145477459893;16698;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001230;0;1935565;767518;2393668;5263938;1864554;23;0;NOSTRESS
145477476596;16841;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001230;0;1939314;769833;2400764;5282238;1870101;776;0;NOSTRESS
145477493443;16681;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001230;0;1934232;767104;2393262;5260922;1860880;17;0;NOSTRESS
145477510128;16894;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001230;0;1939652;769896;2400419;5281402;1869255;685;0;NOSTRESS
145477527027;16688;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001230;0;1933844;767146;2392541;5260487;1862455;11;0;NOSTRESS
145477543719;16806;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001230;0;1938593;769557;2399530;5279049;1868017;424;0;NOSTRESS
145477560530;16696;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001230;0;1936036;767638;2394182;5264982;1864195;5;0;NOSTRESS
145477577231;17037;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001230;0;1947026;774088;2414371;5314435;1883274;925;0;NOSTRESS
145477594273;16846;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001230;0;1938865;769545;2400172;5280271;1870526;690;0;NOSTRESS
145477611124;16700;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001230;0;1935808;767601;2393680;5264511;1865182;21;0;NOSTRESS
145477627829;16802;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001230;0;1938361;769236;2399182;5277424;1869638;548;0;NOSTRESS
145477644635;16690;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001230;0;1933214;766935;2392289;5258726;1861811;19;0;NOSTRESS
