TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
152103226392;358838;"MAF";"INTERVAL";"PROBE";4;63;0x000012c6;0;1708;113;51132958;39679997;9923;51133017;0;NOSTRESS
152103226646;55;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000012c6;0;3;12;1590;1440;600;1588;0;NOSTRESS
152103226706;89;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000012c6;0;2;5;4206;4193;796;4198;0;NOSTRESS
152103226799;22;"LOC_C2";"INTERVAL";"PROBE";4;63;0x000012c6;0;0;4;776;679;232;768;0;NOSTRESS
152103226825;111;"LOC_C3";"INTERVAL";"PROBE";4;63;0x000012c6;0;3;2;10525;8916;348;10517;0;NOSTRESS
152103226941;21;"LOC_C4";"INTERVAL";"PROBE";4;63;0x000012c6;0;3;0;712;708;124;706;0;NOSTRESS
152103226966;17020;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;0;143;34;2406696;1884006;3472;2406689;0;NOSTRESS
152103243991;16730;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;0;3;1;2395362;1867464;12;2395359;0;NOSTRESS
152103260736;16812;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;0;108;3;2399458;1870757;232;2399458;0;NOSTRESS
152103277553;16687;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;0;3;2;2395361;1862381;4;2395360;0;NOSTRESS
152103294244;16824;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;0;121;2;2401650;1870523;228;2401649;0;NOSTRESS
152103311072;16717;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;0;3;2;2394337;1861170;8;2394337;0;NOSTRESS
152103327794;17059;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;0;204;3;2414511;1885197;1312;2414499;0;NOSTRESS
152103344875;16676;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;0;4;1;2393535;1861973;4;2393538;0;NOSTRESS
152103361555;17000;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;0;168;6;2405480;1878543;812;2405489;0;NOSTRESS
152103378560;16689;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;0;2;1;2395509;1865079;4;2395509;0;NOSTRESS
152103395254;16801;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;0;110;3;2402318;1872207;100;2402318;0;NOSTRESS
152103412060;16675;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;0;3;1;2395175;1862312;4;2395172;0;NOSTRESS
152103428740;16786;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;0;111;1;2403284;1872019;20;2403284;0;NOSTRESS
152103445531;16687;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;0;3;0;2396094;1864116;8;2396094;0;NOSTRESS
152103462223;16867;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;0;153;2;2403765;1875162;80;2403758;0;NOSTRESS
152103479095;16689;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;0;3;1;2394440;1864384;4;2394440;0;NOSTRESS
152103495788;16850;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;0;130;3;2402862;1873587;68;2402858;0;NOSTRESS
152103512644;16702;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;0;3;0;2396817;1867657;8;2396817;0;NOSTRESS
152103529351;16792;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;0;108;3;2400633;1869660;76;2400633;0;NOSTRESS
152103546148;16825;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;0;123;5;2401781;1873326;108;2401773;0;NOSTRESS
152103562983;22242;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x000012c6;0;3;2;3092324;2239656;500;3092323;0;NOSTRESS
152104826294;358758;"MAF";"INTERVAL";"PROBE";4;63;0x000012c6;1;1458;83;51168423;39697309;3039;51168422;0;NOSTRESS
152104826304;34;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000012c6;1;1;10;1531;1321;100;1530;0;NOSTRESS
152104826342;56;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000012c6;1;2;4;4101;3639;92;4093;0;NOSTRESS
152104826402;11;"LOC_C2";"INTERVAL";"PROBE";4;63;0x000012c6;1;0;2;745;593;4;737;0;NOSTRESS
152104826418;87;"LOC_C3";"INTERVAL";"PROBE";4;63;0x000012c6;1;3;1;10479;8476;92;10471;0;NOSTRESS
152104826510;12;"LOC_C4";"INTERVAL";"PROBE";4;63;0x000012c6;1;0;0;684;609;12;676;0;NOSTRESS
152104826526;16930;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;1;172;21;2403206;1878258;714;2403199;0;NOSTRESS
152104843461;16691;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;1;4;0;2392780;1862535;8;2392780;0;NOSTRESS
152104860157;16820;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;1;114;8;2398602;1871880;188;2398595;0;NOSTRESS
152104876982;16691;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;1;3;0;2393443;1862717;8;2393443;0;NOSTRESS
152104893678;16879;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;1;123;2;2400704;1876783;120;2400700;0;NOSTRESS
152104910562;16695;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;1;6;0;2391603;1863839;4;2391605;0;NOSTRESS
152104927261;16758;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;1;82;2;2395978;1870522;48;2395978;0;NOSTRESS
152104944023;16699;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;1;3;0;2392613;1864960;8;2392613;0;NOSTRESS
152104960726;16806;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;1;125;0;2398305;1872675;72;2398305;0;NOSTRESS
152104977536;16700;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;1;3;0;2392248;1865155;4;2392248;0;NOSTRESS
152104994240;16815;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;1;116;2;2398261;1871047;134;2398254;0;NOSTRESS
152105011059;16685;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;1;3;0;2391451;1861135;4;2391451;0;NOSTRESS
152105027749;17030;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;1;185;11;2405390;1877256;1059;2405376;0;NOSTRESS
152105044784;16681;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;1;4;0;2393088;1859784;4;2393088;0;NOSTRESS
152105061469;16731;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;1;75;3;2396395;1863887;36;2396395;0;NOSTRESS
152105078205;16687;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;1;4;0;2395111;1862096;4;2395113;0;NOSTRESS
152105094897;16800;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;1;104;1;2400950;1871725;32;2400950;0;NOSTRESS
152105111702;16684;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;1;3;0;2394051;1861213;4;2394051;0;NOSTRESS
152105128390;16815;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;1;118;3;2399745;1870281;84;2399735;0;NOSTRESS
152105145218;16681;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;1;3;0;2393397;1860113;4;2393397;0;NOSTRESS
152105161903;23144;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x000012c6;1;125;6;3204173;2317110;168;3204172;0;NOSTRESS
152106426346;359501;"MAF";"INTERVAL";"PROBE";4;63;0x000012c6;2;1475;106;51251995;39733903;5240;51251992;0;NOSTRESS
152106426362;51;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000012c6;2;2;15;1591;1530;416;1589;0;NOSTRESS
152106426417;87;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000012c6;2;2;4;5450;5276;412;5442;0;NOSTRESS
152106426508;22;"LOC_C2";"INTERVAL";"PROBE";4;63;0x000012c6;2;0;4;750;620;128;742;0;NOSTRESS
152106426534;97;"LOC_C3";"INTERVAL";"PROBE";4;63;0x000012c6;2;3;2;10382;8129;220;10374;0;NOSTRESS
152106426635;14;"LOC_C4";"INTERVAL";"PROBE";4;63;0x000012c6;2;0;0;688;633;60;680;0;NOSTRESS
152106426653;16911;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000012c6;2;167;47;2399061;1874361;1904;2399054;0;NOSTRESS
