TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
125599551950;358551;"MAF";"INTERVAL";"PROBE";4;63;0x0000106c;0;51067819;7134;3000;64861;1946;529;0;NOSTRESS
125599552220;53;"SENS_C1";"INTERVAL";"PROBE";4;63;0x0000106c;0;1620;39;10;398;121;21;0;NOSTRESS
125599552278;90;"LOC_C1";"INTERVAL";"PROBE";4;63;0x0000106c;0;4179;26;12;488;175;55;0;NOSTRESS
125599552372;18;"LOC_C2";"INTERVAL";"PROBE";4;63;0x0000106c;0;777;10;4;84;30;11;0;NOSTRESS
125599552394;113;"LOC_C3";"INTERVAL";"PROBE";4;63;0x0000106c;0;10611;25;15;265;81;26;0;NOSTRESS
125599552512;24;"LOC_C4";"INTERVAL";"PROBE";4;63;0x0000106c;0;732;10;5;108;30;14;0;NOSTRESS
125599552540;17090;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000106c;0;2405366;528;376;5993;967;274;0;NOSTRESS
125599569634;16727;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000106c;0;2394989;123;95;1931;6;2;0;NOSTRESS
125599586365;16750;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000106c;0;2396442;359;107;2861;29;8;0;NOSTRESS
125599603119;16702;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000106c;0;2394146;165;56;1851;0;1;0;NOSTRESS
125599619825;16834;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000106c;0;2400059;533;199;3958;51;13;0;NOSTRESS
125599636663;16688;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000106c;0;2391715;120;74;1909;0;1;0;NOSTRESS
125599653356;16797;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000106c;0;2397892;473;175;3580;14;1;0;NOSTRESS
125599670158;16688;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000106c;0;2393058;119;61;1876;1;0;0;NOSTRESS
125599686851;16889;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000106c;0;2399690;463;226;4136;19;0;0;NOSTRESS
125599703744;16680;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000106c;0;2393310;120;63;1891;0;1;0;NOSTRESS
125599720428;16788;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000106c;0;2397509;451;182;3580;20;2;0;NOSTRESS
125599737220;16687;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000106c;0;2393413;154;52;1854;0;0;0;NOSTRESS
125599753912;16817;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000106c;0;2398068;513;212;3892;29;2;0;NOSTRESS
125599770734;16831;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000106c;0;2399901;494;118;3889;10;3;0;NOSTRESS
125599787570;16700;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000106c;0;2392187;122;172;1959;0;1;0;NOSTRESS
