TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;INST_RETIRED;LD_RETIRED;ST_RETIRED;BR_PRED;BR_MIS_PRED;PREFETCH;LMC0;CONTEXT
751324035959;1178944;"MAF";"INTERVAL";"PROBE";1;63;0x0000419a;0;95418671;32992395;13879908;9581356;672745;19703;0;BPRED
751324036340;103;"SENS_C1";"INTERVAL";"PROBE";1;63;0x0000419a;0;2489;640;578;415;35;6;0;BPRED
751324036452;229;"LOC_C1";"INTERVAL";"PROBE";1;63;0x0000419a;0;8060;2375;1316;1013;84;0;0;BPRED
751324036688;65;"LOC_C2";"INTERVAL";"PROBE";1;63;0x0000419a;0;3026;703;480;526;78;3;0;BPRED
751324036763;313;"LOC_C3";"INTERVAL";"PROBE";1;63;0x0000419a;0;21137;7613;2055;1632;152;16;0;BPRED
751324037084;37;"LOC_C4";"INTERVAL";"PROBE";1;63;0x0000419a;0;1095;256;226;192;14;0;0;BPRED
751324037128;55720;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000419a;0;4479202;1548820;652158;451565;31876;1064;0;BPRED
751324092861;54749;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000419a;0;4436453;1538832;646448;443071;30463;1008;0;BPRED
751324147617;55327;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000419a;0;4478773;1548711;652072;451537;31314;1110;0;BPRED
751324202951;54885;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000419a;0;4447857;1541553;648005;445214;30573;930;0;BPRED
751324257845;55001;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000419a;0;4454932;1543075;648920;446564;30813;955;0;BPRED
751324312854;54962;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000419a;0;4460459;1544507;649626;448082;30605;1032;0;BPRED
751324367823;54901;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000419a;0;4451145;1542274;648413;445854;30637;974;0;BPRED
751324422732;55146;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000419a;0;4474841;1547899;651591;450762;30881;1004;0;BPRED
751324477886;54672;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000419a;0;4436276;1538801;646432;443048;30378;979;0;BPRED
751324532566;54876;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000419a;0;4451299;1542310;648442;445896;30775;951;0;BPRED
751324587451;55072;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000419a;0;4471472;1547158;651169;450068;30804;977;0;BPRED
751324642530;54847;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000419a;0;4448424;1541626;648072;445265;30657;927;0;BPRED
751324697384;54664;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000419a;0;4436382;1538848;646455;443105;30200;871;0;BPRED
751324752055;55073;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000419a;0;4471240;1547098;651144;450056;30775;981;0;BPRED
751324807135;54829;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000419a;0;4448146;1541607;648016;445256;30415;894;0;BPRED
751324861972;55043;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000419a;0;4463444;1545216;649996;448525;32029;999;0;BPRED
751324917039;55033;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000419a;0;4452220;1542540;648599;446007;33133;933;0;BPRED
751324972080;54928;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000419a;0;4447870;1541528;648008;445173;33105;1003;0;BPRED
751325027016;55180;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000419a;0;4471209;1547072;651142;450046;33193;1045;0;BPRED
751325082203;54785;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000419a;0;4436910;1538898;646510;443149;32780;903;0;BPRED
751325137014;77881;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x0000419a;0;6223146;2103400;887209;631991;46345;138;0;BPRED
751325635873;1181103;"MAF";"INTERVAL";"PROBE";1;63;0x0000419a;1;95570093;33049212;13899522;9592503;689325;18911;0;BPRED
751325635890;109;"SENS_C1";"INTERVAL";"PROBE";1;63;0x0000419a;1;2488;640;578;415;33;9;0;BPRED
751325636007;195;"LOC_C1";"INTERVAL";"PROBE";1;63;0x0000419a;1;8056;2376;1320;1013;102;3;0;BPRED
751325636210;28;"LOC_C2";"INTERVAL";"PROBE";1;63;0x0000419a;1;1172;271;246;180;12;8;0;BPRED
751325636248;305;"LOC_C3";"INTERVAL";"PROBE";1;63;0x0000419a;1;21136;7613;2054;1632;146;25;0;BPRED
751325636563;40;"LOC_C4";"INTERVAL";"PROBE";1;63;0x0000419a;1;1095;256;226;192;15;0;0;BPRED
751325636609;55321;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000419a;1;4472931;1547290;651083;450468;34010;998;0;BPRED
751325691939;54785;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000419a;1;4436001;1538646;646289;443069;32902;981;0;BPRED
751325746731;54979;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000419a;1;4451034;1542214;648315;445915;32639;888;0;BPRED
751325801717;55066;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000419a;1;4471078;1546892;650923;450082;30785;1017;0;BPRED
751325856791;54651;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000419a;1;4435815;1538639;646269;443038;30224;942;0;BPRED
751325911450;54858;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000419a;1;4449594;1541909;648009;445524;30713;942;0;BPRED
