TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;BR_PRED;DP_SPEC;VFP_SPEC;L1I_CACHE_REFILL;LMC0;CONTEXT
760646462143;1177426;"MAF";"INTERVAL";"PROBE";1;63;0x00004292;0;0;0;9577362;0;0;155711;0;BPRED
760646462505;98;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00004292;0;0;0;415;0;0;143;0;BPRED
760646462610;227;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00004292;0;0;0;1012;0;0;208;0;BPRED
760646462845;67;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00004292;0;0;0;528;0;0;214;0;BPRED
760646462920;636;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00004292;0;0;0;6514;0;0;1393;0;BPRED
760646463567;45;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00004292;0;0;0;192;0;0;61;0;BPRED
760646463619;54859;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004292;0;0;0;442993;0;0;6489;0;BPRED
760646518486;55234;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004292;0;0;0;447325;0;0;7891;0;BPRED
760646573728;55221;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004292;0;0;0;451223;0;0;8243;0;BPRED
760646628956;54977;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004292;0;0;0;446499;0;0;7563;0;BPRED
760646683941;54687;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004292;0;0;0;443030;0;0;6220;0;BPRED
760646738636;55340;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004292;0;0;0;452769;0;0;8831;0;BPRED
760646793984;54855;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004292;0;0;0;445681;0;0;7105;0;BPRED
760646848847;54901;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004292;0;0;0;447881;0;0;7063;0;BPRED
760646903756;54857;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004292;0;0;0;445795;0;0;7181;0;BPRED
760646958621;54709;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004292;0;0;0;443759;0;0;6467;0;BPRED
760647013337;55042;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004292;0;0;0;450009;0;0;7672;0;BPRED
